#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1115600.1-p1   -            202 12569at5820          -            174  1.6e-108  358.9   1.8   1   1  4.1e-111  1.8e-108  358.7   1.8     1   174    17   202    17   202 0.97 | transcript=PVP01_1115600.1 | gene=PVP01_1115600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_11_v2:668834-670589(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209300.1-p1   -            262 12569at5820          -            174   9.2e-09   34.0   1.0   1   2       2.8   1.2e+03   -2.2   0.0   133   154    49    70    31    87 0.75 | transcript=PVP01_1209300.1 | gene=PVP01_1209300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_12_v2:382832-383620(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209300.1-p1   -            262 12569at5820          -            174   9.2e-09   34.0   1.0   2   2   3.7e-11   1.6e-08   33.2   0.3    23   104   150   232   134   246 0.83 | transcript=PVP01_1209300.1 | gene=PVP01_1209300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_12_v2:382832-383620(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834500.1-p1   -            139 12569at5820          -            174   3.6e-08   32.1   0.0   1   1   9.6e-11   4.2e-08   31.9   0.0    21   112    41   135    32   139 0.81 | transcript=PVP01_0834500.1 | gene=PVP01_0834500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme MMS2, putative | transcript_product=ubiquitin-conjugating enzyme MMS2, putative | location=PvP01_08_v2:1453070-1453923(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1460800.1-p1   -            629 12569at5820          -            174   6.8e-05   21.4   0.1   1   1   2.9e-07   0.00012   20.6   0.1    18    86   195   263   192   292 0.85 | transcript=PVP01_1460800.1 | gene=PVP01_1460800 | organism=Plasmodium_vivax_P01 | gene_product=fused toes protein homolog FTS, putative | transcript_product=fused toes protein homolog FTS, putative | location=PvP01_14_v2:2626103-2627992(+) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811800.1-p1   -            406 12569at5820          -            174    0.0018   16.8   0.4   1   2    0.0094       4.1    5.9   0.1   136   163   138   165    92   176 0.79 | transcript=PVP01_0811800.1 | gene=PVP01_0811800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=PvP01_08_v2:500973-502193(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811800.1-p1   -            406 12569at5820          -            174    0.0018   16.8   0.4   2   2    0.0017      0.74    8.3   0.0   138   173   363   399   352   400 0.90 | transcript=PVP01_0811800.1 | gene=PVP01_0811800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=PvP01_08_v2:500973-502193(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12569at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12569at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12569at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:18 2026
# [ok]
