#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1125800.1-p1   -            925 3285at5820           -            554    8e-281  930.8  38.5   1   5   4.9e-30   5.3e-27   93.0   0.5     1    76    68   146    68   149 0.93 | transcript=PVP01_1125800.1 | gene=PVP01_1125800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=PvP01_11_v2:1129691-1132468(+) | protein_length=925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 3285at5820           -            554    0.0016   15.4   0.1   1   1   2.4e-06    0.0027   14.7   0.1   289   342   494   548   444   586 0.78 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261100.1-p1   -            528 3285at5820           -            554    0.0017   15.4   0.1   1   1     3e-06    0.0033   14.4   0.1   243   340   337   437   321   494 0.79 | transcript=PVP01_1261100.1 | gene=PVP01_1261100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=PvP01_12_v2:2514922-2518356(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3285at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3285at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3285at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:19 2026
# [ok]
