#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0714500.1-p1   -            179 12730at5820          -            150   9.5e-74  244.9   8.8   1   2   9.7e-23   9.1e-20   69.7   2.3     1    46     1    49     1    53 0.83 | transcript=PVP01_0714500.1 | gene=PVP01_0714500 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=PvP01_07_v2:663476-664676(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0120500.1-p1   -            362 12730at5820          -            150     0.095   11.2   4.6   2   2   0.00021       0.2   10.2   1.3    15    55   297   335   285   356 0.75 | transcript=PVP01_0120500.1 | gene=PVP01_0120500 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein, VIR protein | transcript_product=VIR protein | location=PvP01_01_v2:939459-940803(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12730at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12730at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12730at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:44 2026
# [ok]
