#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0302300.1-p1   -            585 4740at5820           -            449  1.4e-262  870.0  35.8   1   2  6.5e-118    6e-115  383.5  12.2     1   215     5   225     5   285 0.93 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 4740at5820           -            449   2.6e-12   45.2  19.4   4   5   0.00019      0.17    9.5   0.1   379   408   240   270   236   285 0.85 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 4740at5820           -            449   2.6e-12   45.2  19.4   5   5   7.7e-09   7.2e-06   24.0   0.8   318   414   296   392   276   426 0.78 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4740at5820           -            449   8.5e-11   40.2   7.3   1   8      0.62   5.8e+02   -2.1   0.0   242   273    21    55    19    61 0.77 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4740at5820           -            449   8.5e-11   40.2   7.3   2   8     8e-05     0.074   10.7   0.0   230   265   226   261   192   279 0.68 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4740at5820           -            449   8.5e-11   40.2   7.3   3   8      0.17   1.6e+02   -0.2   0.0   239   274   318   353   309   361 0.72 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4740at5820           -            449   8.5e-11   40.2   7.3   4   8   4.3e-06     0.004   14.9   0.1   232   274   364   406   344   411 0.87 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4740at5820           -            449   8.5e-11   40.2   7.3   5   8      0.84   7.8e+02   -2.5   0.0    62   102   427   469   422   483 0.75 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4740at5820           -            449   8.5e-11   40.2   7.3   6   8   0.00014      0.13    9.9   0.0   238   275   681   718   673   725 0.91 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4740at5820           -            449   8.5e-11   40.2   7.3   7   8       0.2   1.9e+02   -0.5   0.0    58    85   808   835   801   845 0.67 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4740at5820           -            449   8.5e-11   40.2   7.3   8   8      0.34   3.2e+02   -1.2   0.0   390   414   931   956   873  1011 0.66 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 4740at5820           -            449   3.1e-08   31.8  16.3   1   6    0.0026       2.4    5.8   0.1   225   266    26    68    15    85 0.67 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 4740at5820           -            449   3.1e-08   31.8  16.3   2   6     0.003       2.8    5.6   0.1    57    86    96   125    84   130 0.80 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 4740at5820           -            449   3.1e-08   31.8  16.3   3   6     0.024        22    2.6   0.1   235   268   175   209   163   213 0.80 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 4740at5820           -            449   3.1e-08   31.8  16.3   4   6    0.0033       3.1    5.4   0.6   211   264   213   270   204   289 0.73 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 4740at5820           -            449   3.1e-08   31.8  16.3   5   6   0.00076      0.71    7.5   0.1    58    85   297   324   277   337 0.70 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 4740at5820           -            449   3.1e-08   31.8  16.3   6   6   5.1e-05     0.048   11.4   0.1   374   409   339   375   334   391 0.81 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 4740at5820           -            449   8.9e-07   27.0  18.8   1   4   4.3e-07    0.0004   18.2   2.7   330   430    39   135    19   138 0.60 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 4740at5820           -            449   8.9e-07   27.0  18.8   2   4    0.0057       5.3    4.6   0.1   237   268   138   171   132   182 0.74 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 4740at5820           -            449   8.9e-07   27.0  18.8   3   4    0.0054       5.1    4.7   0.1   229   272   281   324   268   335 0.65 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 4740at5820           -            449   8.9e-07   27.0  18.8   4   4   0.00083      0.78    7.4   1.4    58   136   342   416   333   434 0.73 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 4740at5820           -            449   0.00024   18.9  15.7   1   4   7.2e-07   0.00067   17.5   0.3   205   274   207   278   198   289 0.77 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 4740at5820           -            449   0.00024   18.9  15.7   2   4     0.002       1.9    6.1   0.5   381   414   299   333   287   371 0.74 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 4740at5820           -            449   0.00024   18.9  15.7   3   4    0.0088       8.2    4.0   1.1   213   263   422   472   350   502 0.78 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 4740at5820           -            449   0.00024   18.9  15.7   4   4      0.88   8.2e+02   -2.6   0.1    69    92   736   759   674   764 0.56 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4740at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4740at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4740at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:49 2026
# [ok]
