#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0116800.1-p1   -           1093 2167at5820           -            898         0 1746.0 122.5   1   3         0         0 1680.2  55.6     1   824     1   874     1   876 0.93 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 2167at5820           -            898   3.8e-57  192.5  11.6   4   5       5.6     9e+02   -4.0   7.0   788   864  2948  3025  2937  3049 0.35 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 2167at5820           -            898   3.8e-57  192.5  11.6   5   5       5.6   8.9e+02   -4.0   6.7   804   835  3191  3222  3134  3254 0.60 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 2167at5820           -            898   3.6e-46  156.1  16.2   1   5       6.4     1e+03   -4.2   5.1   752   805     5    69     3    94 0.40 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 2167at5820           -            898   3.6e-46  156.1  16.2   2   5   2.8e-20   4.5e-18   63.2   8.7    98   325   188   416   180   431 0.75 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 2167at5820           -            898   3.6e-46  156.1  16.2   3   5      0.69   1.1e+02   -1.0   0.8   356   416   540   596   523   640 0.76 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 2167at5820           -            898   3.6e-46  156.1  16.2   4   5    0.0019       0.3    7.5  11.1   422   527   735   853   720   869 0.67 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 2167at5820           -            898   3.6e-46  156.1  16.2   5   5   1.6e-33   2.5e-31  107.0   0.8   534   639   988  1093   960  1116 0.84 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 2167at5820           -            898   1.2e-45  154.4   3.3   1   6   3.1e-26   4.9e-24   82.9   0.1   108   333   327   543   302   574 0.81 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 2167at5820           -            898   1.2e-45  154.4   3.3   2   6       2.1   3.4e+02   -2.6   0.1   349   433   604   685   599   690 0.85 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 2167at5820           -            898   1.2e-45  154.4   3.3   3   6       1.2   1.8e+02   -1.7  24.5   768   856  1027  1117  1014  1125 0.47 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 2167at5820           -            898   1.2e-45  154.4   3.3   4   6   3.5e-26   5.6e-24   82.7   0.7   511   661  1218  1375  1209  1396 0.87 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 2167at5820           -            898   1.2e-45  154.4   3.3   5   6       2.1   3.3e+02   -2.6   3.5   760   786  1933  1959  1920  1985 0.54 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 2167at5820           -            898   1.2e-45  154.4   3.3   6   6       1.6   2.5e+02   -2.2   3.7   812   850  2174  2212  2167  2228 0.74 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 2167at5820           -            898   2.1e-43  147.0   3.3   1   3   8.3e-34   1.3e-31  107.9   0.6   125   435   693  1008   654  1018 0.78 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 2167at5820           -            898   2.1e-43  147.0   3.3   2   3   0.00092      0.15    8.5   0.1   490   558  1020  1087  1010  1091 0.77 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 2167at5820           -            898   2.1e-43  147.0   3.3   3   3   4.1e-16   6.6e-14   49.4   0.1   560   656  1124  1219  1120  1264 0.88 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 2167at5820           -            898   2.9e-39  133.2  14.1   1   4   5.5e-07   8.8e-05   19.2   0.1   118   175   214   267   167   279 0.73 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 2167at5820           -            898   2.9e-39  133.2  14.1   2   4      0.13        21    1.4   0.1   190   253   373   431   365   449 0.75 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 2167at5820           -            898   2.9e-39  133.2  14.1   3   4   2.8e-11   4.4e-09   33.4   0.0   258   314   960  1017   950  1039 0.87 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 2167at5820           -            898   2.9e-39  133.2  14.1   4   4   1.3e-26   2.1e-24   84.1   3.3   484   661  1410  1587  1379  1589 0.91 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010870.1-p1   -            335 2167at5820           -            898   3.7e-27   93.2   3.3   1   1   2.9e-29   4.7e-27   92.9   3.3   130   391     5   251     1   256 0.86 | transcript=PVP01_0010870.1 | gene=PVP01_0010870 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Transfer.PvP01_00_203.final:1-1104(+) | protein_length=335 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_1114400.1-p1   -            877 2167at5820           -            898   6.2e-27   92.5  16.0   1   2   3.1e-18     5e-16   56.4   5.9   113   393   298   551   193   574 0.73 | transcript=PVP01_1114400.1 | gene=PVP01_1114400 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:617560-620193(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114400.1-p1   -            877 2167at5820           -            898   6.2e-27   92.5  16.0   2   2   9.2e-14   1.5e-11   41.6   2.4   516   702   638   823   612   831 0.84 | transcript=PVP01_1114400.1 | gene=PVP01_1114400 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:617560-620193(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 2167at5820           -            898   2.7e-18   63.9  14.0   1   4       9.3   1.5e+03   -4.7   1.2   779   811   653   666   638   695 0.50 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 2167at5820           -            898   2.7e-18   63.9  14.0   2   4   0.00034     0.055    9.9   0.1   154   174   723   743   718   806 0.86 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 2167at5820           -            898   2.7e-18   63.9  14.0   3   4   8.8e-07   0.00014   18.5   0.2   265   334   965  1034   958  1143 0.65 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 2167at5820           -            898   2.7e-18   63.9  14.0   4   4   4.1e-14   6.5e-12   42.8   0.0   564   643  1417  1496  1410  1506 0.93 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 2167at5820           -            898   5.1e-05   20.0  13.9   1   1   5.1e-07   8.1e-05   19.3  13.9   766   835   101   170    37   181 0.44 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 2167at5820           -            898   9.8e-05   19.0  34.8   1   2   1.8e-06   0.00029   17.4   9.8   762   821   207   272   137   311 0.54 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 2167at5820           -            898   9.8e-05   19.0  34.8   2   2    0.0018      0.28    7.6  17.0   769   830   403   459   356   492 0.45 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 2167at5820           -            898   0.00026   17.6   6.2   1   1   2.1e-06   0.00034   17.2   6.2   758   830   124   178    81   206 0.48 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024000.1-p1   -            753 2167at5820           -            898   0.00043   16.9  60.1   1   3      0.15        24    1.2   0.1   487   572    23   110    11   117 0.79 | transcript=PVP01_1024000.1 | gene=PVP01_1024000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1047645-1050617(-) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024000.1-p1   -            753 2167at5820           -            898   0.00043   16.9  60.1   2   3   0.00032     0.052   10.0  43.5   748   850   239   349   235   376 0.60 | transcript=PVP01_1024000.1 | gene=PVP01_1024000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1047645-1050617(-) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024000.1-p1   -            753 2167at5820           -            898   0.00043   16.9  60.1   3   3   2.9e-05    0.0046   13.5   3.9   754   805   428   479   394   523 0.57 | transcript=PVP01_1024000.1 | gene=PVP01_1024000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1047645-1050617(-) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423500.1-p1   -            244 2167at5820           -            898    0.0071   12.9  17.9   1   1   5.7e-05     0.009   12.5  17.9   752   847    56   148    15   169 0.57 | transcript=PVP01_1423500.1 | gene=PVP01_1423500 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_14_v2:1036514-1037658(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612100.1-p1   -           1745 2167at5820           -            898     0.009   12.5  12.6   1   1   8.3e-05     0.013   12.0  12.6   770   826  1228  1285  1107  1331 0.67 | transcript=PVP01_0612100.1 | gene=PVP01_0612100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:529128-534365(-) | protein_length=1745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 2167at5820           -            898     0.015   11.8  27.0   1   2    0.0067       1.1    5.6   4.1   762   824    73   135    37   183 0.47 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 2167at5820           -            898     0.015   11.8  27.0   2   2   7.2e-05     0.012   12.2  15.0   754   849   229   324   204   361 0.46 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411700.1-p1   -            158 2167at5820           -            898     0.017   11.6  15.1   1   1   0.00013     0.021   11.3  15.1   704   821    25   154    16   158 0.38 | transcript=PVP01_1411700.1 | gene=PVP01_1411700 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=PvP01_14_v2:528162-528638(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305800.1-p1   -            847 2167at5820           -            898     0.029   10.8  39.9   1   2   7.6e-06    0.0012   15.4  32.7   762   816   352   407   337   461 0.52 | transcript=PVP01_0305800.1 | gene=PVP01_0305800 | organism=Plasmodium_vivax_P01 | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=PvP01_03_v2:300645-303365(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305800.1-p1   -            847 2167at5820           -            898     0.029   10.8  39.9   2   2      0.61        97   -0.8   0.7   327   410   662   741   635   764 0.75 | transcript=PVP01_0305800.1 | gene=PVP01_0305800 | organism=Plasmodium_vivax_P01 | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=PvP01_03_v2:300645-303365(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265600.1-p1   -            502 2167at5820           -            898     0.045   10.2  23.4   1   1    0.0005     0.079    9.4  23.4   745   811   430   500   390   502 0.47 | transcript=PVP01_1265600.1 | gene=PVP01_1265600 | organism=Plasmodium_vivax_P01 | gene_product=FACT complex subunit SSRP1, putative | transcript_product=FACT complex subunit SSRP1, putative | location=PvP01_12_v2:2719803-2721311(-) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 2167at5820           -            898     0.053   10.0   5.2   1   1   0.00041     0.065    9.7   5.2   770   830    42   108     2   131 0.40 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924700.1-p1   -           1497 2167at5820           -            898     0.057    9.9  16.7   1   1   0.00068      0.11    8.9  16.7   767   823   826   866   789   875 0.44 | transcript=PVP01_0924700.1 | gene=PVP01_0924700 | organism=Plasmodium_vivax_P01 | gene_product=BEACH domain-containing protein, putative | transcript_product=BEACH domain-containing protein, putative | location=PvP01_09_v2:1100164-1104657(-) | protein_length=1497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
