#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1426000.1-p1   -           1070 2482at5820           -            609         0 1160.3  52.5   1   4   1.9e-23   5.8e-21   73.0   3.0     1    69     1    70     1    76 0.95 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407300.1-p1   -            393 2482at5820           -            609   2.7e-55  186.4   0.4   1   2      0.35   1.1e+02   -0.6   0.8   285   322    13    51     1    83 0.52 | transcript=PVP01_1407300.1 | gene=PVP01_1407300 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=PvP01_14_v2:344749-345930(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407300.1-p1   -            393 2482at5820           -            609   2.7e-55  186.4   0.4   2   2   8.6e-58   2.7e-55  186.4   0.4   293   545   118   367    76   391 0.88 | transcript=PVP01_1407300.1 | gene=PVP01_1407300 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=PvP01_14_v2:344749-345930(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466000.1-p1   -            424 2482at5820           -            609     2e-52  176.9   0.1   1   1   9.4e-55   2.9e-52  176.3   0.1   308   544   159   396   106   417 0.90 | transcript=PVP01_1466000.1 | gene=PVP01_1466000 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=PvP01_14_v2:2814369-2815643(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520100.1-p1   -            392 2482at5820           -            609   9.3e-51  171.4   0.0   1   2         1   3.2e+02   -2.1   2.3   533   577    13    55     6    72 0.63 | transcript=PVP01_0520100.1 | gene=PVP01_0520100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=PvP01_05_v2:816808-818171(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520100.1-p1   -            392 2482at5820           -            609   9.3e-51  171.4   0.0   2   2     3e-53   9.3e-51  171.4   0.0   307   544   128   367   108   389 0.94 | transcript=PVP01_0520100.1 | gene=PVP01_0520100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=PvP01_05_v2:816808-818171(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931200.1-p1   -            441 2482at5820           -            609   2.5e-50  169.9   0.0   1   2       4.4   1.4e+03   -4.2   2.5    30    88     3    58     1    75 0.52 | transcript=PVP01_0931200.1 | gene=PVP01_0931200 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=PvP01_09_v2:1338910-1340235(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931200.1-p1   -            441 2482at5820           -            609   2.5e-50  169.9   0.0   2   2   8.1e-53   2.5e-50  169.9   0.0   301   546   172   419   151   439 0.90 | transcript=PVP01_0931200.1 | gene=PVP01_0931200 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=PvP01_09_v2:1338910-1340235(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 2482at5820           -            609   1.2e-49  167.7  18.9   1   3      0.18        57    0.3   0.1   258   324    17    85     5   110 0.77 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 2482at5820           -            609   1.2e-49  167.7  18.9   2   3   3.3e-51     1e-48  164.6   5.3   292   553   233   506   215   523 0.81 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 2482at5820           -            609   1.2e-49  167.7  18.9   3   3   0.00019     0.059   10.2   1.7    72   164   539   628   527   648 0.72 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412500.1-p1   -            420 2482at5820           -            609   1.3e-49  167.7   0.0   1   1   5.7e-52   1.8e-49  167.2   0.0   303   545   148   392   142   403 0.91 | transcript=PVP01_1412500.1 | gene=PVP01_1412500 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=PvP01_14_v2:550653-552145(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 2482at5820           -            609   1.7e-49  167.2   0.0   1   1   1.1e-51   3.5e-49  166.2   0.0   337   543   180   391   147   406 0.89 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 2482at5820           -            609   9.7e-49  164.7   0.8   1   3       5.8   1.8e+03   -4.6   7.0    28   108    24   113     8   116 0.59 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 2482at5820           -            609   9.7e-49  164.7   0.8   2   3   3.1e-51   9.7e-49  164.7   0.8   297   545   226   476   181   500 0.90 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 2482at5820           -            609   9.7e-49  164.7   0.8   3   3      0.82   2.6e+02   -1.8   0.4   263   312   604   655   583   698 0.64 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808100.1-p1   -            447 2482at5820           -            609     2e-46  157.0   0.0   1   1     9e-49   2.8e-46  156.6   0.0   315   552   190   429   150   442 0.89 | transcript=PVP01_0808100.1 | gene=PVP01_0808100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=PvP01_08_v2:362144-363776(-) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920200.1-p1   -            950 2482at5820           -            609   1.6e-41  140.9   0.4   1   1   7.5e-44   2.3e-41  140.3   0.4   224   534   302   627   284   637 0.82 | transcript=PVP01_0920200.1 | gene=PVP01_0920200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_09_v2:877371-880223(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 2482at5820           -            609   3.2e-37  126.7   4.7   1   1   1.6e-39   4.8e-37  126.1   4.7   314   555   421   664   393   685 0.84 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 2482at5820           -            609   1.1e-36  124.9   6.4   1   2   1.5e-38   4.7e-36  122.8   4.5   266   498    67   296    21   299 0.92 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 2482at5820           -            609   1.1e-36  124.9   6.4   2   2     0.062        19    1.9   0.0   510   541   326   357   319   372 0.84 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 2482at5820           -            609     8e-21   72.5   1.1   1   2   1.8e-18   5.6e-16   56.5   0.5   247   451   497   704   473   714 0.74 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 2482at5820           -            609     8e-21   72.5   1.1   2   2   1.1e-05    0.0035   14.3   0.0   455   490   792   827   768   839 0.82 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 2482at5820           -            609   1.4e-14   51.9   0.6   1   1   6.4e-17     2e-14   51.4   0.6   348   501   342   513   315   541 0.76 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 2482at5820           -            609   2.2e-14   51.2   0.0   1   1   1.2e-16   3.6e-14   50.5   0.0   352   428   743   820   739   886 0.86 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107600.1-p1   -            665 2482at5820           -            609     5e-12   43.5   0.1   1   1   1.6e-14     5e-12   43.5   0.1   353   487   345   479   340   502 0.84 | transcript=PVP01_0107600.1 | gene=PVP01_0107600 | organism=Plasmodium_vivax_P01 | gene_product=ATPase family AAA domain-containing protein 3A, putative | transcript_product=ATPase family AAA domain-containing protein 3A, putative | location=PvP01_01_v2:380468-382465(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 2482at5820           -            609   6.4e-06   23.3   0.0   1   2   8.4e-05     0.026   11.4   0.0   341   384   244   287   235   294 0.84 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 2482at5820           -            609   6.4e-06   23.3   0.0   2   2   0.00037      0.11    9.2   0.0   442   491   369   419   363   441 0.83 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2482at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2482at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2482at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:16 2026
# [ok]
