#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0304100.1-p1   -            762 4841at5820           -            504  2.3e-254  843.3  42.5   1   5   1.8e-82   1.1e-79  267.1   2.1     3   155     4   166     1   168 0.91 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916200.1-p1   -            487 4841at5820           -            504   1.1e-17   62.5  12.0   2   3   2.5e-10   1.5e-07   29.1   0.5   247   308   279   335   248   341 0.88 | transcript=PVP01_0916200.1 | gene=PVP01_0916200 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:730476-731939(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916200.1-p1   -            487 4841at5820           -            504   1.1e-17   62.5  12.0   3   3   2.3e-13   1.4e-10   39.1   1.4   347   487   347   471   341   477 0.89 | transcript=PVP01_0916200.1 | gene=PVP01_0916200 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:730476-731939(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916100.1-p1   -            495 4841at5820           -            504   1.3e-17   62.3  11.7   1   2   3.3e-10     2e-07   28.7   0.6   246   307   284   340   172   346 0.91 | transcript=PVP01_0916100.1 | gene=PVP01_0916100 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=PvP01_09_v2:726694-728181(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916100.1-p1   -            495 4841at5820           -            504   1.3e-17   62.3  11.7   2   2   2.8e-12   1.7e-09   35.5   4.8   348   485   354   475   343   483 0.86 | transcript=PVP01_0916100.1 | gene=PVP01_0916100 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=PvP01_09_v2:726694-728181(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 4841at5820           -            504   4.4e-12   44.0  19.7   1   2   4.1e-11   2.4e-08   31.7  10.9   125   317   236   420   225   441 0.85 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 4841at5820           -            504   4.4e-12   44.0  19.7   2   2     3e-06    0.0018   15.6   3.0   381   485   453   566   423   574 0.70 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916000.1-p1   -            484 4841at5820           -            504   1.5e-08   32.4  17.1   1   2   3.4e-05      0.02   12.2   0.7   244   307   274   332   261   343 0.85 | transcript=PVP01_0916000.1 | gene=PVP01_0916000 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:722356-723810(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916000.1-p1   -            484 4841at5820           -            504   1.5e-08   32.4  17.1   2   2   3.9e-09   2.3e-06   25.2   6.2   360   484   358   466   338   479 0.81 | transcript=PVP01_0916000.1 | gene=PVP01_0916000 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:722356-723810(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 4841at5820           -            504    0.0002   18.8   0.4   1   2     0.035        21    2.2   2.7   129   267   150   282   124   292 0.74 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 4841at5820           -            504    0.0002   18.8   0.4   2   2   3.4e-07    0.0002   18.8   0.4   421   480   433   489   421   492 0.79 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416800.1-p1   -           1014 4841at5820           -            504   0.00082   16.8   0.9   1   1   2.7e-06    0.0016   15.8   0.9   433   480   700   742   664   746 0.88 | transcript=PVP01_0416800.1 | gene=PVP01_0416800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=PvP01_04_v2:685685-689183(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417700.1-p1   -           1127 4841at5820           -            504    0.0052   14.1   0.5   1   1   1.6e-05    0.0093   13.3   0.5   435   480   747   787   734   791 0.87 | transcript=PVP01_0417700.1 | gene=PVP01_0417700 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:729808-733689(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416900.1-p1   -           1149 4841at5820           -            504    0.0069   13.7   1.3   1   2       1.4   8.4e+02   -3.1   0.0    57    76   372   391   357   399 0.83 | transcript=PVP01_0416900.1 | gene=PVP01_0416900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:690308-694235(+) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416900.1-p1   -           1149 4841at5820           -            504    0.0069   13.7   1.3   2   2   1.6e-05    0.0097   13.2   0.3   437   480   765   803   759   807 0.87 | transcript=PVP01_0416900.1 | gene=PVP01_0416900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:690308-694235(+) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4841at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4841at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4841at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:12 2026
# [ok]
