#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0216000.1-p1   -           1316 1802at5820           -            635         0 1014.0 102.0   1   4   1.1e-18   6.2e-16   56.7   0.5     7    68    40   110    35   118 0.86 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457300.1-p1   -           2442 1802at5820           -            635   8.3e-12   43.0   6.7   1   2       1.9     1e+03   -3.5   3.1   135   266  1814  1954  1800  1972 0.61 | transcript=PVP01_1457300.1 | gene=PVP01_1457300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:2489178-2496506(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457300.1-p1   -           2442 1802at5820           -            635   8.3e-12   43.0   6.7   2   2   1.5e-14   8.3e-12   43.0   6.7   335   620  2102  2409  2081  2417 0.71 | transcript=PVP01_1457300.1 | gene=PVP01_1457300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:2489178-2496506(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135300.1-p1   -           3981 1802at5820           -            635   7.2e-11   39.9   8.6   1   2   7.3e-08     4e-05   21.0   1.1   307   385  2763  2841  2735  2848 0.85 | transcript=PVP01_1135300.1 | gene=PVP01_1135300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_11_v2:1503110-1515055(-) | protein_length=3981 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135300.1-p1   -           3981 1802at5820           -            635   7.2e-11   39.9   8.6   2   2   3.7e-08     2e-05   21.9   1.2   335   393  3354  3412  3331  3423 0.83 | transcript=PVP01_1135300.1 | gene=PVP01_1135300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_11_v2:1503110-1515055(-) | protein_length=3981 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303400.1-p1   -           3545 1802at5820           -            635   1.9e-09   35.2  20.4   1   3   6.8e-11   3.7e-08   31.0   2.1   313   386   874   947   828   950 0.76 | transcript=PVP01_0303400.1 | gene=PVP01_0303400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=PvP01_03_v2:171877-182656(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303400.1-p1   -           3545 1802at5820           -            635   1.9e-09   35.2  20.4   2   3   3.1e-06    0.0017   15.6   3.1   315   394  1883  1958  1860  1985 0.89 | transcript=PVP01_0303400.1 | gene=PVP01_0303400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=PvP01_03_v2:171877-182656(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303400.1-p1   -           3545 1802at5820           -            635   1.9e-09   35.2  20.4   3   3       1.3     7e+02   -3.0   0.9   155   211  2754  2810  2742  2884 0.80 | transcript=PVP01_0303400.1 | gene=PVP01_0303400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=PvP01_03_v2:171877-182656(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418100.1-p1   -           2530 1802at5820           -            635   1.2e-07   29.2   2.5   1   2       4.2   2.3e+03   -4.7  12.2   167   260   267   348   211   362 0.57 | transcript=PVP01_1418100.1 | gene=PVP01_1418100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-FG, putative | transcript_product=AP2 domain transcription factor AP2-FG, putative | location=PvP01_14_v2:797432-805024(+) | protein_length=2530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418100.1-p1   -           2530 1802at5820           -            635   1.2e-07   29.2   2.5   2   2   2.3e-10   1.2e-07   29.2   2.5   337   406  1242  1312  1226  1339 0.81 | transcript=PVP01_1418100.1 | gene=PVP01_1418100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-FG, putative | transcript_product=AP2 domain transcription factor AP2-FG, putative | location=PvP01_14_v2:797432-805024(+) | protein_length=2530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320200.1-p1   -            817 1802at5820           -            635   4.2e-06   24.2  13.3   1   2   8.2e-08   4.4e-05   20.8   1.3   332   390    46   104    18   125 0.83 | transcript=PVP01_1320200.1 | gene=PVP01_1320200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=PvP01_13_v2:919162-921615(+) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320200.1-p1   -            817 1802at5820           -            635   4.2e-06   24.2  13.3   2   2   0.00048      0.26    8.3   4.8   530   620   717   801   699   805 0.86 | transcript=PVP01_1320200.1 | gene=PVP01_1320200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=PvP01_13_v2:919162-921615(+) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916300.1-p1   -            240 1802at5820           -            635    0.0052   14.0   2.9   1   1    0.0016      0.85    6.6   2.9   351   385   137   171   112   240 0.63 | transcript=PVP01_0916300.1 | gene=PVP01_0916300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_09_v2:734537-735740(+) | protein_length=240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331400.1-p1   -            478 1802at5820           -            635     0.022   11.9   1.1   1   1   6.2e-05     0.034   11.3   1.1    88   177   367   461   362   469 0.73 | transcript=PVP01_1331400.1 | gene=PVP01_1331400 | organism=Plasmodium_vivax_P01 | gene_product=H/ACA ribonucleoprotein complex subunit 4, putative | transcript_product=H/ACA ribonucleoprotein complex subunit 4, putative | location=PvP01_13_v2:1330590-1332026(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1802at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1802at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1802at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:49 2026
# [ok]
