#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0621700.1-p1   -            301 8914at5820           -            281  6.9e-183  604.8   7.0   1   1  9.5e-186  7.8e-183  604.6   7.0     1   281     8   298     8   298 0.98 | transcript=PVP01_0621700.1 | gene=PVP01_0621700 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=PvP01_06_v2:884744-885649(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 8914at5820           -            281   1.3e-07   29.7   3.1   1   1   1.6e-09   1.3e-06   26.4   3.1    56   252    85   294    25   316 0.72 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458700.1-p1   -            259 8914at5820           -            281   6.8e-06   24.1   4.4   1   2   8.3e-05     0.068   11.0   0.3   158   227    41   113     1   118 0.64 | transcript=PVP01_1458700.1 | gene=PVP01_1458700 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=PvP01_14_v2:2569140-2570912(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458700.1-p1   -            259 8914at5820           -            281   6.8e-06   24.1   4.4   2   2   4.6e-05     0.038   11.8   0.5    48   141   119   213   111   251 0.67 | transcript=PVP01_1458700.1 | gene=PVP01_1458700 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=PvP01_14_v2:2569140-2570912(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301500.1-p1   -            323 8914at5820           -            281     4e-05   21.6   3.1   1   2   7.6e-06    0.0062   14.4   0.2   102   226    27   154    15   162 0.52 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301500.1-p1   -            323 8914at5820           -            281     4e-05   21.6   3.1   2   2    0.0003      0.24    9.1   0.7    16   191   140   310   127   315 0.68 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8914at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8914at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8914at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:09 2026
# [ok]
