#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0916500.1-p1   -            272 10500at5820          -            250  3.7e-133  441.1  21.3   1   1    6e-135  3.2e-132  438.1  21.3    23   250     1   257     1   257 0.91 | transcript=PVP01_0916500.1 | gene=PVP01_0916500 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=PvP01_09_v2:740696-742699(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731200.1-p1   -            520 10500at5820          -            250     8e-10   37.1   8.9   2   3   1.5e-12     8e-10   37.1   8.9   101   153   304   356   290   394 0.83 | transcript=PVP01_0731200.1 | gene=PVP01_0731200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=PvP01_07_v2:1312725-1315612(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731200.1-p1   -            520 10500at5820          -            250     8e-10   37.1   8.9   3   3       1.1     6e+02   -1.7   0.3     4    26   375   397   372   412 0.64 | transcript=PVP01_0731200.1 | gene=PVP01_0731200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=PvP01_07_v2:1312725-1315612(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921600.1-p1   -            289 10500at5820          -            250   4.4e-09   34.7  24.0   1   1     6e-11   3.3e-08   31.9  24.0    45   154    59   167    32   265 0.77 | transcript=PVP01_0921600.1 | gene=PVP01_0921600 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=PvP01_09_v2:936511-938168(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422200.1-p1   -            287 10500at5820          -            250   4.7e-09   34.6  11.0   1   2   8.6e-12   4.7e-09   34.6  11.0    33   147    51   154    15   184 0.70 | transcript=PVP01_0422200.1 | gene=PVP01_0422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=PvP01_04_v2:898201-900382(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422200.1-p1   -            287 10500at5820          -            250   4.7e-09   34.6  11.0   2   2      0.77   4.2e+02   -1.2   0.1   169   199   214   243   193   264 0.66 | transcript=PVP01_0422200.1 | gene=PVP01_0422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=PvP01_04_v2:898201-900382(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 10500at5820          -            250   2.7e-08   32.1   2.0   1   1   8.9e-11   4.8e-08   31.3   2.0    93   158   436   506   407   585 0.67 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10500at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10500at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10500at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:28 2026
# [ok]
