#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1244900.1-p1   -           1071 1552at5820           -            902         0 1845.4  35.8   1   3  4.9e-303  4.6e-300  996.3  10.8     1   451    31   490    31   496 0.99 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1552at5820           -            902   1.2e-13   48.6  16.7   3   6    0.0046       4.2    3.7   0.0   275   308   623   656   600   677 0.82 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1552at5820           -            902   1.2e-13   48.6  16.7   4   6     5e-06    0.0046   13.5   0.4   377   437   840   901   826   913 0.77 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1552at5820           -            902   1.2e-13   48.6  16.7   5   6      0.18   1.7e+02   -1.6   0.1   540   592   981  1033   972  1036 0.91 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1552at5820           -            902   1.2e-13   48.6  16.7   6   6     2e-09   1.9e-06   24.8   0.1   524   734  1153  1400  1143  1425 0.72 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1552at5820           -            902     2e-08   31.3   2.5   1   3   1.2e-07   0.00011   18.9   0.4    36   197   151   295   144   313 0.80 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1552at5820           -            902     2e-08   31.3   2.5   2   3     0.021        19    1.6   0.0   415   433   601   619   588   624 0.89 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1552at5820           -            902     2e-08   31.3   2.5   3   3   0.00055      0.51    6.8   0.0   541   561   917   937   910   950 0.86 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620000.1-p1   -            886 1552at5820           -            902     2e-07   27.9  21.1   1   5      0.11     1e+02   -0.9   0.2   814   872    77   138    67   166 0.68 | transcript=PVP01_0620000.1 | gene=PVP01_0620000 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_06_v2:812696-815356(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620000.1-p1   -            886 1552at5820           -            902     2e-07   27.9  21.1   2   5   2.3e-06    0.0021   14.6   1.8     5    93   188   278   184   340 0.77 | transcript=PVP01_0620000.1 | gene=PVP01_0620000 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_06_v2:812696-815356(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620000.1-p1   -            886 1552at5820           -            902     2e-07   27.9  21.1   3   5     0.025        23    1.3   0.1   371   434   369   435   351   445 0.81 | transcript=PVP01_0620000.1 | gene=PVP01_0620000 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_06_v2:812696-815356(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620000.1-p1   -            886 1552at5820           -            902     2e-07   27.9  21.1   4   5   1.6e-09   1.5e-06   25.1   0.1   469   561   440   529   435   550 0.82 | transcript=PVP01_0620000.1 | gene=PVP01_0620000 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_06_v2:812696-815356(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620000.1-p1   -            886 1552at5820           -            902     2e-07   27.9  21.1   5   5       1.5   1.4e+03   -4.6   0.9   720   786   670   738   614   757 0.63 | transcript=PVP01_0620000.1 | gene=PVP01_0620000 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_06_v2:812696-815356(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1415300.1-p1   -            123 1552at5820           -            902     0.015   11.8   1.0   1   1   1.9e-05     0.018   11.6   1.0   617   707    15   103     6   115 0.83 | transcript=PVP01_1415300.1 | gene=PVP01_1415300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:684870-685412(-) | protein_length=123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1552at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1552at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1552at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:23 2026
# [ok]
