#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1113500.1-p1   -            135 14437at5820          -            112   8.6e-54  179.1  14.0   1   2   1.1e-55   5.8e-53  176.4  10.2     1   107     5   115     5   119 0.93 | transcript=PVP01_1113500.1 | gene=PVP01_1113500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:583639-584541(-) | protein_length=135 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0002270.1-p1   -            287 14437at5820          -            112     0.027   13.2   0.4   1   4       6.8   3.7e+03   -3.3   2.6    67    87    11    31     1    44 0.46 | transcript=PVP01_0002270.1 | gene=PVP01_0002270 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_4.final:102063-103057(+) | protein_length=287 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0002270.1-p1   -            287 14437at5820          -            112     0.027   13.2   0.4   2   4       1.9     1e+03   -1.6   0.1    17    32    83    98    74   110 0.55 | transcript=PVP01_0002270.1 | gene=PVP01_0002270 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_4.final:102063-103057(+) | protein_length=287 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0002270.1-p1   -            287 14437at5820          -            112     0.027   13.2   0.4   3   4      0.96   5.2e+02   -0.6   0.1     8    74   147   172   136   194 0.54 | transcript=PVP01_0002270.1 | gene=PVP01_0002270 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_4.final:102063-103057(+) | protein_length=287 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0002270.1-p1   -            287 14437at5820          -            112     0.027   13.2   0.4   4   4     5e-05     0.027   13.2   0.4    61    91   233   263   197   278 0.76 | transcript=PVP01_0002270.1 | gene=PVP01_0002270 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_4.final:102063-103057(+) | protein_length=287 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_1411200.1-p1   -            144 14437at5820          -            112      0.37    9.6   9.7   1   1    0.0016      0.89    8.3   9.7    18   103    55   139    38   143 0.61 | transcript=PVP01_1411200.1 | gene=PVP01_1411200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:514396-515021(+) | protein_length=144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1101300.1-p1   -            822 14437at5820          -            112      0.38    9.5   3.9   1   1    0.0013       0.7    8.7   3.9    29   102   709   780   693   790 0.65 | transcript=PVP01_1101300.1 | gene=PVP01_1101300 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_11_v2:62171-64808(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0007840.1-p1   -            467 14437at5820          -            112      0.45    9.3  40.3   1   6       1.6   8.5e+02   -1.3   1.2    61   101     3    19     1    28 0.55 | transcript=PVP01_0007840.1 | gene=PVP01_0007840 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_31.final:9882-11409(+) | protein_length=467 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0007840.1-p1   -            467 14437at5820          -            112      0.45    9.3  40.3   2   6     0.016       8.7    5.1   0.1    40    77   130   165   113   175 0.76 | transcript=PVP01_0007840.1 | gene=PVP01_0007840 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_31.final:9882-11409(+) | protein_length=467 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0007840.1-p1   -            467 14437at5820          -            112      0.45    9.3  40.3   3   6   0.00016     0.089   11.5   1.3    61   109   183   230   177   232 0.86 | transcript=PVP01_0007840.1 | gene=PVP01_0007840 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_31.final:9882-11409(+) | protein_length=467 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0007840.1-p1   -            467 14437at5820          -            112      0.45    9.3  40.3   4   6      0.94   5.1e+02   -0.6   7.4    73   105   253   284   241   290 0.78 | transcript=PVP01_0007840.1 | gene=PVP01_0007840 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_31.final:9882-11409(+) | protein_length=467 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0007840.1-p1   -            467 14437at5820          -            112      0.45    9.3  40.3   5   6     0.015       8.4    5.2   0.1    50    77   348   375   299   385 0.79 | transcript=PVP01_0007840.1 | gene=PVP01_0007840 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_31.final:9882-11409(+) | protein_length=467 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0007840.1-p1   -            467 14437at5820          -            112      0.45    9.3  40.3   6   6    0.0013      0.71    8.6   1.5    78   109   416   447   400   449 0.82 | transcript=PVP01_0007840.1 | gene=PVP01_0007840 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_31.final:9882-11409(+) | protein_length=467 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0009550.1-p1   -            234 14437at5820          -            112      0.48    9.2  14.0   1   3       4.7   2.6e+03   -2.8   0.1    48    53    56    61    36    80 0.51 | transcript=PVP01_0009550.1 | gene=PVP01_0009550 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_55.final:7854-8558(-) | protein_length=234 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0009550.1-p1   -            234 14437at5820          -            112      0.48    9.2  14.0   2   3      0.11        60    2.4   0.1    54    77   117   140   100   150 0.83 | transcript=PVP01_0009550.1 | gene=PVP01_0009550 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_55.final:7854-8558(-) | protein_length=234 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0009550.1-p1   -            234 14437at5820          -            112      0.48    9.2  14.0   3   3   0.00015     0.079   11.7   6.2    62   109   168   214   146   216 0.79 | transcript=PVP01_0009550.1 | gene=PVP01_0009550 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_55.final:7854-8558(-) | protein_length=234 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0003160.1-p1   -            256 14437at5820          -            112       1.1    8.1   8.6   1   3       6.3   3.4e+03   -3.2   0.3    74    83    15    24     5    29 0.43 | transcript=PVP01_0003160.1 | gene=PVP01_0003160 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_7.final:55131-56017(+) | protein_length=256 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0003160.1-p1   -            256 14437at5820          -            112       1.1    8.1   8.6   2   3      0.32   1.7e+02    0.9   0.1    43    84   136   178   120   183 0.76 | transcript=PVP01_0003160.1 | gene=PVP01_0003160 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_7.final:55131-56017(+) | protein_length=256 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0003160.1-p1   -            256 14437at5820          -            112       1.1    8.1   8.6   3   3   0.00014     0.074   11.8   0.6    84   109   218   243   198   245 0.87 | transcript=PVP01_0003160.1 | gene=PVP01_0003160 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_7.final:55131-56017(+) | protein_length=256 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0002960.1-p1   -            256 14437at5820          -            112       1.9    7.2  11.6   1   3      0.72   3.9e+02   -0.2   0.0    45    75    61    91    39   100 0.84 | transcript=PVP01_0002960.1 | gene=PVP01_0002960 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_6.final:102298-103181(+) | protein_length=256 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0002960.1-p1   -            256 14437at5820          -            112       1.9    7.2  11.6   2   3       0.4   2.2e+02    0.6   0.2    31    77   128   174   114   185 0.65 | transcript=PVP01_0002960.1 | gene=PVP01_0002960 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_6.final:102298-103181(+) | protein_length=256 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0002960.1-p1   -            256 14437at5820          -            112       1.9    7.2  11.6   3   3   0.00028      0.15   10.8   2.4    83   107   212   236   197   240 0.82 | transcript=PVP01_0002960.1 | gene=PVP01_0002960 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_6.final:102298-103181(+) | protein_length=256 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14437at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14437at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14437at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:28 2026
# [ok]
