#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0618100.1-p1   -            512 5626at5820           -            398  3.5e-227  752.6  20.0   1   2  8.1e-212  5.3e-209  692.7  17.7     1   350    44   395    44   403 0.99 | transcript=PVP01_0618100.1 | gene=PVP01_0618100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=PvP01_06_v2:740995-742533(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 5626at5820           -            398   2.8e-09   35.0  22.5   3   5   8.9e-09   5.8e-06   24.1   4.3    90   192   408   511   406   539 0.90 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 5626at5820           -            398   2.8e-09   35.0  22.5   4   5      0.12        76    0.7   0.1    55    90   526   564   511   566 0.77 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 5626at5820           -            398   2.8e-09   35.0  22.5   5   5   1.8e-05     0.012   13.2   2.0     6    96   631   721   627   784 0.85 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004200.1-p1   -            927 5626at5820           -            398   0.00018   19.2  20.6   1   2   8.6e-05     0.056   11.0   7.1    40   178   186   252   143   272 0.55 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004200.1-p1   -            927 5626at5820           -            398   0.00018   19.2  20.6   2   2   2.3e-05     0.015   12.8   5.5    49   186   327   469   302   510 0.61 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 5626at5820           -            398   0.00027   18.6   5.8   1   2     0.002       1.3    6.4   0.1   139   183   198   242   181   270 0.81 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 5626at5820           -            398   0.00027   18.6   5.8   2   2   1.4e-05    0.0089   13.6   1.8    87   196   413   528   398   573 0.67 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1425300.1-p1   -            943 5626at5820           -            398   0.00052   17.7   9.5   1   2     8e-07   0.00052   17.7   9.5    18   218   280   479   265   497 0.74 | transcript=PVP01_1425300.1 | gene=PVP01_1425300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1089356-1092187(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1425300.1-p1   -            943 5626at5820           -            398   0.00052   17.7   9.5   2   2       1.2     8e+02   -2.7   0.6   277   305   698   730   685   744 0.78 | transcript=PVP01_1425300.1 | gene=PVP01_1425300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1089356-1092187(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806100.1-p1   -            892 5626at5820           -            398    0.0017   16.0  11.7   1   3   2.6e-06    0.0017   16.0  11.7    65   179   123   237    93   250 0.88 | transcript=PVP01_0806100.1 | gene=PVP01_0806100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:271830-274508(-) | protein_length=892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806100.1-p1   -            892 5626at5820           -            398    0.0017   16.0  11.7   2   3    0.0015      0.99    6.9   0.5   119   190   214   285   205   319 0.82 | transcript=PVP01_0806100.1 | gene=PVP01_0806100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:271830-274508(-) | protein_length=892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806100.1-p1   -            892 5626at5820           -            398    0.0017   16.0  11.7   3   3      0.49   3.2e+02   -1.4   1.7   111   153   496   542   471   588 0.68 | transcript=PVP01_0806100.1 | gene=PVP01_0806100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:271830-274508(-) | protein_length=892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 5626at5820           -            398     0.015   12.9   5.8   1   3     0.023        15    3.0   0.0   128   192   113   177   101   182 0.84 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 5626at5820           -            398     0.015   12.9   5.8   2   3      0.14        89    0.4   0.1    47   117   257   328   249   333 0.83 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 5626at5820           -            398     0.015   12.9   5.8   3   3   0.00019      0.12    9.9   0.8   111   187   440   516   434   534 0.80 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5626at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5626at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5626at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:37 2026
# [ok]
