#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1024800.1-p1   -            359 9024at5820           -            280  2.7e-141  468.5  27.3   1   2   2.4e-82   1.3e-79  266.1  15.6     1   151    12   163    12   171 0.97 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 9024at5820           -            280   8.9e-25   86.3  73.9   5   7   4.3e-05     0.024   12.7  19.3    27   203   977  1162   966  1174 0.77 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 9024at5820           -            280   8.9e-25   86.3  73.9   6   7    0.0029       1.6    6.7   0.5    43    78  1175  1210  1169  1218 0.85 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 9024at5820           -            280   8.9e-25   86.3  73.9   7   7   3.9e-10   2.1e-07   29.3   7.3    40   152  1225  1340  1216  1362 0.82 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728700.1-p1   -            635 9024at5820           -            280     8e-19   66.7  37.8   1   3   1.9e-13     1e-10   40.1  13.5    42   123    72   154    66   159 0.93 | transcript=PVP01_0728700.1 | gene=PVP01_0728700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:1202565-1205204(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728700.1-p1   -            635 9024at5820           -            280     8e-19   66.7  37.8   2   3     1e-13   5.4e-11   41.1  16.4    38   126   112   204   111   230 0.82 | transcript=PVP01_0728700.1 | gene=PVP01_0728700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:1202565-1205204(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728700.1-p1   -            635 9024at5820           -            280     8e-19   66.7  37.8   3   3       7.2   3.9e+03   -4.4   2.3   227   268   485   528   465   548 0.47 | transcript=PVP01_0728700.1 | gene=PVP01_0728700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:1202565-1205204(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947100.1-p1   -            340 9024at5820           -            280   4.5e-12   44.6  35.3   1   2   1.2e-10   6.3e-08   31.0  15.8    43   148   104   207    75   214 0.83 | transcript=PVP01_0947100.1 | gene=PVP01_0947100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_09_v2:2048173-2049195(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947100.1-p1   -            340 9024at5820           -            280   4.5e-12   44.6  35.3   2   2   4.1e-07   0.00022   19.4  11.9    46   141   215   315   209   330 0.77 | transcript=PVP01_0947100.1 | gene=PVP01_0947100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_09_v2:2048173-2049195(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446300.1-p1   -            438 9024at5820           -            280   1.6e-09   36.2  14.1   1   2   1.6e-10   8.5e-08   30.6  13.0    14   110    12   109     3   113 0.83 | transcript=PVP01_1446300.1 | gene=PVP01_1446300 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2001425-2002988(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446300.1-p1   -            438 9024at5820           -            280   1.6e-09   36.2  14.1   2   2     0.007       3.8    5.5   0.0   189   255   111   179   103   200 0.73 | transcript=PVP01_1446300.1 | gene=PVP01_1446300 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2001425-2002988(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 9024at5820           -            280   2.7e-09   35.5   7.5   1   1   7.2e-12   3.9e-09   35.0   7.5    31   148    37   158     7   192 0.74 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 9024at5820           -            280   2.9e-09   35.4  38.9   1   2   5.3e-06    0.0029   15.7  16.5    64   148    32   115    16   118 0.61 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 9024at5820           -            280   2.9e-09   35.4  38.9   2   2   1.5e-08     8e-06   24.1  14.1    38   190   116   267   115   273 0.76 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1102300.1-p1   -            176 9024at5820           -            280   1.1e-07   30.3  18.2   1   3   8.3e-08   4.5e-05   21.6  11.2    57   147     8   100     2   107 0.87 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1102300.1-p1   -            176 9024at5820           -            280   1.1e-07   30.3  18.2   2   3   0.00021      0.11   10.5   2.4    42    84    84   129    79   131 0.81 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1102300.1-p1   -            176 9024at5820           -            280   1.1e-07   30.3  18.2   3   3   9.2e-05      0.05   11.6   0.9   191   245   110   163   105   172 0.79 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705200.1-p1   -            414 9024at5820           -            280   2.9e-05   22.3   7.1   1   2   7.6e-05     0.042   11.9   0.2    91   146   162   217   150   223 0.92 | transcript=PVP01_0705200.1 | gene=PVP01_0705200 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:309385-310629(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705200.1-p1   -            414 9024at5820           -            280   2.9e-05   22.3   7.1   2   2   4.1e-05     0.022   12.8   2.0    67   120   273   331   267   339 0.83 | transcript=PVP01_0705200.1 | gene=PVP01_0705200 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:309385-310629(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 9024at5820           -            280   5.3e-05   21.4   4.0   1   2   9.7e-08   5.3e-05   21.4   4.0    59   146    49   142    20   173 0.69 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 9024at5820           -            280   5.3e-05   21.4   4.0   2   2       2.9   1.6e+03   -3.1   4.3   124   164   221   261   212   279 0.71 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9024at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9024at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9024at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:34 2026
# [ok]
