#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0703000.1-p1   -           1595 1668at5820           -            781         0 1189.5 223.4   1   6   1.6e-08   2.7e-05   21.3   3.0     1    78     1    82     1   137 0.72 | transcript=PVP01_0703000.1 | gene=PVP01_0703000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=PvP01_07_v2:174879-179837(+) | protein_length=1595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006600.1-p1   -            590 1668at5820           -            781   9.1e-07   26.1   3.7   1   3   7.2e-05      0.12    9.2   0.0   428   453   108   133    72   154 0.80 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006600.1-p1   -            590 1668at5820           -            781   9.1e-07   26.1   3.7   2   3     0.034        56    0.4   1.0   262   398   420   441   316   472 0.57 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006600.1-p1   -            590 1668at5820           -            781   9.1e-07   26.1   3.7   3   3   1.4e-06    0.0022   14.9   0.1   718   752   487   521   478   557 0.86 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030800.1-p1   -            451 1668at5820           -            781      0.97    6.2  17.3   1   1    0.0011       1.8    5.3  17.3   205   327   262   383   256   419 0.75 | transcript=PVP01_1030800.1 | gene=PVP01_1030800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_10_v2:1326606-1327961(-) | protein_length=451 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1668at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1668at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1668at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:01 2026
# [ok]
