#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1146800.1-p1   -           1384 1404at5820           -            988         0 1965.8  63.1   1   6      0.02        19    1.4   0.5     1    19     5    21     5    31 0.80 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 1404at5820           -            988   2.1e-25   87.3   8.0   3   3   9.4e-07   0.00087   15.7   0.0   384   496  2063  2174  2055  2195 0.85 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323900.1-p1   -           1083 1404at5820           -            988   1.1e-08   32.0   1.4   1   3    0.0019       1.8    4.8   0.0   102   165   155   218   126   243 0.78 | transcript=PVP01_1323900.1 | gene=PVP01_1323900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_13_v2:1067548-1070799(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323900.1-p1   -           1083 1404at5820           -            988   1.1e-08   32.0   1.4   2   3      0.43     4e+02   -3.0   0.0   200   226   336   362   333   394 0.62 | transcript=PVP01_1323900.1 | gene=PVP01_1323900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_13_v2:1067548-1070799(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323900.1-p1   -           1083 1404at5820           -            988   1.1e-08   32.0   1.4   3   3   1.6e-09   1.5e-06   24.9   0.4   276   475   457   653   444   676 0.71 | transcript=PVP01_1323900.1 | gene=PVP01_1323900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_13_v2:1067548-1070799(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1404at5820           -            988   1.3e-08   31.7  14.1   1   3     3e-05     0.028   10.8   0.8   111   248   270   428   263   449 0.58 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1404at5820           -            988   1.3e-08   31.7  14.1   2   3   2.3e-11   2.2e-08   31.0   0.1   333   471   489   625   481   634 0.88 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1404at5820           -            988   1.3e-08   31.7  14.1   3   3       2.3   2.2e+03   -5.4   2.2   709   766  1099  1160  1076  1193 0.61 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125800.1-p1   -            925 1404at5820           -            988   3.7e-08   30.2   0.0   1   2     0.051        48    0.0   0.0   134   233   236   326   215   340 0.75 | transcript=PVP01_1125800.1 | gene=PVP01_1125800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=PvP01_11_v2:1129691-1132468(+) | protein_length=925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125800.1-p1   -            925 1404at5820           -            988   3.7e-08   30.2   0.0   2   2     3e-10   2.8e-07   27.3   0.0   422   471   449   498   443   510 0.93 | transcript=PVP01_1125800.1 | gene=PVP01_1125800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=PvP01_11_v2:1129691-1132468(+) | protein_length=925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1404at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1404at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1404at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:17 2026
# [ok]
