#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0519700.1-p1   -            269 10779at5820          -            230  7.4e-140  463.0  34.8   1   2   6.4e-89   1.6e-86  288.5  25.8     1   148     9   159     9   172 0.96 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 10779at5820          -            230   1.2e-11   43.5   0.6   2   2   8.1e-08     2e-05   23.1   0.1   159   222   109   171    91   179 0.87 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 10779at5820          -            230   4.3e-11   41.7   1.2   1   3      0.23        57    2.1   0.1   156   221    17    77     1    86 0.71 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 10779at5820          -            230   4.3e-11   41.7   1.2   2   3   6.5e-07   0.00016   20.2   0.0   151   220   112   180    96   185 0.91 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 10779at5820          -            230   4.3e-11   41.7   1.2   3   3   6.8e-06    0.0017   16.9   0.1   147   226   199   277   182   281 0.76 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802200.1-p1   -            328 10779at5820          -            230   1.5e-08   33.4   0.8   1   1   6.1e-11   1.5e-08   33.4   0.8   147   228    84   167    66   169 0.87 | transcript=PVP01_0802200.1 | gene=PVP01_0802200 | organism=Plasmodium_vivax_P01 | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=PvP01_08_v2:116660-119781(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 10779at5820          -            230   4.5e-08   31.8   0.0   1   2   3.8e-08   9.5e-06   24.2   0.0   159   220     9    69     3    75 0.88 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 10779at5820          -            230   4.5e-08   31.8   0.0   2   2     0.021       5.2    5.5   0.0   162   223   160   218   154   222 0.82 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 10779at5820          -            230   1.5e-07   30.1   7.6   1   2    0.0052       1.3    7.4   0.3   156   212    94   149    82   161 0.85 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 10779at5820          -            230   1.5e-07   30.1   7.6   2   2   1.5e-08   3.8e-06   25.5   2.0   150   215   296   364   266   370 0.78 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133400.1-p1   -            153 10779at5820          -            230   5.8e-07   28.2   1.7   1   1   2.7e-09   6.7e-07   28.0   1.7   131   224    34   127    16   133 0.84 | transcript=PVP01_1133400.1 | gene=PVP01_1133400 | organism=Plasmodium_vivax_P01 | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=PvP01_11_v2:1425869-1427281(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 10779at5820          -            230   8.7e-07   27.6   0.4   1   1   5.2e-09   1.3e-06   27.1   0.4   140   219    20    97     2   104 0.81 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605200.1-p1   -            513 10779at5820          -            230   2.8e-06   26.0   0.1   1   1   1.1e-08   2.8e-06   26.0   0.1   151   224   345   418   333   424 0.92 | transcript=PVP01_0605200.1 | gene=PVP01_0605200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 34, putative | transcript_product=RNA-binding protein 34, putative | location=PvP01_06_v2:212984-215977(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 10779at5820          -            230   5.3e-06   25.0   0.4   1   2   4.1e-08     1e-05   24.1   0.1   158   222     9    73     2    81 0.90 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 10779at5820          -            230   5.3e-06   25.0   0.4   2   2      0.84   2.1e+02    0.2   0.1    37    57    70    91    66    96 0.78 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820700.1-p1   -            299 10779at5820          -            230     6e-06   24.9   0.2   1   2   5.3e-08   1.3e-05   23.8   0.0   139   220    18    99     6   107 0.89 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820700.1-p1   -            299 10779at5820          -            230     6e-06   24.9   0.2   2   2       8.1     2e+03   -3.0   0.1    54    67   153   166   123   183 0.59 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722400.1-p1   -            202 10779at5820          -            230   2.3e-05   23.0   0.2   1   1   1.2e-07   2.9e-05   22.6   0.2   147   215    58   129     7   154 0.81 | transcript=PVP01_0722400.1 | gene=PVP01_0722400 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=PvP01_07_v2:965522-966980(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731700.1-p1   -            725 10779at5820          -            230   8.1e-05   21.2   0.0   1   1   7.8e-07   0.00019   19.9   0.0   160   220    10    70     3    78 0.89 | transcript=PVP01_0731700.1 | gene=PVP01_0731700 | organism=Plasmodium_vivax_P01 | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=PvP01_07_v2:1329363-1331540(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 10779at5820          -            230   0.00018   20.0   5.4   1   3    0.0021      0.52    8.7   0.9   149   214   630   696   600   705 0.79 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 10779at5820          -            230   0.00018   20.0   5.4   2   3    0.0005      0.12   10.8   0.0   167   219   750   802   744   812 0.92 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 10779at5820          -            230   0.00018   20.0   5.4   3   3       1.1   2.8e+02   -0.2   0.0   179   229   969  1015   956  1016 0.78 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 10779at5820          -            230    0.0002   19.9   0.1   1   1   1.8e-06   0.00046   18.7   0.1   158   220    30    92     6   100 0.87 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715100.1-p1   -            340 10779at5820          -            230   0.00051   18.6   6.5   1   2     0.036         9    4.7   0.1   163   215    93   144    84   157 0.81 | transcript=PVP01_0715100.1 | gene=PVP01_0715100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=PvP01_07_v2:686613-687635(-) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715100.1-p1   -            340 10779at5820          -            230   0.00051   18.6   6.5   2   2   4.4e-06    0.0011   17.5   0.0   158   217   171   229   159   241 0.84 | transcript=PVP01_0715100.1 | gene=PVP01_0715100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=PvP01_07_v2:686613-687635(-) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522000.1-p1   -            236 10779at5820          -            230   0.00086   17.8   0.0   1   1   5.4e-06    0.0013   17.2   0.0   157   221    34    98    17   107 0.90 | transcript=PVP01_0522000.1 | gene=PVP01_0522000 | organism=Plasmodium_vivax_P01 | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=PvP01_05_v2:891747-892619(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 10779at5820          -            230    0.0017   16.9   0.3   1   2   1.8e-05    0.0045   15.5   0.1   164   211   125   172   105   189 0.82 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 10779at5820          -            230    0.0017   16.9   0.3   2   2       3.4   8.4e+02   -1.8   0.0   172   222   217   265   191   273 0.63 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 10779at5820          -            230    0.0017   16.8   0.0   1   1   9.2e-06    0.0023   16.4   0.0   159   220    16    74    10    84 0.86 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 10779at5820          -            230    0.0024   16.4   0.4   1   2   6.1e-05     0.015   13.7   0.2   159   228    10    78     4    80 0.85 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 10779at5820          -            230    0.0024   16.4   0.4   2   2      0.77   1.9e+02    0.3   0.0   193   224   149   180   134   185 0.79 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 10779at5820          -            230    0.0032   15.9   1.0   1   2       4.6   1.2e+03   -2.2   0.0   157   218   413   471   399   478 0.64 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 10779at5820          -            230    0.0032   15.9   1.0   2   2   4.7e-05     0.012   14.1   0.2   155   220   676   740   645   750 0.76 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 10779at5820          -            230    0.0043   15.5  19.3   1   3   0.00017     0.042   12.3   6.1    86   214   298   420   264   437 0.61 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 10779at5820          -            230    0.0043   15.5  19.3   2   3       1.5   3.7e+02   -0.6   3.0    86   126   531   573   455   595 0.61 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 10779at5820          -            230    0.0043   15.5  19.3   3   3    0.0014      0.34    9.3   0.0   159   219   665   725   655   734 0.85 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10779at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10779at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10779at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:12 2026
# [ok]
