#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0210700.1-p1   -            159 14674at5820          -            109   1.4e-38  129.9  24.8   1   3   9.9e-08   8.1e-05   21.3   0.4     1    23     1    23     1    29 0.94 | transcript=PVP01_0210700.1 | gene=PVP01_0210700 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related sporozoite protein, putative | transcript_product=thrombospondin-related sporozoite protein, putative | location=PvP01_02_v2:437231-438188(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132600.1-p1   -           1512 14674at5820          -            109   0.00016   20.3   0.4   1   2   1.9e-07   0.00016   20.3   0.4    14    53   245   285   233   295 0.71 | transcript=PVP01_1132600.1 | gene=PVP01_1132600 | organism=Plasmodium_vivax_P01 | gene_product=TRAP-like protein, putative | transcript_product=TRAP-like protein, putative | location=PvP01_11_v2:1394606-1399144(-) | protein_length=1512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132600.1-p1   -           1512 14674at5820          -            109   0.00016   20.3   0.4   2   2       6.3   5.2e+03   -3.9   0.2    57    78   545   566   542   568 0.82 | transcript=PVP01_1132600.1 | gene=PVP01_1132600 | organism=Plasmodium_vivax_P01 | gene_product=TRAP-like protein, putative | transcript_product=TRAP-like protein, putative | location=PvP01_11_v2:1394606-1399144(-) | protein_length=1512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436800.1-p1   -            340 14674at5820          -            109    0.0012   17.5   1.7   1   1   5.5e-06    0.0045   15.6   1.7    32    72   234   279   223   323 0.64 | transcript=PVP01_1436800.1 | gene=PVP01_1436800 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related apical membrane protein | transcript_product=thrombospondin-related apical membrane protein | location=PvP01_14_v2:1543047-1544069(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1218700.1-p1   -            556 14674at5820          -            109    0.0019   16.8   1.0   1   1   4.8e-06    0.0039   15.8   1.0    28    61   237   269   219   282 0.76 | transcript=PVP01_1218700.1 | gene=PVP01_1218700 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related anonymous protein, putative | transcript_product=thrombospondin-related anonymous protein, putative | location=PvP01_12_v2:768961-770631(+) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511600.1-p1   -            695 14674at5820          -            109    0.0099   14.5   0.9   1   3       1.2   9.7e+02   -1.5   0.1    56    89   167   200   158   208 0.73 | transcript=PVP01_0511600.1 | gene=PVP01_0511600 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related protein 1, putative | transcript_product=thrombospondin-related protein 1, putative | location=PvP01_05_v2:500670-502757(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511600.1-p1   -            695 14674at5820          -            109    0.0099   14.5   0.9   2   3   1.2e-05    0.0099   14.5   0.9    30    45   332   347   321   383 0.82 | transcript=PVP01_0511600.1 | gene=PVP01_0511600 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related protein 1, putative | transcript_product=thrombospondin-related protein 1, putative | location=PvP01_05_v2:500670-502757(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511600.1-p1   -            695 14674at5820          -            109    0.0099   14.5   0.9   3   3       2.4     2e+03   -2.5   0.0    82    94   578   591   558   605 0.44 | transcript=PVP01_0511600.1 | gene=PVP01_0511600 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related protein 1, putative | transcript_product=thrombospondin-related protein 1, putative | location=PvP01_05_v2:500670-502757(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613800.1-p1   -            387 14674at5820          -            109      0.45    9.2  16.0   1   2   4.4e-05     0.036   12.7   4.7     2    62     2    62     1    63 0.86 | transcript=PVP01_0613800.1 | gene=PVP01_0613800 | organism=Plasmodium_vivax_P01 | gene_product=merozoite TRAP-like protein | transcript_product=merozoite TRAP-like protein | location=PvP01_06_v2:588106-589269(+) | protein_length=387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613800.1-p1   -            387 14674at5820          -            109      0.45    9.2  16.0   2   2      0.16   1.3e+02    1.3   4.9    29    42    62    75    61   110 0.81 | transcript=PVP01_0613800.1 | gene=PVP01_0613800 | organism=Plasmodium_vivax_P01 | gene_product=merozoite TRAP-like protein | transcript_product=merozoite TRAP-like protein | location=PvP01_06_v2:588106-589269(+) | protein_length=387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14674at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14674at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14674at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:06 2026
# [ok]
