#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0010870.1-p1   -            335 1041at5820           -           1351  6.5e-189  628.8  15.6   1   1  1.8e-191  8.4e-189  628.4  15.6   388   641     1   254     1   257 1.00 | transcript=PVP01_0010870.1 | gene=PVP01_0010870 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Transfer.PvP01_00_203.final:1-1104(+) | protein_length=335 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 1041at5820           -           1351   1.5e-88  296.3  28.5   4   6       6.6   3.1e+03   -6.3   4.6   282   339  2338  2381  2324  2492 0.55 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 1041at5820           -           1351   1.5e-88  296.3  28.5   5   6       4.6   2.1e+03   -5.8   5.3   324   389  2991  3030  2931  3049 0.39 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 1041at5820           -           1351   1.5e-88  296.3  28.5   6   6        10   4.7e+03   -6.9   3.2   293   313  3191  3211  3148  3254 0.51 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 1041at5820           -           1351   7.1e-69  231.1   6.9   1   4   1.1e-37     5e-35  118.9   0.2   376   573   334   532   236   547 0.75 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 1041at5820           -           1351   7.1e-69  231.1   6.9   2   4   1.2e-39   5.7e-37  125.4   2.1  1061  1197  1217  1354  1204  1396 0.85 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 1041at5820           -           1351   7.1e-69  231.1   6.9   3   4       6.2   2.9e+03   -6.2   8.5   201   258  1426  1489  1369  1501 0.62 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 1041at5820           -           1351   7.1e-69  231.1   6.9   4   4       1.8   8.4e+02   -4.4   7.0   171   209  2346  2384  2328  2426 0.60 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 1041at5820           -           1351   8.4e-67  224.2  33.9   1   5       3.3   1.5e+03   -5.3   5.0   329   365    32    67     7    96 0.45 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 1041at5820           -           1351   8.4e-67  224.2  33.9   2   5   4.5e-41   2.1e-38  130.1  15.2   295   573   119   413   108   424 0.68 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 1041at5820           -           1351   8.4e-67  224.2  33.9   3   5   1.4e-06   0.00064   15.9   5.9   598   654   536   590   515   602 0.81 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 1041at5820           -           1351   8.4e-67  224.2  33.9   4   5      0.11        50   -0.4  11.9   921  1086   693   858   684   873 0.73 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 1041at5820           -           1351   8.4e-67  224.2  33.9   5   5   1.3e-33     6e-31  105.4   0.2  1088  1190   991  1093   986  1105 0.95 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116800.1-p1   -           1093 1041at5820           -           1351   4.8e-62  208.5  29.0   1   2   3.1e-39   1.4e-36  124.0   9.9   352   682    84   432    56   443 0.81 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116800.1-p1   -           1093 1041at5820           -           1351   4.8e-62  208.5  29.0   2   2   7.2e-32   3.3e-29   99.6  11.1  1044  1210   530   693   527   777 0.85 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 1041at5820           -           1351   1.8e-44  150.2  28.5   1   5     1e-10   4.7e-08   29.6   0.7   329   431   162   266   114   272 0.69 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 1041at5820           -           1351   1.8e-44  150.2  28.5   2   5     0.014       6.5    2.6   0.7   442   503   372   430   369   446 0.79 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 1041at5820           -           1351   1.8e-44  150.2  28.5   3   5       1.1   4.9e+02   -3.6   0.2   319   370   809   869   716   873 0.44 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 1041at5820           -           1351   1.8e-44  150.2  28.5   4   5     1e-12   4.8e-10   36.2   0.1   507   567   958  1019   950  1047 0.84 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 1041at5820           -           1351   1.8e-44  150.2  28.5   5   5     2e-31   9.3e-29   98.2   4.2  1026  1188  1400  1563  1373  1583 0.88 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114400.1-p1   -            877 1041at5820           -           1351   1.1e-38  131.0  19.0   1   2   1.6e-21   7.5e-19   65.3   7.7   387   630   310   541   126   551 0.76 | transcript=PVP01_1114400.1 | gene=PVP01_1114400 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:617560-620193(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114400.1-p1   -            877 1041at5820           -           1351   1.1e-38  131.0  19.0   2   2   2.8e-23   1.3e-20   71.2   3.3  1048  1215   619   795   611   843 0.80 | transcript=PVP01_1114400.1 | gene=PVP01_1114400 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:617560-620193(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 1041at5820           -           1351   1.9e-29  100.5  25.7   1   6      0.29   1.3e+02   -1.8   2.8   777   836   120   182    65   217 0.71 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 1041at5820           -           1351   1.9e-29  100.5  25.7   2   6     2e-05    0.0092   12.0   0.0   413   433   725   745   711   753 0.91 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 1041at5820           -           1351   1.9e-29  100.5  25.7   3   6       1.3   5.8e+02   -3.9   0.0   442   505   781   841   777   847 0.71 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 1041at5820           -           1351   1.9e-29  100.5  25.7   4   6   1.3e-14     6e-12   42.5   3.3   511   682   960  1136   950  1143 0.84 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 1041at5820           -           1351   1.9e-29  100.5  25.7   5   6      0.23   1.1e+02   -1.5   0.1   825   861  1299  1335  1279  1345 0.74 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 1041at5820           -           1351   1.9e-29  100.5  25.7   6   6   2.6e-19   1.2e-16   58.0   1.1  1115  1204  1417  1507  1313  1527 0.84 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 1041at5820           -           1351    0.0017   14.4   0.3   1   1   7.4e-06    0.0035   13.4   0.3  1051  1160   562   665   543   686 0.80 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0009420.1-p1   -            344 1041at5820           -           1351      0.01   11.9   4.8   1   1     3e-05     0.014   11.4   4.8  1193  1264    25    96    11   100 0.79 | transcript=PVP01_0009420.1 | gene=PVP01_0009420 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_52.final:12804-13835(+) | protein_length=344 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0515600.1-p1   -            479 1041at5820           -           1351       4.7    3.0  16.2   1   1     0.012       5.4    2.9  16.2   157   354   205   401    98   442 0.61 | transcript=PVP01_0515600.1 | gene=PVP01_0515600 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:657120-658705(-) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 1041at5820           -           1351       8.1    2.3  21.8   1   1     0.022        10    2.0  21.8   289   394    65   171    56   216 0.42 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1041at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1041at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1041at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:05 2026
# [ok]
