#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1026000.1-p1   -            355 10396at5820          -            298  1.9e-142  472.2  16.7   1   1  2.3e-145  2.5e-142  471.8  16.7     6   287    25   312    21   326 0.94 | transcript=PVP01_1026000.1 | gene=PVP01_1026000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P38, putative | transcript_product=6-cysteine protein P38, putative | location=PvP01_10_v2:1136175-1137242(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0  11  12   9.1e-08   9.9e-05   20.1   4.1    50   199  2178  2340  2165  2432 0.81 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0  12  12   2.8e-08     3e-05   21.8   5.4    62   220  2490  2655  2467  2682 0.64 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10396at5820          -            298   1.1e-14   52.8  56.0   1   8      0.62   6.7e+02   -2.3   0.0   183   194   286   297   281   305 0.83 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10396at5820          -            298   1.1e-14   52.8  56.0   2   8    0.0027       2.9    5.5   3.0   107   194   483   566   480   569 0.83 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10396at5820          -            298   1.1e-14   52.8  56.0   3   8    0.0036       3.9    5.1   1.4   158   180   673   695   600   702 0.57 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10396at5820          -            298   1.1e-14   52.8  56.0   4   8    0.0026       2.9    5.5   0.1   119   197   846   925   807   943 0.71 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10396at5820          -            298   1.1e-14   52.8  56.0   5   8   6.5e-11   7.1e-08   30.5   7.9   119   266  1201  1335  1134  1363 0.73 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10396at5820          -            298   1.1e-14   52.8  56.0   6   8   7.1e-05     0.078   10.6   0.8   156   208  1628  1680  1557  1711 0.80 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10396at5820          -            298   1.1e-14   52.8  56.0   7   8      0.13   1.4e+02   -0.1   0.1   182   208  1882  1908  1865  1919 0.81 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 10396at5820          -            298   1.1e-14   52.8  56.0   8   8   7.3e-08   7.9e-05   20.5   3.6    86   210  2011  2137  1991  2165 0.71 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136400.1-p1   -            362 10396at5820          -            298   1.4e-12   45.9  15.0   1   3     4e-10   4.4e-07   27.9   4.3   137   264    27   162    18   165 0.74 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136400.1-p1   -            362 10396at5820          -            298   1.4e-12   45.9  15.0   2   3   4.4e-09   4.8e-06   24.5   0.5   123   199   183   263   173   282 0.73 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136400.1-p1   -            362 10396at5820          -            298   1.4e-12   45.9  15.0   3   3      0.15   1.6e+02   -0.3   0.2    95   116   287   308   263   312 0.65 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 10396at5820          -            298   2.9e-07   28.5   3.3   1   4    0.0005      0.54    7.9   0.0   156   225    98   170    86   176 0.68 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 10396at5820          -            298   2.9e-07   28.5   3.3   2   4     0.084        91    0.6   0.0    96   141   175   221   163   224 0.73 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 10396at5820          -            298   2.9e-07   28.5   3.3   3   4   6.3e-06    0.0068   14.1   0.2   159   195   306   343   286   346 0.85 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 10396at5820          -            298   2.9e-07   28.5   3.3   4   4    0.0066       7.2    4.2   0.0   221   261   346   390   342   399 0.73 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303800.1-p1   -            487 10396at5820          -            298     6e-07   27.4   4.3   1   1     1e-09   1.1e-06   26.5   4.3   103   197   129   229    99   280 0.79 | transcript=PVP01_0303800.1 | gene=PVP01_0303800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=PvP01_03_v2:195716-197179(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10396at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10396at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10396at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:58 2026
# [ok]
