#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1312900.1-p1   -            854 2259at5820           -            765         0 1614.0  22.8   1   1         0         0 1611.8  22.8     1   761    13   836    13   839 0.96 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 2259at5820           -            765   4.9e-27   93.1   5.3   1   1   1.4e-28   1.5e-26   91.4   5.3   492   717    60   319    48   334 0.76 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 2259at5820           -            765     6e-25   86.2   0.3   1   2       3.3   3.7e+02   -2.4   0.1   487   512   614   639   609   656 0.87 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 2259at5820           -            765     6e-25   86.2   0.3   2   2   5.2e-27     6e-25   86.2   0.3   493   722  1518  1772  1509  1802 0.76 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 2259at5820           -            765   1.8e-24   84.5   0.3   1   1   2.3e-26   2.7e-24   84.0   0.3   534   717  1383  1588  1349  1594 0.81 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923400.1-p1   -           1607 2259at5820           -            765   6.8e-24   82.7   2.5   1   1   9.2e-26   1.1e-23   82.0   2.5   504   684  1171  1378  1164  1395 0.77 | transcript=PVP01_0923400.1 | gene=PVP01_0923400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=PvP01_09_v2:1021123-1026936(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457000.1-p1   -            508 2259at5820           -            765   2.4e-23   80.9   0.2   1   1   3.2e-25   3.6e-23   80.3   0.2   506   697   126   330    87   355 0.75 | transcript=PVP01_1457000.1 | gene=PVP01_1457000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=PvP01_14_v2:2470814-2472340(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 2259at5820           -            765   2.5e-23   80.8   0.1   1   1     3e-25   3.4e-23   80.4   0.1   505   684    16   225     7   250 0.78 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 2259at5820           -            765   2.6e-23   80.7  21.8   1   5   3.1e-12   3.6e-10   37.3   1.0   134   265  1943  2084  1900  2097 0.79 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 2259at5820           -            765   2.6e-23   80.7  21.8   2   5   0.00052     0.059   10.1   0.5   394   478  2227  2319  2204  2345 0.68 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 2259at5820           -            765   2.6e-23   80.7  21.8   3   5    0.0019      0.22    8.2   2.6    18    93  2344  2422  2328  2429 0.77 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 2259at5820           -            765   2.6e-23   80.7  21.8   4   5     0.024       2.7    4.6   0.0   439   476  2454  2493  2438  2514 0.82 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 2259at5820           -            765   2.6e-23   80.7  21.8   5   5   5.2e-10     6e-08   29.9   0.1   116   235  3066  3195  3036  3207 0.78 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257000.1-p1   -            377 2259at5820           -            765   8.7e-23   79.0   1.0   1   1     1e-24   1.1e-22   78.6   1.0   524   704    77   278    59   312 0.75 | transcript=PVP01_1257000.1 | gene=PVP01_1257000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:2340182-2342802(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422000.1-p1   -           2125 2259at5820           -            765   2.2e-22   77.7   0.2   1   1   2.8e-24   3.2e-22   77.1   0.2   512   674  1720  1903  1696  1918 0.75 | transcript=PVP01_0422000.1 | gene=PVP01_0422000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_04_v2:882364-888741(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314900.1-p1   -            310 2259at5820           -            765   7.5e-22   75.9   0.7   1   1   7.8e-24     9e-22   75.7   0.7   514   715    33   248     6   266 0.78 | transcript=PVP01_0314900.1 | gene=PVP01_0314900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=PvP01_03_v2:667448-669370(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 2259at5820           -            765   2.9e-21   74.0   0.8   1   2   9.9e-14   1.1e-11   42.3   0.5   541   626    95   186    25   196 0.80 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 2259at5820           -            765   2.9e-21   74.0   0.8   2   2   6.3e-10   7.2e-08   29.7   0.0   625   718   340   431   323   446 0.91 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 2259at5820           -            765   3.2e-20   70.5   0.3   1   1   4.6e-22   5.2e-20   69.8   0.3   541   717  1243  1429  1186  1448 0.79 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416000.1-p1   -            368 2259at5820           -            765   1.5e-18   65.0   3.5   1   1   2.9e-20   3.3e-18   63.9   3.5   493   712   100   346    67   355 0.73 | transcript=PVP01_1416000.1 | gene=PVP01_1416000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=PvP01_14_v2:704450-705556(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 2259at5820           -            765     4e-18   63.6   0.3   1   2       3.7   4.2e+02   -2.6   0.0   506   527    14    35    11    50 0.71 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 2259at5820           -            765     4e-18   63.6   0.3   2   2   6.6e-20   7.6e-18   62.7   0.1   574   694   115   240    93   249 0.86 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 2259at5820           -            765   1.1e-17   62.2   0.5   1   1   4.5e-19   5.1e-17   59.9   0.5   534   709   169   379   125   392 0.78 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115000.1-p1   -            288 2259at5820           -            765   8.1e-17   59.3   0.0   1   1     9e-19     1e-16   58.9   0.0   574   686    97   218     8   230 0.79 | transcript=PVP01_1115000.1 | gene=PVP01_1115000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=PvP01_11_v2:636610-638342(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261600.1-p1   -            877 2259at5820           -            765   1.7e-16   58.2   2.5   1   2   1.7e-07   1.9e-05   21.7   1.1   505   615   552   686   542   696 0.68 | transcript=PVP01_1261600.1 | gene=PVP01_1261600 | organism=Plasmodium_vivax_P01 | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=PvP01_12_v2:2542000-2544633(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261600.1-p1   -            877 2259at5820           -            765   1.7e-16   58.2   2.5   2   2   1.1e-11   1.2e-09   35.5   0.0   602   683   698   783   687   830 0.81 | transcript=PVP01_1261600.1 | gene=PVP01_1261600 | organism=Plasmodium_vivax_P01 | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=PvP01_12_v2:2542000-2544633(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 2259at5820           -            765   1.9e-16   58.0   0.2   1   1   5.8e-18   6.7e-16   56.2   0.2   573   685   211   331    85   349 0.87 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 2259at5820           -            765   1.4e-15   55.2   0.1   1   2         3   3.4e+02   -2.3   0.1   600   606    83    89    23   129 0.47 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 2259at5820           -            765   1.4e-15   55.2   0.1   2   2   2.7e-17   3.1e-15   54.0   0.0   584   693   154   269   145   279 0.87 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 2259at5820           -            765     1e-14   52.3   0.9   1   2     0.081       9.2    2.9   0.1   485   530    13    59     5    98 0.69 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 2259at5820           -            765     1e-14   52.3   0.9   2   2   1.5e-15   1.7e-13   48.3   0.1   585   678   143   246   131   292 0.75 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 2259at5820           -            765   1.3e-14   51.9   0.1   1   1   1.7e-16     2e-14   51.4   0.1   531   672   813   965   795   978 0.83 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 2259at5820           -            765   3.4e-14   50.6   1.6   1   1   3.8e-16   4.3e-14   50.3   1.6   507   686    49   253    20   270 0.74 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 2259at5820           -            765     5e-14   50.0   0.2   1   1   6.3e-16   7.2e-14   49.5   0.2   540   685    75   239    18   257 0.78 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 2259at5820           -            765   5.1e-14   50.0   1.1   1   2   1.6e-08   1.8e-06   25.1   0.4   551   611   347   410   302   424 0.77 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905700.1-p1   -           1294 2259at5820           -            765   5.1e-14   50.0   1.1   2   2     5e-08   5.7e-06   23.4   0.0   625   671   536   584   530   641 0.74 | transcript=PVP01_0905700.1 | gene=PVP01_0905700 | organism=Plasmodium_vivax_P01 | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=PvP01_09_v2:335375-339259(+) | protein_length=1294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527200.1-p1   -            622 2259at5820           -            765   1.1e-13   49.0   0.2   1   1   1.3e-15   1.5e-13   48.5   0.2   574   681   375   491   281   529 0.81 | transcript=PVP01_0527200.1 | gene=PVP01_0527200 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=PvP01_05_v2:1113369-1115237(-) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143600.1-p1   -            354 2259at5820           -            765   1.9e-13   48.1   0.0   1   1   2.3e-15   2.6e-13   47.7   0.0   526   681    73   250    36   272 0.77 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 2259at5820           -            765   6.3e-13   46.4   1.8   1   2     3e-11   3.4e-09   34.1   3.1   493   625   164   321   152   326 0.64 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 2259at5820           -            765   6.3e-13   46.4   1.8   2   2    0.0021      0.24    8.1   0.0   625   665   352   393   348   411 0.82 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 2259at5820           -            765   1.3e-12   45.4   1.0   1   2      0.01       1.2    5.8   0.1   500   532   459   491   446   499 0.90 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 2259at5820           -            765   1.3e-12   45.4   1.0   2   2     2e-12   2.3e-10   37.9   0.1   553   717   592   766   587   789 0.75 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118800.1-p1   -            721 2259at5820           -            765   4.6e-12   43.5   0.2   1   1   5.5e-14   6.3e-12   43.1   0.2   506   686   463   670   452   706 0.67 | transcript=PVP01_0118800.1 | gene=PVP01_0118800 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_01_v2:862457-865487(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 2259at5820           -            765   6.9e-12   43.0   0.0   1   1   9.4e-14   1.1e-11   42.3   0.0   586   681   910  1014   892  1023 0.80 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915400.1-p1   -            708 2259at5820           -            765   9.6e-12   42.5   0.4   1   1   1.3e-13   1.5e-11   41.8   0.4   539   676   430   580   371   598 0.69 | transcript=PVP01_0915400.1 | gene=PVP01_0915400 | organism=Plasmodium_vivax_P01 | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=PvP01_09_v2:696362-700179(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
