#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1311600.1-p1   -            421 6860at5820           -            348  3.6e-209  692.2  35.1   1   1  7.2e-210    2e-207  686.5  35.1     1   348    19   421    19   421 0.93 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308700.1-p1   -            649 6860at5820           -            348     3e-21   74.2   6.5   2   2   2.4e-12   6.9e-10   36.8   3.8    82   241   178   336   168   368 0.77 | transcript=PVP01_0308700.1 | gene=PVP01_0308700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=PvP01_03_v2:414818-416767(+) | protein_length=649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 6860at5820           -            348   2.8e-16   57.9   1.4   1   1   1.7e-18     5e-16   57.1   1.4     9    73    34    99    31   108 0.93 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 6860at5820           -            348   3.2e-15   54.4   0.5   1   1   1.7e-17   4.7e-15   53.8   0.5     5    81    39   120    35   239 0.85 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 6860at5820           -            348     1e-13   49.5   0.6   1   2   3.5e-16     1e-13   49.5   0.6     9    74     6    76     2   102 0.80 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 6860at5820           -            348     1e-13   49.5   0.6   2   2       1.3   3.7e+02   -1.7   0.1   176   227   177   230   165   235 0.72 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802600.1-p1   -           1837 6860at5820           -            348   1.9e-13   48.5   1.5   1   1   1.4e-15     4e-13   47.5   1.5     8    75   980  1047   973  1055 0.90 | transcript=PVP01_0802600.1 | gene=PVP01_0802600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:130294-135948(+) | protein_length=1837 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 6860at5820           -            348   5.2e-13   47.1   2.2   1   3         1   2.9e+02   -1.4   0.1    52    75   118   141   112   162 0.71 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 6860at5820           -            348   5.2e-13   47.1   2.2   2   3   1.8e-15   5.2e-13   47.1   2.2     4   114   186   300   183   314 0.80 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 6860at5820           -            348   5.2e-13   47.1   2.2   3   3      0.38   1.1e+02    0.0   1.2   297   335   487   528   458   529 0.74 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114000.1-p1   -            856 6860at5820           -            348   1.1e-12   46.1   0.1   1   1   6.3e-15   1.8e-12   45.4   0.1     8    72   303   371   299   391 0.87 | transcript=PVP01_0114000.1 | gene=PVP01_0114000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_01_v2:626753-629323(+) | protein_length=856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 6860at5820           -            348   2.5e-11   41.6   0.7   1   1   1.4e-13   4.1e-11   40.9   0.7     6    71    52   120    48   134 0.88 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 6860at5820           -            348   1.4e-10   39.1   2.2   1   1   8.5e-13   2.4e-10   38.4   2.2     6    72   109   178   105   190 0.89 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 6860at5820           -            348   1.7e-10   38.9   0.2   1   2   5.9e-13   1.7e-10   38.9   0.2     8    77    52   122    49   136 0.85 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 6860at5820           -            348   1.7e-10   38.9   0.2   2   2       3.3   9.4e+02   -3.1   0.4    94   121   258   285   249   317 0.59 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 6860at5820           -            348   1.6e-09   35.7   2.0   1   2   5.5e-12   1.6e-09   35.7   2.0     9    69     8    77     2    97 0.79 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 6860at5820           -            348   1.6e-09   35.7   2.0   2   2       1.5   4.3e+02   -1.9   0.5    55    80   155   180   133   195 0.62 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510500.1-p1   -            691 6860at5820           -            348   3.7e-09   34.5   2.7   1   1   4.5e-11   1.3e-08   32.7   2.7     8    69   141   206   136   219 0.87 | transcript=PVP01_0510500.1 | gene=PVP01_0510500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_05_v2:458994-461069(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 6860at5820           -            348   5.5e-08   30.6  15.4   1   3   4.8e-07   0.00014   19.4   0.5     9    49     8    49     2    94 0.68 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 6860at5820           -            348   5.5e-08   30.6  15.4   2   3   3.4e-07   9.7e-05   19.9   0.9    45    79   117   151   112   190 0.88 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 6860at5820           -            348   5.5e-08   30.6  15.4   3   3      0.37   1.1e+02    0.1   1.5   287   324   262   302   230   329 0.68 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 6860at5820           -            348   1.9e-07   28.8   0.0   1   1   1.4e-09   4.1e-07   27.7   0.0    11    71   131   195   124   201 0.88 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 6860at5820           -            348   1.7e-05   22.4   1.5   1   1   8.2e-08   2.3e-05   22.0   1.5     9    82     2    77     1    81 0.83 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032200.1-p1   -            177 6860at5820           -            348   0.00019   19.0   0.1   1   2   6.7e-07   0.00019   19.0   0.1    11    40    10    39     3    53 0.92 | transcript=PVP01_1032200.1 | gene=PVP01_1032200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:1379077-1379610(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032200.1-p1   -            177 6860at5820           -            348   0.00019   19.0   0.1   2   2       1.7   4.7e+02   -2.1   0.2     7    13   117   123    70   141 0.59 | transcript=PVP01_1032200.1 | gene=PVP01_1032200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:1379077-1379610(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0943900.1-p1   -            321 6860at5820           -            348   0.00021   18.8   2.2   1   1   1.8e-06    0.0005   17.6   2.2     6    70    33    95    30   103 0.87 | transcript=PVP01_0943900.1 | gene=PVP01_0943900 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1940067-1941178(+) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320100.1-p1   -            115 6860at5820           -            348    0.0062   14.0   0.2   1   1   2.8e-05    0.0079   13.6   0.2     3    57    59   113    57   115 0.90 | transcript=PVP01_0320100.1 | gene=PVP01_0320100 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial import inner membrane translocase subunit TIM14, putative | transcript_product=mitochondrial import inner membrane translocase subunit TIM14, putative | location=PvP01_03_v2:837226-837864(+) | protein_length=115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6860at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6860at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6860at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:56 2026
# [ok]
