#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1103300.1-p1   -            494 7247at5820           -            349  4.8e-181  600.0  44.4   1   5   3.9e-27   2.1e-24   84.8   0.1     1    51     1    51     1    59 0.97 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 7247at5820           -            349   1.5e-11   42.5  21.9   3   4   2.9e-06    0.0016   16.2   4.1   259   345   217   299   202   303 0.81 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 7247at5820           -            349   1.5e-11   42.5  21.9   4   4   7.3e-07    0.0004   18.1   1.6   265   341   422   504   399   511 0.72 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804500.1-p1   -            341 7247at5820           -            349   2.4e-11   41.9  13.9   1   3   1.7e-05    0.0095   13.6   0.2     8    57     8    60     1    68 0.72 | transcript=PVP01_0804500.1 | gene=PVP01_0804500 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=PvP01_08_v2:221657-223044(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804500.1-p1   -            341 7247at5820           -            349   2.4e-11   41.9  13.9   2   3   1.3e-09   7.2e-07   27.2   3.9   144   253   104   213    62   217 0.84 | transcript=PVP01_0804500.1 | gene=PVP01_0804500 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=PvP01_08_v2:221657-223044(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804500.1-p1   -            341 7247at5820           -            349   2.4e-11   41.9  13.9   3   3    0.0048       2.6    5.6   0.2    17    75   249   309   230   337 0.75 | transcript=PVP01_0804500.1 | gene=PVP01_0804500 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=PvP01_08_v2:221657-223044(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 7247at5820           -            349   4.1e-10   37.8  16.1   1   6    0.0063       3.4    5.2   0.0    19    77    38    97    23   115 0.77 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 7247at5820           -            349   4.1e-10   37.8  16.1   2   6       1.8     1e+03   -2.9   0.0   126   158   447   478   443   500 0.78 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 7247at5820           -            349   4.1e-10   37.8  16.1   3   6       3.2   1.7e+03   -3.7   1.6    54    93   584   623   573   645 0.64 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 7247at5820           -            349   4.1e-10   37.8  16.1   4   6     0.014       7.3    4.1   0.1   313   347   670   704   659   706 0.88 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 7247at5820           -            349   4.1e-10   37.8  16.1   5   6   0.00027      0.15    9.7   0.2   158   343   747   824   720   836 0.61 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 7247at5820           -            349   4.1e-10   37.8  16.1   6   6   1.5e-09   8.1e-07   27.0   0.1   252   346  1025  1112  1013  1115 0.81 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458700.1-p1   -            259 7247at5820           -            349   5.4e-09   34.2   7.5   1   3     0.067        36    1.8   0.0   160   184     5    29     1    35 0.56 | transcript=PVP01_1458700.1 | gene=PVP01_1458700 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=PvP01_14_v2:2569140-2570912(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458700.1-p1   -            259 7247at5820           -            349   5.4e-09   34.2   7.5   2   3   6.2e-06    0.0034   15.1   0.2   307   347    35    75    29    77 0.87 | transcript=PVP01_1458700.1 | gene=PVP01_1458700 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=PvP01_14_v2:2569140-2570912(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458700.1-p1   -            259 7247at5820           -            349   5.4e-09   34.2   7.5   3   3   5.5e-07    0.0003   18.6   1.5   184   297   101   215    88   257 0.75 | transcript=PVP01_1458700.1 | gene=PVP01_1458700 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=PvP01_14_v2:2569140-2570912(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 7247at5820           -            349     3e-08   31.7  34.4   1   4     0.022        12    3.4   1.8    10    57     3    52     1    67 0.71 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 7247at5820           -            349     3e-08   31.7  34.4   2   4    0.0013       0.7    7.5   1.6   303   343    70   110    56   113 0.86 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 7247at5820           -            349     3e-08   31.7  34.4   3   4   1.4e-06   0.00074   17.3   5.1   167   302   122   256   110   285 0.72 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 7247at5820           -            349     3e-08   31.7  34.4   4   4   1.9e-07    0.0001   20.1   4.7   294   343   331   379   316   380 0.89 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 7247at5820           -            349     3e-08   31.7   5.9   1   3      0.34   1.9e+02   -0.5   0.0    20    45    28    53    10    66 0.67 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 7247at5820           -            349     3e-08   31.7   5.9   2   3   0.00033      0.18    9.4   0.5   212   253    87   128    27   134 0.84 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 7247at5820           -            349     3e-08   31.7   5.9   3   3   1.4e-08   7.5e-06   23.8   0.6   154   313   142   297   131   325 0.80 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429200.1-p1   -            606 7247at5820           -            349   5.2e-08   30.9  34.2   1   4   0.00047      0.26    8.9   1.4   272   346    60   135    47   138 0.80 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429200.1-p1   -            606 7247at5820           -            349   5.2e-08   30.9  34.2   2   4     0.025        14    3.2   0.6   153   203   241   289   214   302 0.75 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429200.1-p1   -            606 7247at5820           -            349   5.2e-08   30.9  34.2   3   4     3e-08   1.7e-05   22.7   6.0   289   347   442   498   387   500 0.88 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429200.1-p1   -            606 7247at5820           -            349   5.2e-08   30.9  34.2   4   4     1e-05    0.0057   14.4   2.2   243   340   501   596   497   600 0.70 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 7247at5820           -            349   7.8e-06   23.8   3.0   1   3   0.00022      0.12   10.0   0.1   296   342    33    78    26    84 0.85 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 7247at5820           -            349   7.8e-06   23.8   3.0   2   3     0.004       2.2    5.8   0.1   104   153   127   176   107   179 0.85 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 7247at5820           -            349   7.8e-06   23.8   3.0   3   3    0.0021       1.1    6.8   0.0    86   122   246   281   224   289 0.86 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301500.1-p1   -            323 7247at5820           -            349   0.00046   17.9   4.7   1   3     0.077        42    1.6   0.0    15    43    29    57    16    63 0.58 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301500.1-p1   -            323 7247at5820           -            349   0.00046   17.9   4.7   2   3   3.4e-05     0.018   12.7   0.4   294   347    60   113    52   115 0.88 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301500.1-p1   -            323 7247at5820           -            349   0.00046   17.9   4.7   3   3     0.012       6.6    4.3   0.1   162   189   234   259   210   315 0.65 | transcript=PVP01_1301500.1 | gene=PVP01_1301500 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=PvP01_13_v2:59045-60016(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7247at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7247at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7247at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:52 2026
# [ok]
