#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9   1  11  4.5e-301  7.3e-298  990.3 131.0     2   950    16  1285    15  1325 0.82 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 39at5820             -           4063  7.2e-169  562.2 229.0   1   7   9.1e-44   1.5e-40  136.3  40.6  1535  2246   244   975   239   988 0.72 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 39at5820             -           4063  7.2e-169  562.2 229.0   2   7   1.9e-05     0.031    9.1   6.3  2152  2198   989  1035   980  1040 0.92 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 39at5820             -           4063  7.2e-169  562.2 229.0   3   7   6.8e-29   1.1e-25   86.9  14.0  2356  2481  1081  1206  1053  1214 0.92 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 39at5820             -           4063  7.2e-169  562.2 229.0   4   7   3.6e-23   5.9e-20   67.9  22.9  2569  2817  1456  1693  1422  1711 0.79 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 39at5820             -           4063  7.2e-169  562.2 229.0   5   7   3.8e-70   6.1e-67  223.8  34.9  2902  3393  1850  2372  1846  2384 0.74 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 39at5820             -           4063  7.2e-169  562.2 229.0   6   7   1.3e-26   2.2e-23   79.3  29.9  3368  3640  2462  2748  2452  2769 0.80 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 39at5820             -           4063  7.2e-169  562.2 229.0   7   7      0.99   1.6e+03   -6.6  33.2  3771  4011  2967  3228  2953  3252 0.64 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314000.1-p1   -           2536 39at5820             -           4063   8.8e-47  157.0 211.5   1   7   1.4e-19   2.3e-16   56.0  28.0  1954  2259   821  1149   705  1177 0.74 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314000.1-p1   -           2536 39at5820             -           4063   8.8e-47  157.0 211.5   2   7   6.7e-07    0.0011   13.9  14.7  2176  2263  1195  1282  1189  1296 0.74 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314000.1-p1   -           2536 39at5820             -           4063   8.8e-47  157.0 211.5   3   7   3.1e-07    0.0005   15.0  17.0  2165  2245  1299  1383  1292  1393 0.82 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314000.1-p1   -           2536 39at5820             -           4063   8.8e-47  157.0 211.5   4   7   1.1e-08   1.8e-05   19.8  10.7  2732  2816  1397  1483  1384  1486 0.86 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314000.1-p1   -           2536 39at5820             -           4063   8.8e-47  157.0 211.5   5   7   7.1e-19   1.2e-15   53.7  21.6  2880  3060  1487  1656  1484  1665 0.92 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314000.1-p1   -           2536 39at5820             -           4063   8.8e-47  157.0 211.5   6   7   4.6e-16   7.4e-13   44.3  63.7  3158  3632  1666  2135  1660  2187 0.69 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314000.1-p1   -           2536 39at5820             -           4063   8.8e-47  157.0 211.5   7   7         4   6.5e+03  -10.5   9.3  3800  3965  2232  2399  2170  2478 0.57 | transcript=PVP01_0314000.1 | gene=PVP01_0314000 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=PvP01_03_v2:633899-642589(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 39at5820             -           4063     3e-31  105.4 206.5   1   6   3.1e-20   5.1e-17   58.2  75.7  1951  2476  1154  1709  1094  1717 0.70 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 39at5820             -           4063     3e-31  105.4 206.5   2   6     0.035        57   -1.8   5.1  2717  2762  1714  1763  1709  1781 0.77 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 39at5820             -           4063     3e-31  105.4 206.5   3   6   6.9e-05      0.11    7.2   5.3  2429  2817  1834  1882  1820  1891 0.60 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 39at5820             -           4063     3e-31  105.4 206.5   4   6   3.5e-15   5.7e-12   41.4  10.6  2903  3055  2076  2223  2070  2239 0.87 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 39at5820             -           4063     3e-31  105.4 206.5   5   6   1.1e-12   1.8e-09   33.1  62.9  3160  3623  2240  2693  2225  2711 0.75 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709800.1-p1   -           3264 39at5820             -           4063     3e-31  105.4 206.5   6   6         4   6.5e+03  -11.1   8.4  3751  3831  2909  2995  2896  3026 0.59 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/39at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/39at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/39at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:54 2026
# [ok]
