#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1129000.1-p1   -            539 6412at5820           -            480  5.6e-233  772.5  32.2   1   1  3.9e-235  1.6e-232  771.0  32.2    11   479    17   518     1   519 0.87 | transcript=PVP01_1129000.1 | gene=PVP01_1129000 | organism=Plasmodium_vivax_P01 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=PvP01_11_v2:1251595-1253214(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 6412at5820           -            480   1.4e-11   42.4   2.0   3   3    0.0001     0.042   11.2   3.0   174   271   536   633   525   639 0.77 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 6412at5820           -            480   1.8e-11   42.1   5.2   1   4   0.00075       0.3    8.3   0.3   307   339    67    99    59   107 0.88 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 6412at5820           -            480   1.8e-11   42.1   5.2   2   4   9.4e-06    0.0038   14.6   0.2   298   387   100   190    99   193 0.80 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 6412at5820           -            480   1.8e-11   42.1   5.2   3   4   4.7e-08   1.9e-05   22.1   0.0   290   384   182   269   179   272 0.81 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 6412at5820           -            480   1.8e-11   42.1   5.2   4   4      0.21        85    0.2   0.0   190   248   259   319   255   320 0.65 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6412at5820           -            480   3.2e-10   37.9  10.5   1   2   2.3e-10   9.3e-08   29.8   4.0   292   393   198   297   173   305 0.89 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6412at5820           -            480   3.2e-10   37.9  10.5   2   2   9.1e-05     0.037   11.3   0.5   274   354   319   402   311   425 0.74 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6412at5820           -            480   3.9e-08   31.0  11.9   1   3   8.4e-05     0.034   11.4   4.4   292   348   106   158    30   163 0.63 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6412at5820           -            480   3.9e-08   31.0  11.9   2   3   8.6e-06    0.0035   14.7   5.9   170   339    79   232    67   243 0.83 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6412at5820           -            480   3.9e-08   31.0  11.9   3   3   3.7e-06    0.0015   15.9   0.0   184   241   266   319   256   323 0.85 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 6412at5820           -            480   1.4e-07   29.2  10.2   1   2      0.03        12    3.0   1.0   190   230   262   301   246   321 0.66 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 6412at5820           -            480   1.4e-07   29.2  10.2   2   2   3.4e-10   1.4e-07   29.2  10.2   215   389   429   594   420   608 0.81 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 6412at5820           -            480   2.5e-06   25.1   4.8   1   3      0.84   3.4e+02   -1.8   0.9    21    55    12    45     1    72 0.36 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 6412at5820           -            480   2.5e-06   25.1   4.8   2   3   6.1e-09   2.5e-06   25.1   4.8   206   388   140   329   127   334 0.80 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 6412at5820           -            480   2.5e-06   25.1   4.8   3   3   0.00087      0.36    8.1   0.2   174   245   299   368   290   375 0.45 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 6412at5820           -            480   4.4e-06   24.3   0.2   1   2   6.7e-08   2.8e-05   21.6   0.2   288   390   123   219   101   261 0.81 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 6412at5820           -            480   4.4e-06   24.3   0.2   2   2      0.24        99    0.0   0.0   200   245   272   316   244   323 0.84 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6412at5820           -            480   0.00016   19.1  22.4   1   4   0.00021     0.086   10.1   2.0   237   345    94   198    20   207 0.50 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6412at5820           -            480   0.00016   19.1  22.4   2   4    0.0012      0.49    7.6   1.8   308   371   365   434   354   456 0.77 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6412at5820           -            480   0.00016   19.1  22.4   3   4   3.3e-05     0.013   12.8   0.2   308   386   492   568   457   574 0.80 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6412at5820           -            480   0.00016   19.1  22.4   4   4      0.19        78    0.4   0.3   340   382   614   658   594   660 0.64 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 6412at5820           -            480   0.00041   17.8   1.8   1   3     0.087        35    1.5   0.0   214   245   108   138    98   148 0.76 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 6412at5820           -            480   0.00041   17.8   1.8   2   3   8.1e-05     0.033   11.5   0.1   304   350   208   254   196   273 0.88 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 6412at5820           -            480   0.00041   17.8   1.8   3   3     0.055        22    2.2   0.1   332   387   346   398   306   406 0.70 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318300.1-p1   -            644 6412at5820           -            480   0.00043   17.7   1.7   1   4     0.097        40    1.3   0.1   176   227   220   266   190   277 0.73 | transcript=PVP01_0318300.1 | gene=PVP01_0318300 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=PvP01_03_v2:772270-774204(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318300.1-p1   -            644 6412at5820           -            480   0.00043   17.7   1.7   2   4    0.0026       1.1    6.5   0.0   322   388   319   380   303   385 0.74 | transcript=PVP01_0318300.1 | gene=PVP01_0318300 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=PvP01_03_v2:772270-774204(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318300.1-p1   -            644 6412at5820           -            480   0.00043   17.7   1.7   3   4    0.0041       1.7    5.9   0.0   221   261   353   391   337   403 0.71 | transcript=PVP01_0318300.1 | gene=PVP01_0318300 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=PvP01_03_v2:772270-774204(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318300.1-p1   -            644 6412at5820           -            480   0.00043   17.7   1.7   4   4    0.0028       1.1    6.4   0.0   205   232   418   445   406   454 0.87 | transcript=PVP01_0318300.1 | gene=PVP01_0318300 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=PvP01_03_v2:772270-774204(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 6412at5820           -            480   0.00043   17.7   0.0   1   1   2.7e-06    0.0011   16.4   0.0   169   248   190   267   183   274 0.88 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 6412at5820           -            480    0.0019   15.6   0.2   1   1   7.8e-06    0.0032   14.8   0.2   308   387   324   404   283   429 0.84 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 6412at5820           -            480     0.026   11.8   5.3   1   2    0.0024      0.97    6.6   5.4   200   257   340   397   325   409 0.82 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 6412at5820           -            480     0.026   11.8   5.3   2   2     0.035        14    2.8   0.0   171   234   440   500   412   516 0.77 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6412at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6412at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6412at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:23 2026
# [ok]
