#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1223900.1-p1   -            456 6503at5820           -            386  1.7e-257  852.2   3.9   1   1  5.7e-260    2e-257  852.0   3.9     1   386    61   456    61   456 0.98 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 6503at5820           -            386   3.3e-14   51.3   1.5   3   3   7.8e-06    0.0027   15.4   0.0   199   288   352   446   348   464 0.74 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424700.1-p1   -            771 6503at5820           -            386   2.3e-13   48.6   0.4   1   1   1.7e-15     6e-13   47.2   0.4    13   156   110   252   101   285 0.85 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 6503at5820           -            386   2.7e-11   41.8   0.8   1   1   1.6e-13   5.4e-11   40.8   0.8     5   137    12   156     9   190 0.73 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 6503at5820           -            386   7.8e-11   40.2   0.1   1   1   4.3e-13   1.5e-10   39.3   0.1    13   141    26   157    20   189 0.80 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 6503at5820           -            386   9.5e-11   40.0   0.9   1   1   6.6e-13   2.3e-10   38.7   0.6    14   151   193   327   185   351 0.80 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 6503at5820           -            386   4.9e-10   37.6   0.5   1   2   1.4e-12   4.9e-10   37.6   0.5    12   138    99   236    85   254 0.80 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 6503at5820           -            386   4.9e-10   37.6   0.5   2   2       1.4     5e+02   -1.9   0.4   141   192   328   372   297   392 0.65 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 6503at5820           -            386     1e-09   36.5   1.6   1   2   3.7e-06    0.0013   16.5   0.1    13    65    14    69     6    80 0.83 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 6503at5820           -            386     1e-09   36.5   1.6   2   2   9.2e-07   0.00032   18.5   0.3    72   141   173   242   150   260 0.74 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 6503at5820           -            386   2.1e-08   32.3   2.0   1   1   1.6e-10   5.4e-08   30.9   2.0     8   151   764   898   761   913 0.82 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 6503at5820           -            386   3.1e-08   31.7   0.9   1   2   7.2e-10   2.5e-07   28.7   0.8    11   182   591   747   581   775 0.71 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 6503at5820           -            386   3.1e-08   31.7   0.9   2   2      0.88     3e+02   -1.2   0.0   242   288   922   969   910   980 0.83 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 6503at5820           -            386   3.4e-08   31.5   0.2   1   1   2.1e-10   7.3e-08   30.5   0.2    14   136    43   176    38   190 0.75 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729700.1-p1   -            845 6503at5820           -            386   3.5e-08   31.5   0.1   1   3    0.0041       1.4    6.5   0.0    13    49   130   169   126   198 0.80 | transcript=PVP01_0729700.1 | gene=PVP01_0729700 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_07_v2:1265963-1268500(-) | protein_length=845 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729700.1-p1   -            845 6503at5820           -            386   3.5e-08   31.5   0.1   2   3   8.2e-08   2.8e-05   22.0   0.0    74   140   269   338   259   362 0.83 | transcript=PVP01_0729700.1 | gene=PVP01_0729700 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_07_v2:1265963-1268500(-) | protein_length=845 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729700.1-p1   -            845 6503at5820           -            386   3.5e-08   31.5   0.1   3   3       5.6   1.9e+03   -3.8   0.0   365   382   824   841   816   842 0.82 | transcript=PVP01_0729700.1 | gene=PVP01_0729700 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_07_v2:1265963-1268500(-) | protein_length=845 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413400.1-p1   -           1071 6503at5820           -            386   0.00012   19.9   0.6   1   1   3.5e-06    0.0012   16.6   0.6     8   162   200   338   196   389 0.71 | transcript=PVP01_1413400.1 | gene=PVP01_1413400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_14_v2:584350-587565(+) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 6503at5820           -            386    0.0004   18.2   4.6   1   2   2.7e-06   0.00091   17.0   0.3    18   136   428   548   420   552 0.71 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 6503at5820           -            386    0.0004   18.2   4.6   2   2      0.09        31    2.1   0.4   188   273   852   950   846   983 0.65 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6503at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6503at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6503at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:13 2026
# [ok]
