#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7   1  15    6e-175  9.8e-172  571.7  78.4     1   385     1   437     1   470 0.88 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7  12  15    8e-118  1.3e-114  382.1  35.2  1803  2015  2783  3016  2772  3050 0.89 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7  13  15    2e-264  3.3e-261  868.6 101.3  2011  2509  3059  3614  3047  3627 0.90 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7  14  15   2.9e-44   4.7e-41  138.1  23.6  2510  2603  3669  3766  3654  3781 0.83 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7  15  15  1.6e-279  2.6e-276  918.7  86.2  2584  3017  3787  4225  3770  4225 0.97 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 102at5820            -           3017   9.9e-05   17.6   7.0   1   3   1.2e-06     0.002   13.2   0.5  2177  2226   233   280   227   283 0.87 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 102at5820            -           3017   9.9e-05   17.6   7.0   2   3     6e-05     0.098    7.6   0.3  2173  2223   363   413   345   425 0.85 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 102at5820            -           3017   9.9e-05   17.6   7.0   3   3      0.12   1.9e+02   -3.3   0.0  2180  2223   681   724   679   727 0.86 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 102at5820            -           3017     0.012   10.7  18.1   1   5     0.023        38   -1.0   0.7  2173  2222   149   205   124   227 0.59 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 102at5820            -           3017     0.012   10.7  18.1   2   5     0.059        96   -2.3   0.4  2180  2216   217   253   179   268 0.88 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 102at5820            -           3017     0.012   10.7  18.1   3   5   9.8e-06     0.016   10.2   1.2  2175  2240   266   331   250   333 0.87 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 102at5820            -           3017     0.012   10.7  18.1   4   5   0.00037      0.61    5.0   1.0  2347  2385   330   370   328   392 0.74 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 102at5820            -           3017     0.012   10.7  18.1   5   5   6.8e-05      0.11    7.4   0.1  2199  2230   399   430   375   433 0.89 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 102at5820            -           3017       2.2    3.1  20.2   1   3   9.2e-05      0.15    7.0   3.8  2927  2966    25    64    15    68 0.92 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 102at5820            -           3017       2.2    3.1  20.2   2   3   8.5e-05      0.14    7.1   0.5  2172  2220    80   128    66   136 0.83 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 102at5820            -           3017       2.2    3.1  20.2   3   3     0.037        60   -1.6   2.2  2174  2222   284   332   274   449 0.78 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/102at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/102at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/102at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:34 2026
# [ok]
