#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1257500.1-p1   -            831 9467at5820           -            281  3.2e-127  422.4  72.7   1   5   5.8e-46   4.7e-43  146.2   4.0     5    95    27   117    24   155 0.88 | transcript=PVP01_1257500.1 | gene=PVP01_1257500 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O5, putative | transcript_product=AP2 domain transcription factor AP2-O5, putative | location=PvP01_12_v2:2357656-2360339(-) | protein_length=831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 9467at5820           -            281   6.7e-07   27.6   7.3   1   7       0.2   1.6e+02    0.1   0.0    50    68   248   266   224   285 0.83 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 9467at5820           -            281   6.7e-07   27.6   7.3   2   7         8   6.5e+03  -11.6  12.7    82   113   624   655   611   693 0.53 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 9467at5820           -            281   6.7e-07   27.6   7.3   3   7         8   6.5e+03  -18.5  31.6    93   158   694   761   670   825 0.44 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 9467at5820           -            281   6.7e-07   27.6   7.3   4   7       3.6   2.9e+03   -4.0   7.2   158   220   897   961   846   968 0.67 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 9467at5820           -            281   6.7e-07   27.6   7.3   5   7     1e-05    0.0082   14.2   3.1     6   111   972  1080   966  1097 0.80 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 9467at5820           -            281   6.7e-07   27.6   7.3   6   7      0.38   3.1e+02   -0.8   0.7    29   132  1078  1179  1058  1197 0.56 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 9467at5820           -            281   6.7e-07   27.6   7.3   7   7   8.2e-10   6.7e-07   27.6   7.3   193   280  1210  1300  1133  1301 0.74 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457300.1-p1   -           2442 9467at5820           -            281   6.1e-06   24.5  14.2   1   5         8   6.5e+03   -6.3   6.0   102   172   954  1025   926  1054 0.58 | transcript=PVP01_1457300.1 | gene=PVP01_1457300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:2489178-2496506(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457300.1-p1   -           2442 9467at5820           -            281   6.1e-06   24.5  14.2   2   5         8   6.5e+03   -8.4   6.4   152   173  1543  1564  1456  1655 0.58 | transcript=PVP01_1457300.1 | gene=PVP01_1457300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:2489178-2496506(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457300.1-p1   -           2442 9467at5820           -            281   6.1e-06   24.5  14.2   3   5   1.5e-06    0.0013   16.9   4.4    18    95  2098  2174  2083  2193 0.71 | transcript=PVP01_1457300.1 | gene=PVP01_1457300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:2489178-2496506(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457300.1-p1   -           2442 9467at5820           -            281   6.1e-06   24.5  14.2   4   5   1.4e-08   1.2e-05   23.5   2.2    21   101  2200  2283  2182  2314 0.73 | transcript=PVP01_1457300.1 | gene=PVP01_1457300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:2489178-2496506(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457300.1-p1   -           2442 9467at5820           -            281   6.1e-06   24.5  14.2   5   5   2.9e-05     0.024   12.7   2.3   188   273  2316  2401  2302  2409 0.88 | transcript=PVP01_1457300.1 | gene=PVP01_1457300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:2489178-2496506(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916300.1-p1   -            240 9467at5820           -            281     4e-05   21.8   1.4   1   2     0.041        34    2.3   0.1    53    79   153   179   147   188 0.78 | transcript=PVP01_0916300.1 | gene=PVP01_0916300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_09_v2:734537-735740(+) | protein_length=240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916300.1-p1   -            240 9467at5820           -            281     4e-05   21.8   1.4   2   2   4.5e-07   0.00037   18.6   0.5    23    69   186   233   175   239 0.81 | transcript=PVP01_0916300.1 | gene=PVP01_0916300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_09_v2:734537-735740(+) | protein_length=240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017200.1-p1   -           2442 9467at5820           -            281   5.6e-05   21.3  15.8   1   3   1.3e-05      0.01   13.9   0.1    28    94  1039  1106  1021  1113 0.82 | transcript=PVP01_1017200.1 | gene=PVP01_1017200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=PvP01_10_v2:762252-769580(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017200.1-p1   -           2442 9467at5820           -            281   5.6e-05   21.3  15.8   2   3   4.9e-05      0.04   11.9   6.9    18    84  1928  1994  1915  2089 0.75 | transcript=PVP01_1017200.1 | gene=PVP01_1017200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=PvP01_10_v2:762252-769580(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017200.1-p1   -           2442 9467at5820           -            281   5.6e-05   21.3  15.8   3   3       1.4   1.1e+03   -2.6   0.2   195   225  2311  2341  2308  2396 0.67 | transcript=PVP01_1017200.1 | gene=PVP01_1017200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=PvP01_10_v2:762252-769580(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320200.1-p1   -            817 9467at5820           -            281     0.001   17.2  23.8   1   3   1.4e-06    0.0012   17.0   5.9    11   116    38   156    29   183 0.59 | transcript=PVP01_1320200.1 | gene=PVP01_1320200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=PvP01_13_v2:919162-921615(+) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320200.1-p1   -            817 9467at5820           -            281     0.001   17.2  23.8   2   3      0.45   3.7e+02   -1.1   0.7    90   139   450   499   439   502 0.82 | transcript=PVP01_1320200.1 | gene=PVP01_1320200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=PvP01_13_v2:919162-921615(+) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320200.1-p1   -            817 9467at5820           -            281     0.001   17.2  23.8   3   3   9.1e-05     0.074   11.1   2.9   193   277   716   797   704   801 0.79 | transcript=PVP01_1320200.1 | gene=PVP01_1320200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=PvP01_13_v2:919162-921615(+) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303400.1-p1   -           3545 9467at5820           -            281     0.099   10.7  20.0   1   3   0.00011     0.087   10.8   0.4    24    84   897   959   874  1024 0.71 | transcript=PVP01_0303400.1 | gene=PVP01_0303400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=PvP01_03_v2:171877-182656(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303400.1-p1   -           3545 9467at5820           -            281     0.099   10.7  20.0   2   3         8   6.5e+03   -5.3   2.5    80   144  1728  1756  1718  1777 0.44 | transcript=PVP01_0303400.1 | gene=PVP01_0303400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=PvP01_03_v2:171877-182656(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303400.1-p1   -           3545 9467at5820           -            281     0.099   10.7  20.0   3   3   6.3e-05     0.052   11.6   3.5     9    91  1888  1965  1880  1997 0.70 | transcript=PVP01_0303400.1 | gene=PVP01_0303400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=PvP01_03_v2:171877-182656(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9467at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9467at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9467at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:13 2026
# [ok]
