#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1309400.1-p1   -           1005 5114at5820           -            599  2.4e-238  791.3  84.5   1   6    1e-131  6.7e-129  429.8  29.6     1   205     1   210     1   227 0.93 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 5114at5820           -            599   2.1e-30  104.5   4.4   3   4       1.9   1.3e+03   -3.7   3.3   552   583   510   541   470   582 0.59 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 5114at5820           -            599   2.1e-30  104.5   4.4   4   4       1.1     7e+02   -2.9   3.8   399   477   746   825   713   938 0.75 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 5114at5820           -            599   5.7e-23   80.0   6.2   1   6   8.8e-26   5.7e-23   80.0   6.2     1   126     2   129     2   132 0.89 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 5114at5820           -            599   5.7e-23   80.0   6.2   2   6        10   6.5e+03   -9.1  10.4   546   577   189   220   154   239 0.46 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 5114at5820           -            599   5.7e-23   80.0   6.2   3   6        10   6.5e+03  -18.0  31.0   294   445   229   381   193   401 0.55 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 5114at5820           -            599   5.7e-23   80.0   6.2   4   6        10   6.5e+03   -7.9  12.5   513   595   468   550   439   583 0.54 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 5114at5820           -            599   5.7e-23   80.0   6.2   5   6        10   6.5e+03  -10.1  26.1   330   524   629   827   614   868 0.41 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 5114at5820           -            599   5.7e-23   80.0   6.2   6   6     0.082        53    0.8   4.5   498   561   915   985   903  1003 0.69 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 5114at5820           -            599   2.9e-18   64.4  19.1   1   5   4.5e-21   2.9e-18   64.4  19.1    23   150    49   175    24   190 0.83 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 5114at5820           -            599   2.9e-18   64.4  19.1   2   5      0.19   1.2e+02   -0.3   1.9   473   543   166   238   154   258 0.66 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 5114at5820           -            599   2.9e-18   64.4  19.1   3   5        10   6.5e+03  -16.6  20.1   440   590   342   494   292   502 0.51 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 5114at5820           -            599   2.9e-18   64.4  19.1   4   5        10   6.5e+03  -10.9   9.2   533   547   640   653   586   711 0.52 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705100.1-p1   -            842 5114at5820           -            599   2.9e-18   64.4  19.1   5   5       0.6   3.9e+02   -2.0   4.1   326   393   770   838   717   840 0.78 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604500.1-p1   -           1489 5114at5820           -            599   7.7e-18   63.0   8.8   1   1   1.9e-20   1.2e-17   62.4   8.8    24   129     6   104     2   119 0.90 | transcript=PVP01_0604500.1 | gene=PVP01_0604500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_06_v2:176094-181149(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 5114at5820           -            599   2.1e-17   61.6  23.5   1   6        10   6.5e+03   -6.7   9.1   341   565    17   108     5   130 0.42 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 5114at5820           -            599   2.1e-17   61.6  23.5   2   6   3.3e-20   2.1e-17   61.6  23.5    12   134   373   495   359   515 0.81 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 5114at5820           -            599   2.1e-17   61.6  23.5   3   6       1.6     1e+03   -3.4   7.4   443   524   656   738   601   785 0.77 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 5114at5820           -            599   2.1e-17   61.6  23.5   4   6        10   6.5e+03  -10.1   7.7   468   485  1133  1150  1103  1239 0.50 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 5114at5820           -            599   2.1e-17   61.6  23.5   5   6       4.1   2.7e+03   -4.8   2.8   396   463  1655  1727  1642  1745 0.49 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 5114at5820           -            599   2.1e-17   61.6  23.5   6   6       4.2   2.8e+03   -4.8   2.2   382   460  1779  1859  1772  1871 0.51 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 5114at5820           -            599   7.2e-17   59.9  12.0   1   4       4.7   3.1e+03   -5.0   4.5   403   462   193   254   157   322 0.62 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 5114at5820           -            599   7.2e-17   59.9  12.0   2   4   1.1e-19   7.2e-17   59.9  12.0    20   156   485   623   481   642 0.82 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 5114at5820           -            599   7.2e-17   59.9  12.0   3   4        10   6.5e+03  -10.2  10.6   494   589  1362  1466  1353  1476 0.71 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 5114at5820           -            599   7.2e-17   59.9  12.0   4   4        10   6.5e+03   -7.3   3.1   334   354  1829  1849  1814  1880 0.44 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323700.1-p1   -           1314 5114at5820           -            599   2.2e-09   35.1   4.3   1   1   5.4e-12   3.5e-09   34.5   4.3    56   138   189   270   186   279 0.83 | transcript=PVP01_1323700.1 | gene=PVP01_1323700 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:1061535-1065479(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 5114at5820           -            599   2.5e-08   31.6  19.8   1   3   8.6e-09   5.6e-06   23.9   0.7    98   127     3    32     1    35 0.94 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 5114at5820           -            599   2.5e-08   31.6  19.8   2   3   1.5e-07    0.0001   19.7   1.5    23    95    36   106    33   110 0.89 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 5114at5820           -            599   2.5e-08   31.6  19.8   3   3       0.5   3.2e+02   -1.7   3.4   334   563   343   417   324   440 0.46 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5114at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5114at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5114at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:20 2026
# [ok]
