#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1141800.1-p1   -            401 10508at5820          -            310  4.1e-152  504.6  17.0   1   2  1.4e-116  7.4e-114  378.9   5.3     2   234    13   249    12   283 0.92 | transcript=PVP01_1141800.1 | gene=PVP01_1141800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_11_v2:1772224-1773631(+) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828100.1-p1   -            736 10508at5820          -            310   0.00027   19.0   2.8   2   2   5.1e-07   0.00027   19.0   2.8   253   298   687   731   670   735 0.87 | transcript=PVP01_0828100.1 | gene=PVP01_0828100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:1215633-1217843(-) | protein_length=736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821100.1-p1   -            108 10508at5820          -            310    0.0022   16.1   1.5   1   2     0.077        42    2.0   0.7   285   307    26    49    12    52 0.76 | transcript=PVP01_0821100.1 | gene=PVP01_0821100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=PvP01_08_v2:923353-923679(+) | protein_length=108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821100.1-p1   -            108 10508at5820          -            310    0.0022   16.1   1.5   2   2   4.1e-06    0.0022   16.1   1.5   262   296    64    98    59   101 0.82 | transcript=PVP01_0821100.1 | gene=PVP01_0821100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=PvP01_08_v2:923353-923679(+) | protein_length=108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210500.1-p1   -           1792 10508at5820          -            310      0.02   12.9   1.9   1   1    0.0001     0.055   11.5   1.9   252   287   154   192   137   196 0.86 | transcript=PVP01_1210500.1 | gene=PVP01_1210500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_12_v2:432938-439118(+) | protein_length=1792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125000.1-p1   -             89 10508at5820          -            310       1.6    6.6  13.7   1   2      0.23   1.3e+02    0.4   1.8   277   301     9    35     1    47 0.70 | transcript=PVP01_1125000.1 | gene=PVP01_1125000 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=PvP01_11_v2:1096658-1096927(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125000.1-p1   -             89 10508at5820          -            310       1.6    6.6  13.7   2   2    0.0056       3.1    5.7  11.9   274   298    55    80    21    84 0.71 | transcript=PVP01_1125000.1 | gene=PVP01_1125000 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=PvP01_11_v2:1096658-1096927(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122200.1-p1   -            519 10508at5820          -            310       9.5    4.1  15.8   1   1   1.5e-05    0.0079   14.2   4.5   221   299   332   405   268   410 0.67 | transcript=PVP01_1122200.1 | gene=PVP01_1122200 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=PvP01_11_v2:983496-985055(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10508at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10508at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10508at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:32 2026
# [ok]
