#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0520400.1-p1   -            879 3141at5820           -            730         0 1322.8  73.3   1   4   5.2e-28   6.8e-25   86.0   0.4     1    58     1    60     1    65 0.95 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006600.1-p1   -            590 3141at5820           -            730     4e-10   37.2   0.9   3   3   9.9e-06     0.013   12.4   0.0   672   702   486   516   479   545 0.79 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334200.1-p1   -           1221 3141at5820           -            730   0.00029   17.8  31.9   1   3      0.12   1.6e+02   -1.2   4.9   268   359   600   694   590   706 0.63 | transcript=PVP01_1334200.1 | gene=PVP01_1334200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=PvP01_13_v2:1471560-1475225(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334200.1-p1   -           1221 3141at5820           -            730   0.00029   17.8  31.9   2   3   1.8e-06    0.0024   14.8  10.3   405   552   705   846   692   868 0.79 | transcript=PVP01_1334200.1 | gene=PVP01_1334200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=PvP01_13_v2:1471560-1475225(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334200.1-p1   -           1221 3141at5820           -            730   0.00029   17.8  31.9   3   3   3.3e-06    0.0043   14.0   3.0   673   727  1108  1167  1097  1170 0.78 | transcript=PVP01_1334200.1 | gene=PVP01_1334200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=PvP01_13_v2:1471560-1475225(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302700.1-p1   -            383 3141at5820           -            730    0.0035   14.2  30.8   1   2   6.7e-05     0.087    9.6  23.5   276   535    16   277     5   300 0.67 | transcript=PVP01_0302700.1 | gene=PVP01_0302700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-specific protease, putative | transcript_product=ubiquitin-specific protease, putative | location=PvP01_03_v2:131592-132743(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302700.1-p1   -            383 3141at5820           -            730    0.0035   14.2  30.8   2   2   0.00014      0.18    8.6   0.7   675   716   324   364   302   382 0.76 | transcript=PVP01_0302700.1 | gene=PVP01_0302700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-specific protease, putative | transcript_product=ubiquitin-specific protease, putative | location=PvP01_03_v2:131592-132743(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3141at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3141at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3141at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:53 2026
# [ok]
