#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0906300.1-p1   -            167 12830at5820          -            150   1.3e-86  286.8  12.9   1   1   3.4e-89   1.5e-86  286.6  12.9     1   150    11   167    11   167 0.96 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262800.1-p1   -            207 12830at5820          -            150   9.5e-05   21.1   4.2   1   2   2.2e-07   9.5e-05   21.1   4.2    62   138    34   111    28   125 0.83 | transcript=PVP01_1262800.1 | gene=PVP01_1262800 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_12_v2:2582239-2583395(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262800.1-p1   -            207 12830at5820          -            150   9.5e-05   21.1   4.2   2   2      0.11        50    2.5   1.0    13    51   129   168   113   200 0.54 | transcript=PVP01_1262800.1 | gene=PVP01_1262800 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_12_v2:2582239-2583395(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12830at5820          -            150   0.00043   19.0   5.7   1   2    0.0035       1.5    7.5   0.1    79   115    16    53     4    69 0.58 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12830at5820          -            150   0.00043   19.0   5.7   2   2     9e-05     0.039   12.6   1.8     7    60   170   223   163   231 0.79 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 12830at5820          -            150   0.00057   18.6   0.7   1   1   3.3e-06    0.0014   17.3   0.7    50   135   505   600   458   603 0.80 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204500.1-p1   -           1501 12830at5820          -            150     0.007   15.0   0.2   1   1   7.4e-05     0.032   12.9   0.2    12    47    70   105    61   115 0.89 | transcript=PVP01_0204500.1 | gene=PVP01_0204500 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_02_v2:210931-216421(-) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463500.1-p1   -            209 12830at5820          -            150    0.0075   14.9   0.6   1   1   3.9e-05     0.017   13.8   0.2    62   113   132   187   114   208 0.73 | transcript=PVP01_1463500.1 | gene=PVP01_1463500 | organism=Plasmodium_vivax_P01 | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=PvP01_14_v2:2737238-2737867(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103100.1-p1   -            107 12830at5820          -            150     0.009   14.7   2.3   1   1   2.9e-05     0.012   14.2   2.3     3    66    42   101    40   106 0.89 | transcript=PVP01_0103100.1 | gene=PVP01_0103100 | organism=Plasmodium_vivax_P01 | gene_product=centrin, putative | transcript_product=centrin, putative | location=PvP01_01_v2:143304-144204(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122300.1-p1   -            140 12830at5820          -            150     0.016   13.9   0.5   1   1   7.8e-05     0.034   12.8   0.4    70   136    72   138     9   140 0.75 | transcript=PVP01_1122300.1 | gene=PVP01_1122300 | organism=Plasmodium_vivax_P01 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=PvP01_11_v2:986263-987871(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12830at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12830at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12830at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:58 2026
# [ok]
