#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1212200.1-p1   -            817 2337at5820           -            732         0 1514.2  15.2   1   1         0         0 1511.5  15.2     1   732     1   813     1   813 0.95 | transcript=PVP01_1212200.1 | gene=PVP01_1212200 | organism=Plasmodium_vivax_P01 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=PvP01_12_v2:539112-541853(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 2337at5820           -            732   1.3e-40  137.8  12.1   6   6    0.0011       1.2    5.7   0.0   596   624   944   972   932   982 0.91 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 2337at5820           -            732   7.5e-38  128.7   8.1   1   2     3e-36   3.2e-33  113.4   2.9    97   491   113   611    94   647 0.70 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 2337at5820           -            732   7.5e-38  128.7   8.1   2   2   1.7e-05     0.018   11.7   0.2   593   665   783   855   775   861 0.90 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2337at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2337at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2337at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:15 2026
# [ok]
