#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1407300.1-p1   -            393 7097at5820           -            386  1.8e-263  872.1   9.2   1   1  6.9e-266  2.1e-263  871.9   9.2     1   386     1   393     1   393 0.99 | transcript=PVP01_1407300.1 | gene=PVP01_1407300 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=PvP01_14_v2:344749-345930(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7097at5820           -            386   3.8e-67  225.8  15.4   1   4   1.2e-07   3.6e-05   21.8   0.1   119   187   335   403   331   416 0.88 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7097at5820           -            386   3.8e-67  225.8  15.4   2   4   1.9e-15   5.7e-13   47.5   1.3   213   350   489   620   467   653 0.82 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7097at5820           -            386   3.8e-67  225.8  15.4   3   4   3.1e-50   9.2e-48  162.0   0.6   127   312   767   949   761   961 0.92 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7097at5820           -            386   3.8e-67  225.8  15.4   4   4      0.12        36    2.0   0.1   331   355  1097  1121  1083  1135 0.73 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 7097at5820           -            386   1.3e-60  204.4   4.9   1   2   3.8e-07   0.00011   20.2   0.1    67   346   153   411   148   419 0.72 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 7097at5820           -            386   1.3e-60  204.4   4.9   2   2   3.8e-57   1.1e-54  184.8   1.6   125   359   568   800   524   806 0.90 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 7097at5820           -            386   5.5e-55  185.8   0.1   1   1     3e-57   8.8e-55  185.1   0.1   126   373   157   406   140   415 0.93 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 7097at5820           -            386   1.1e-53  181.5   2.0   1   2       8.3   2.5e+03   -4.0   0.0   265   298    21    51    15    61 0.65 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 7097at5820           -            386   1.1e-53  181.5   2.0   2   2   3.8e-56   1.1e-53  181.5   0.8   125   348   245   464   227   493 0.93 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920200.1-p1   -            950 7097at5820           -            386   3.4e-45  153.6   0.1   1   1   1.9e-47   5.5e-45  152.9   0.1   114   353   387   631   367   654 0.84 | transcript=PVP01_0920200.1 | gene=PVP01_0920200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_09_v2:877371-880223(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 7097at5820           -            386   1.1e-43  148.6   2.9   1   2   1.3e-42   3.8e-40  137.0   0.6   124   345   246   483   224   499 0.82 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 7097at5820           -            386   1.1e-43  148.6   2.9   2   2   0.00015     0.045   11.6   0.1   166   236   572   643   537   732 0.76 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 7097at5820           -            386   9.6e-37  125.8   0.7   1   1   5.3e-39   1.6e-36  125.0   0.7   122   351   416   645   401   667 0.85 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 7097at5820           -            386   5.1e-36  123.4   0.0   1   2     6e-38   1.8e-35  121.6   0.0   122   313   110   296    95   302 0.89 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 7097at5820           -            386   5.1e-36  123.4   0.0   2   2       1.7     5e+02   -1.7   0.0   320   351   321   352   318   363 0.81 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 7097at5820           -            386   5.6e-21   73.9   0.0   1   2   3.9e-17   1.2e-14   53.1   0.0   165   275   598   713   557   718 0.89 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 7097at5820           -            386   5.6e-21   73.9   0.0   2   2   1.2e-06   0.00037   18.5   0.0   270   315   792   837   768   849 0.83 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 7097at5820           -            386   2.7e-14   51.9   0.3   1   2   2.3e-16   6.9e-14   50.5   0.1   154   327   335   524   315   534 0.77 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 7097at5820           -            386   2.7e-14   51.9   0.3   2   2         2   5.8e+02   -1.9   0.0   324   351   552   579   522   591 0.67 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 7097at5820           -            386   9.3e-13   46.8   0.0   1   2       1.7   5.1e+02   -1.7   0.0   154   326   544   559   532   581 0.63 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 7097at5820           -            386   9.3e-13   46.8   0.0   2   2   1.1e-14   3.3e-12   45.0   0.0   163   264   741   844   736   893 0.84 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107600.1-p1   -            665 7097at5820           -            386     1e-12   46.7   0.0   1   1   9.3e-15   2.8e-12   45.2   0.0   165   304   344   483   330   500 0.71 | transcript=PVP01_0107600.1 | gene=PVP01_0107600 | organism=Plasmodium_vivax_P01 | gene_product=ATPase family AAA domain-containing protein 3A, putative | transcript_product=ATPase family AAA domain-containing protein 3A, putative | location=PvP01_01_v2:380468-382465(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 7097at5820           -            386   1.9e-09   35.9   0.0   1   2   0.00017     0.051   11.4   0.0   156   200   246   290   230   305 0.83 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 7097at5820           -            386   1.9e-09   35.9   0.0   2   2   9.3e-08   2.7e-05   22.2   0.0   256   303   368   415   359   425 0.92 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243900.1-p1   -            742 7097at5820           -            386   9.6e-06   23.7   0.1   1   2      0.14        42    1.8   0.0   160   199   519   558   510   568 0.84 | transcript=PVP01_1243900.1 | gene=PVP01_1243900 | organism=Plasmodium_vivax_P01 | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=PvP01_12_v2:1799257-1801485(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243900.1-p1   -            742 7097at5820           -            386   9.6e-06   23.7   0.1   2   2   6.6e-07    0.0002   19.4   0.0   200   235   639   674   625   718 0.87 | transcript=PVP01_1243900.1 | gene=PVP01_1243900 | organism=Plasmodium_vivax_P01 | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=PvP01_12_v2:1799257-1801485(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7097at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7097at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7097at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:51 2026
# [ok]
