#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1419700.1-p1   -            728 4438at5820           -            576         0 1229.7  17.1   1   1         0         0 1228.8  17.1     1   572     1   599     1   601 0.97 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411800.1-p1   -            328 4438at5820           -            576   4.3e-08   31.0   0.7   1   2     2e-10   7.8e-08   30.2   0.4   125   192     4    74     2    83 0.88 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411800.1-p1   -            328 4438at5820           -            576   4.3e-08   31.0   0.7   2   2       4.7   1.8e+03   -4.1   0.0   523   538   161   176   155   180 0.77 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217000.1-p1   -            420 4438at5820           -            576   1.1e-07   29.7   0.2   1   1   5.7e-10   2.2e-07   28.7   0.2   125   192    85   155    77   164 0.85 | transcript=PVP01_0217000.1 | gene=PVP01_0217000 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein, putative, DnaJ domain containing protein | transcript_product=heat shock protein, putative | location=PvP01_02_v2:734503-736528(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 4438at5820           -            576     3e-07   28.2   0.1   1   2   3.3e-08   1.3e-05   22.8   0.0   123   157     6    40     1    47 0.91 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 4438at5820           -            576     3e-07   28.2   0.1   2   2     0.029        11    3.2   0.0   166   194   118   146   102   161 0.88 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 4438at5820           -            576   3.1e-07   28.2   3.9   1   2     1e-09   3.9e-07   27.9   0.1   127   188    10    76     5    79 0.82 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 4438at5820           -            576   3.1e-07   28.2   3.9   2   2      0.17        66    0.7   0.7    57    92   694   729   685   736 0.84 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 4438at5820           -            576   8.1e-07   26.8   0.2   1   1   3.3e-09   1.3e-06   26.2   0.2   125   198    55   127    34   154 0.81 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 4438at5820           -            576     1e-06   26.4   0.2   1   1   4.2e-09   1.6e-06   25.8   0.2   124   191    26    89    15    95 0.90 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 4438at5820           -            576   0.00015   19.3   0.6   1   2   3.8e-07   0.00015   19.3   0.6   127   186     4    64     1    76 0.77 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 4438at5820           -            576   0.00015   19.3   0.6   2   2      0.41   1.6e+02   -0.6   0.2    86   125   141   178    96   185 0.53 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408100.1-p1   -            337 4438at5820           -            576   0.00023   18.7  10.5   1   1   9.6e-07   0.00037   18.0  10.5   125   327   116   320   106   325 0.75 | transcript=PVP01_1408100.1 | gene=PVP01_1408100 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_14_v2:380480-381493(-) | protein_length=337 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4438at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4438at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4438at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:36 2026
# [ok]
