#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0315800.1-p1   -            330 12613at5820          -            173   1.9e-74  248.1  14.6   1   3   1.9e-74   6.8e-72  239.7  12.8     1   150    66   231    66   235 0.90 | transcript=PVP01_0315800.1 | gene=PVP01_0315800 | organism=Plasmodium_vivax_P01 | gene_product=pre-rRNA-processing protein ESF2, putative | transcript_product=pre-rRNA-processing protein ESF2, putative | location=PvP01_03_v2:698247-699239(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 12613at5820          -            173   4.5e-06   25.5   8.4   2   3   0.00037      0.13   10.9   0.6    24    89   182   244   169   276 0.82 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 12613at5820          -            173   4.5e-06   25.5   8.4   3   3    0.0051       1.8    7.2   0.1    24   100   396   470   391   483 0.86 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 12613at5820          -            173     5e-06   25.3   3.9   1   3     0.023       8.2    5.1   0.3    11    91   402   477   396   502 0.77 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 12613at5820          -            173     5e-06   25.3   3.9   2   3    0.0025      0.92    8.2   0.0    15    69   553   607   544   625 0.84 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 12613at5820          -            173     5e-06   25.3   3.9   3   3   0.00036      0.13   10.9   0.1    23    64   679   720   658   747 0.74 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 12613at5820          -            173   5.3e-06   25.2   4.3   1   3      0.31   1.1e+02    1.4   0.2    56    94   127   164    85   187 0.64 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 12613at5820          -            173   5.3e-06   25.2   4.3   2   3       2.3   8.4e+02   -1.5   0.0    67    87   234   254   232   260 0.86 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 12613at5820          -            173   5.3e-06   25.2   4.3   3   3   1.5e-08   5.3e-06   25.2   4.3    10    93   292   374   286   382 0.78 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 12613at5820          -            173   7.5e-06   24.7   5.6   1   3    0.0051       1.8    7.2   0.6    24   100    20    89     4   100 0.79 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 12613at5820          -            173   7.5e-06   24.7   5.6   2   3     0.017       6.2    5.5   0.0    16   100   112   194   104   198 0.78 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 12613at5820          -            173   7.5e-06   24.7   5.6   3   3   4.6e-05     0.017   13.8   0.2    14    94   196   278   190   291 0.76 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607200.1-p1   -           1571 12613at5820          -            173   1.9e-05   23.4   3.4   1   2    0.0035       1.3    7.7   1.1    12    89   318   397   309   406 0.75 | transcript=PVP01_0607200.1 | gene=PVP01_0607200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=PvP01_06_v2:315846-320697(+) | protein_length=1571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607200.1-p1   -           1571 12613at5820          -            173   1.9e-05   23.4   3.4   2   2   1.6e-05    0.0056   15.4   0.0    24   102   441   521   433   533 0.85 | transcript=PVP01_0607200.1 | gene=PVP01_0607200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=PvP01_06_v2:315846-320697(+) | protein_length=1571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802200.1-p1   -            328 12613at5820          -            173   4.8e-05   22.1   0.2   1   1   2.8e-07    0.0001   21.1   0.2    20    93    94   165    78   175 0.80 | transcript=PVP01_0802200.1 | gene=PVP01_0802200 | organism=Plasmodium_vivax_P01 | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=PvP01_08_v2:116660-119781(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 12613at5820          -            173   0.00015   20.5   1.3   1   2    0.0014      0.49    9.1   0.1    19    93    17    89    10    99 0.86 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 12613at5820          -            173   0.00015   20.5   1.3   2   2   0.00052      0.19   10.4   0.2    36    94   121   176   100   181 0.80 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 12613at5820          -            173   0.00025   19.8   1.7   1   1   1.1e-06   0.00038   19.2   1.7    22    95     8    79     2   111 0.81 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 12613at5820          -            173    0.0004   19.1   0.1   1   2       1.5   5.4e+02   -0.8   1.9    63    97    54    87    24   108 0.64 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 12613at5820          -            173    0.0004   19.1   0.1   2   2   1.1e-06    0.0004   19.1   0.1     8    87   174   251   169   256 0.89 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 12613at5820          -            173   0.00075   18.2   0.6   1   2       4.3   1.6e+03   -2.3   0.1    23    75    10    58     6    72 0.64 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 12613at5820          -            173   0.00075   18.2   0.6   2   2   2.1e-06   0.00075   18.2   0.6     5   113   149   250   146   265 0.83 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931800.1-p1   -            156 12613at5820          -            173     0.001   17.8   1.4   1   1   3.1e-06    0.0011   17.6   0.6    24    94     6    80     2    87 0.81 | transcript=PVP01_0931800.1 | gene=PVP01_0931800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=PvP01_09_v2:1363219-1363689(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 12613at5820          -            173     0.002   16.9   0.4   1   1     7e-06    0.0025   16.5   0.2    23    83    36    94    17   106 0.76 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 12613at5820          -            173     0.006   15.3   0.0   1   1   2.2e-05    0.0078   14.9   0.0    22    60    14    52     4    85 0.74 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419400.1-p1   -            205 12613at5820          -            173     0.011   14.4   9.7   1   1   0.00028       0.1   11.3   9.7    21    91     8    73     3   159 0.68 | transcript=PVP01_0419400.1 | gene=PVP01_0419400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_04_v2:802004-803265(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 12613at5820          -            173     0.038   12.7   0.0   1   2     0.064        23    3.6   0.0    23    89     8    71     2    86 0.75 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 12613at5820          -            173     0.038   12.7   0.0   2   2     0.006       2.2    6.9   0.0    37   101   170   231   155   241 0.74 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12613at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12613at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12613at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:25 2026
# [ok]
