#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0   1  13         0         0 2378.0 212.6     1  1268     4  1330     4  1339 0.97 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 17at5820             -           4792  2.6e-167  556.6 278.2   1  10         6   6.5e+03  -24.2  32.0    32   353    52   382    40   402 0.60 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 17at5820             -           4792  2.6e-167  556.6 278.2   2  10         6   6.5e+03   -9.3   6.1   535   644   470   577   449   602 0.54 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 17at5820             -           4792  2.6e-167  556.6 278.2   3  10         6   6.5e+03  -30.1  32.0   688  1017   751  1090   691  1115 0.57 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 17at5820             -           4792  2.6e-167  556.6 278.2   4  10   1.1e-12   1.2e-09   33.3  54.3  1135  1578  1361  1848  1325  1854 0.71 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 17at5820             -           4792  2.6e-167  556.6 278.2   5  10   2.2e-42   2.4e-39  131.8  29.6  1616  2074  1943  2374  1917  2389 0.86 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 17at5820             -           4792  2.6e-167  556.6 278.2   6  10   3.6e-27   3.9e-24   81.4   8.6  2213  2395  2512  2701  2465  2707 0.91 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 17at5820             -           4792  2.6e-167  556.6 278.2   7  10   8.3e-21     9e-18   60.2  38.3  2624  3234  2926  3541  2785  3560 0.76 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 17at5820             -           4792  2.6e-167  556.6 278.2   8  10   4.4e-43   4.7e-40  134.2  48.3  3310  3794  3579  4068  3552  4095 0.92 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 17at5820             -           4792  2.6e-167  556.6 278.2   9  10   6.7e-11   7.3e-08   27.4  12.4  3859  4006  4258  4406  4242  4413 0.84 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 17at5820             -           4792  2.6e-167  556.6 278.2  10  10   7.8e-61   8.5e-58  193.1  38.5  4055  4756  4506  5232  4492  5263 0.82 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 17at5820             -           4792  9.6e-162  538.2 245.2   1  10    0.0026       2.8    2.2  20.1   157   325   244   418   225   429 0.68 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 17at5820             -           4792  9.6e-162  538.2 245.2   2  10         6   6.5e+03   -9.8  18.8   356   506   617   777   574   842 0.74 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 17at5820             -           4792  9.6e-162  538.2 245.2   3  10         6   6.5e+03  -39.3  43.9   611   855  1043  1286   978  1481 0.44 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 17at5820             -           4792  9.6e-162  538.2 245.2   4  10         6   6.5e+03  -37.1  48.4   958  1195  1600  1847  1556  1992 0.45 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 17at5820             -           4792  9.6e-162  538.2 245.2   5  10   3.9e-57   4.3e-54  180.8  62.3  1351  2139  2078  2857  2059  2865 0.81 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 17at5820             -           4792  9.6e-162  538.2 245.2   6  10   1.2e-26   1.3e-23   79.6   9.2  2211  2408  2868  3075  2856  3081 0.85 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 17at5820             -           4792  9.6e-162  538.2 245.2   7  10   4.7e-13   5.1e-10   34.5  15.2  2662  2955  3394  3694  3363  3706 0.75 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 17at5820             -           4792  9.6e-162  538.2 245.2   8  10   9.2e-56     1e-52  176.3  76.7  3311  4068  4137  4913  4021  4919 0.82 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 17at5820             -           4792  9.6e-162  538.2 245.2   9  10   1.4e-33   1.5e-30  102.7  30.5  4129  4548  5071  5494  5050  5511 0.85 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703700.1-p1   -           5866 17at5820             -           4792  9.6e-162  538.2 245.2  10  10   1.9e-18   2.1e-15   52.4  11.5  4551  4757  5608  5833  5601  5866 0.78 | transcript=PVP01_0703700.1 | gene=PVP01_0703700 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_07_v2:213691-231291(-) | protein_length=5866 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923500.1-p1   -           5361 17at5820             -           4792    2e-137  457.4 312.9   1  11         6   6.5e+03  -27.7  43.7   736  1053  1058  1389  1055  1392 0.67 | transcript=PVP01_0923500.1 | gene=PVP01_0923500 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_09_v2:1028442-1044763(+) | protein_length=5361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923500.1-p1   -           5361 17at5820             -           4792    2e-137  457.4 312.9   2  11   8.5e-11   9.3e-08   27.0  24.2  1402  1574  1373  1553  1331  1558 0.81 | transcript=PVP01_0923500.1 | gene=PVP01_0923500 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_09_v2:1028442-1044763(+) | protein_length=5361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923500.1-p1   -           5361 17at5820             -           4792    2e-137  457.4 312.9   3  11   2.2e-43   2.3e-40  135.2  23.1  1601  2071  1636  2120  1621  2135 0.82 | transcript=PVP01_0923500.1 | gene=PVP01_0923500 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_09_v2:1028442-1044763(+) | protein_length=5361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923500.1-p1   -           5361 17at5820             -           4792    2e-137  457.4 312.9   4  11   6.3e-18   6.8e-15   50.7  13.6  2193  2457  2215  2482  2190  2492 0.76 | transcript=PVP01_0923500.1 | gene=PVP01_0923500 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_09_v2:1028442-1044763(+) | protein_length=5361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923500.1-p1   -           5361 17at5820             -           4792    2e-137  457.4 312.9   5  11   1.8e-29   1.9e-26   89.0  29.3  2639  2994  2505  2851  2502  2851 0.89 | transcript=PVP01_0923500.1 | gene=PVP01_0923500 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_09_v2:1028442-1044763(+) | protein_length=5361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923500.1-p1   -           5361 17at5820             -           4792    2e-137  457.4 312.9   6  11   7.5e-09   8.1e-06   20.6  25.5  3017  3240  2832  3051  2822  3063 0.82 | transcript=PVP01_0923500.1 | gene=PVP01_0923500 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_09_v2:1028442-1044763(+) | protein_length=5361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923500.1-p1   -           5361 17at5820             -           4792    2e-137  457.4 312.9   7  11   8.1e-14   8.9e-11   37.0  31.5  3322  3698  3160  3554  3152  3561 0.81 | transcript=PVP01_0923500.1 | gene=PVP01_0923500 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_09_v2:1028442-1044763(+) | protein_length=5361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923500.1-p1   -           5361 17at5820             -           4792    2e-137  457.4 312.9   8  11   4.9e-12   5.3e-09   31.1  31.2  3718  4011  3656  3933  3627  3939 0.80 | transcript=PVP01_0923500.1 | gene=PVP01_0923500 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_09_v2:1028442-1044763(+) | protein_length=5361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923500.1-p1   -           5361 17at5820             -           4792    2e-137  457.4 312.9   9  11   1.1e-13   1.2e-10   36.7   8.6  4019  4229  4358  4560  4345  4567 0.80 | transcript=PVP01_0923500.1 | gene=PVP01_0923500 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_09_v2:1028442-1044763(+) | protein_length=5361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923500.1-p1   -           5361 17at5820             -           4792    2e-137  457.4 312.9  10  11   1.2e-13   1.3e-10   36.5   8.2  4246  4443  4621  4814  4605  4822 0.80 | transcript=PVP01_0923500.1 | gene=PVP01_0923500 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_09_v2:1028442-1044763(+) | protein_length=5361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923500.1-p1   -           5361 17at5820             -           4792    2e-137  457.4 312.9  11  11   3.6e-26   3.9e-23   78.1   5.6  4522  4791  5061  5360  5051  5361 0.81 | transcript=PVP01_0923500.1 | gene=PVP01_0923500 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_09_v2:1028442-1044763(+) | protein_length=5361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 17at5820             -           4792  8.5e-123  408.9 152.8   1   7         6   6.5e+03  -28.8  39.0   148   777   295   940   234   971 0.65 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 17at5820             -           4792  8.5e-123  408.9 152.8   2   7   6.7e-55   7.3e-52  173.4  25.1  1299  2026  1450  2175  1402  2180 0.82 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 17at5820             -           4792  8.5e-123  408.9 152.8   3   7     1e-06    0.0011   13.5   0.0  2037  2147  2229  2336  2224  2343 0.86 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 17at5820             -           4792  8.5e-123  408.9 152.8   4   7   3.1e-16   3.4e-13   45.1   0.0  2217  2327  2346  2461  2340  2479 0.86 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 17at5820             -           4792  8.5e-123  408.9 152.8   5   7     7e-05     0.076    7.4   0.1  2812  2935  2899  3021  2723  3027 0.76 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 17at5820             -           4792  8.5e-123  408.9 152.8   6   7   5.4e-50   5.9e-47  157.1  53.2  3019  4007  3051  4003  3036  4022 0.84 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215600.1-p1   -           5023 17at5820             -           4792  8.5e-123  408.9 152.8   7   7   1.1e-19   1.2e-16   56.6   2.9  4156  4472  4220  4552  4213  4589 0.77 | transcript=PVP01_0215600.1 | gene=PVP01_0215600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_02_v2:653472-668753(+) | protein_length=5023 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313800.1-p1   -           5197 17at5820             -           4792   2.9e-56  188.0 214.8   1  11         6   6.5e+03  -70.7 174.3   717  1640   347  1263   324  1292 0.63 | transcript=PVP01_0313800.1 | gene=PVP01_0313800 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_03_v2:594688-612316(-) | protein_length=5197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313800.1-p1   -           5197 17at5820             -           4792   2.9e-56  188.0 214.8   2  11   0.00055      0.59    4.4  14.1  1647  1750  1351  1447  1343  1451 0.86 | transcript=PVP01_0313800.1 | gene=PVP01_0313800 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_03_v2:594688-612316(-) | protein_length=5197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313800.1-p1   -           5197 17at5820             -           4792   2.9e-56  188.0 214.8   3  11   9.9e-18   1.1e-14   50.0  13.7  1783  1902  1451  1570  1447  1578 0.96 | transcript=PVP01_0313800.1 | gene=PVP01_0313800 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_03_v2:594688-612316(-) | protein_length=5197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313800.1-p1   -           5197 17at5820             -           4792   2.9e-56  188.0 214.8   4  11   9.6e-13     1e-09   33.5  17.1  1926  2070  1654  1807  1650  1816 0.82 | transcript=PVP01_0313800.1 | gene=PVP01_0313800 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_03_v2:594688-612316(-) | protein_length=5197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313800.1-p1   -           5197 17at5820             -           4792   2.9e-56  188.0 214.8   5  11   1.2e-06    0.0013   13.3   9.6  2201  2341  2043  2180  1971  2206 0.85 | transcript=PVP01_0313800.1 | gene=PVP01_0313800 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_03_v2:594688-612316(-) | protein_length=5197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313800.1-p1   -           5197 17at5820             -           4792   2.9e-56  188.0 214.8   6  11    0.0012       1.3    3.3  46.7  2639  2938  2615  2921  2582  2956 0.78 | transcript=PVP01_0313800.1 | gene=PVP01_0313800 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_03_v2:594688-612316(-) | protein_length=5197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
