#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0411800.1-p1   -            328 9149at5820           -            300  3.3e-190  629.3  13.8   1   1  1.6e-191  4.2e-189  625.7  13.8     1   300     4   328     4   328 0.97 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308700.1-p1   -            649 9149at5820           -            300   4.2e-18   64.2   2.1   2   2   2.1e-05    0.0055   14.6   0.0   166   294   291   426   270   430 0.81 | transcript=PVP01_0308700.1 | gene=PVP01_0308700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=PvP01_03_v2:414818-416767(+) | protein_length=649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 9149at5820           -            300   5.9e-16   57.2   0.1   1   1   4.6e-18   1.2e-15   56.2   0.1     2    73    44   113    43   133 0.88 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 9149at5820           -            300   8.9e-15   53.3   1.0   1   1   6.8e-17   1.8e-14   52.3   1.0     1    79    34   106    34   111 0.91 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 9149at5820           -            300   1.9e-13   48.9   1.0   1   1   1.1e-15     3e-13   48.3   1.0     1   102   112   212   112   241 0.87 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 9149at5820           -            300   1.5e-12   46.0   1.3   1   2       4.2   1.1e+03   -2.8   0.0    57    69   124   136   116   168 0.69 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 9149at5820           -            300   1.5e-12   46.0   1.3   2   2   9.7e-15   2.5e-12   45.2   0.2     2    74   192   260   191   326 0.89 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114000.1-p1   -            856 9149at5820           -            300   1.1e-11   43.1   0.2   1   2   4.3e-14   1.1e-11   43.1   0.2     2    77   305   377   304   413 0.84 | transcript=PVP01_0114000.1 | gene=PVP01_0114000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_01_v2:626753-629323(+) | protein_length=856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114000.1-p1   -            856 9149at5820           -            300   1.1e-11   43.1   0.2   2   2       3.2   8.3e+02   -2.4   0.5    66   118   566   617   564   630 0.57 | transcript=PVP01_0114000.1 | gene=PVP01_0114000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_01_v2:626753-629323(+) | protein_length=856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 9149at5820           -            300   2.4e-11   42.0   0.7   1   2   9.3e-14   2.4e-11   42.0   0.7     2    67     9    76     8    89 0.91 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 9149at5820           -            300   2.4e-11   42.0   0.7   2   2      0.57   1.5e+02    0.0   0.5    57    87   159   189   133   251 0.63 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510500.1-p1   -            691 9149at5820           -            300   1.7e-10   39.2   3.1   1   1   2.3e-12   6.1e-10   37.4   3.1     1    72   142   210   142   225 0.91 | transcript=PVP01_0510500.1 | gene=PVP01_0510500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_05_v2:458994-461069(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 9149at5820           -            300   3.5e-10   38.2   0.2   1   1   2.2e-12   5.7e-10   37.5   0.2     2    70    56   120    55   128 0.92 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 9149at5820           -            300   9.2e-10   36.8   7.5   1   3   7.1e-09   1.9e-06   26.0   0.5     1    90     8    97     8   104 0.85 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 9149at5820           -            300   9.2e-10   36.8   7.5   2   3   1.6e-05    0.0042   15.0   0.1    40    72   113   145    98   152 0.86 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 9149at5820           -            300   9.2e-10   36.8   7.5   3   3       3.5   9.1e+02   -2.5   0.1   143   160   247   265   218   295 0.60 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 9149at5820           -            300   1.4e-08   32.9   0.2   1   1     9e-11   2.3e-08   32.2   0.2     1    71    53   119    53   142 0.91 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 9149at5820           -            300     7e-08   30.7   0.1   1   2   6.8e-10   1.8e-07   29.3   0.0     3    72   131   197   129   207 0.89 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 9149at5820           -            300     7e-08   30.7   0.1   2   2       6.7   1.8e+03   -3.5   0.0   140   154   548   562   543   570 0.79 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 9149at5820           -            300   1.4e-06   26.4   2.1   1   1   7.6e-09     2e-06   25.9   2.1     1    73     2    69     2   104 0.74 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802600.1-p1   -           1837 9149at5820           -            300   8.5e-06   23.8   0.6   1   1   7.4e-08   1.9e-05   22.7   0.6     3    73   983  1046   981  1066 0.90 | transcript=PVP01_0802600.1 | gene=PVP01_0802600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:130294-135948(+) | protein_length=1837 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032200.1-p1   -            177 9149at5820           -            300   1.5e-05   23.0   0.3   1   1   1.2e-07   3.3e-05   21.9   0.0     3    38    10    45     8    63 0.83 | transcript=PVP01_1032200.1 | gene=PVP01_1032200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:1379077-1379610(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718500.1-p1   -            268 9149at5820           -            300    0.0019   16.1   0.0   1   1   1.2e-05    0.0033   15.3   0.0     9    65   123   179   114   190 0.90 | transcript=PVP01_0718500.1 | gene=PVP01_0718500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=PvP01_07_v2:818277-820447(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0943900.1-p1   -            321 9149at5820           -            300    0.0043   14.9   1.3   1   3   1.6e-05    0.0043   14.9   1.3     2    69    37    95    36   100 0.80 | transcript=PVP01_0943900.1 | gene=PVP01_0943900 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1940067-1941178(+) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0943900.1-p1   -            321 9149at5820           -            300    0.0043   14.9   1.3   2   3       1.8   4.8e+02   -1.6   0.1   249   286   179   216   145   228 0.66 | transcript=PVP01_0943900.1 | gene=PVP01_0943900 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1940067-1941178(+) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0943900.1-p1   -            321 9149at5820           -            300    0.0043   14.9   1.3   3   3         7   1.8e+03   -3.5   0.0    42    63   249   271   235   274 0.67 | transcript=PVP01_0943900.1 | gene=PVP01_0943900 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1940067-1941178(+) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408100.1-p1   -            337 9149at5820           -            300    0.0049   14.8   1.8   1   2   1.9e-05    0.0049   14.8   1.8     4    74   119   185   117   197 0.82 | transcript=PVP01_1408100.1 | gene=PVP01_1408100 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_14_v2:380480-381493(-) | protein_length=337 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408100.1-p1   -            337 9149at5820           -            300    0.0049   14.8   1.8   2   2         5   1.3e+03   -3.1   5.0    30    61   302   332   274   336 0.48 | transcript=PVP01_1408100.1 | gene=PVP01_1408100 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_14_v2:380480-381493(-) | protein_length=337 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326700.1-p1   -            383 9149at5820           -            300     0.024   12.5   0.0   1   2   0.00073      0.19    9.5   0.0     1    42    12    58    12    69 0.72 | transcript=PVP01_1326700.1 | gene=PVP01_1326700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1159478-1160629(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326700.1-p1   -            383 9149at5820           -            300     0.024   12.5   0.0   2   2      0.54   1.4e+02    0.1   0.0    44    74    84   114    78   134 0.80 | transcript=PVP01_1326700.1 | gene=PVP01_1326700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1159478-1160629(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9149at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9149at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9149at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:01 2026
# [ok]
