#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1202600.1-p1   -            466 7562at5820           -            393  3.3e-176  584.5  31.3   1   1  7.1e-178  1.8e-175  582.0  31.3     1   393     1   466     1   466 0.90 | transcript=PVP01_1202600.1 | gene=PVP01_1202600 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 15, putative | transcript_product=U3 small nucleolar RNA-associated protein 15, putative | location=PvP01_12_v2:108711-111548(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 7562at5820           -            393   1.5e-14   52.2   4.6   1   5      0.33        84    0.4   0.0   116   135    32    51    17    57 0.85 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 7562at5820           -            393   1.5e-14   52.2   4.6   2   5     0.001      0.25    8.7   0.0   100   136    65   101    59   105 0.91 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 7562at5820           -            393   1.5e-14   52.2   4.6   3   5   7.9e-11     2e-08   32.0   0.1    94   175   101   189    99   193 0.84 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 7562at5820           -            393   1.5e-14   52.2   4.6   4   5   0.00044      0.11    9.8   0.1    99   181   193   277   189   286 0.85 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 7562at5820           -            393   1.5e-14   52.2   4.6   5   5      0.56   1.4e+02   -0.4   0.0   159   175   303   319   292   321 0.80 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 7562at5820           -            393   1.8e-13   48.6  25.3   1   3   2.3e-10   5.9e-08   30.5   0.6    58   174   357   479   352   485 0.89 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 7562at5820           -            393   1.8e-13   48.6  25.3   2   3   1.3e-08   3.3e-06   24.7   0.0    97   146   482   531   473   535 0.87 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 7562at5820           -            393   1.8e-13   48.6  25.3   3   3   0.00088      0.22    8.8   2.2   102   186   529   622   528   635 0.72 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 7562at5820           -            393   5.1e-09   34.0  12.1   1   4     0.011       2.9    5.2   0.6   102   142    33    72    24   112 0.62 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 7562at5820           -            393   5.1e-09   34.0  12.1   2   4   3.7e-05    0.0092   13.4   1.2    98   147   114   162   109   193 0.83 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 7562at5820           -            393   5.1e-09   34.0  12.1   3   4    0.0022      0.56    7.5   0.2   101   163   199   261   185   286 0.78 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 7562at5820           -            393   5.1e-09   34.0  12.1   4   4   5.5e-05     0.014   12.8   0.0    61   130   250   319   245   323 0.79 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 7562at5820           -            393   1.4e-08   32.5  19.7   1   5   7.3e-07   0.00018   19.0   0.3    77   172    22   121     3   125 0.83 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 7562at5820           -            393   1.4e-08   32.5  19.7   2   5   8.3e-05     0.021   12.2   0.6   101   173    88   164    86   173 0.87 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 7562at5820           -            393   1.4e-08   32.5  19.7   3   5   0.00026     0.064   10.6   0.2   102   157   245   302   238   304 0.92 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 7562at5820           -            393   1.4e-08   32.5  19.7   4   5   2.5e-06   0.00063   17.2   0.2    99   166   286   357   282   368 0.77 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 7562at5820           -            393   1.4e-08   32.5  19.7   5   5      0.43   1.1e+02   -0.0   2.4   166   204   608   651   543   673 0.68 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 7562at5820           -            393   2.9e-08   31.5  10.2   1   3    0.0059       1.5    6.1   0.2    96   134   894   932   881   934 0.90 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 7562at5820           -            393   2.9e-08   31.5  10.2   2   3   1.7e-08   4.3e-06   24.4   0.8    92   177   933  1022   932  1028 0.92 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 7562at5820           -            393   2.9e-08   31.5  10.2   3   3     0.011       2.7    5.3   0.0   101   136  1159  1197  1145  1204 0.85 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 7562at5820           -            393   3.2e-08   31.3   2.4   1   3   1.3e-10   3.2e-08   31.3   2.4    98   214     9   136     4   143 0.83 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 7562at5820           -            393   3.2e-08   31.3   2.4   2   3      0.77   1.9e+02   -0.8   0.1   149   242   149   210   139   218 0.47 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 7562at5820           -            393   3.2e-08   31.3   2.4   3   3       1.9   4.9e+02   -2.2   1.4   198   275   250   330   235   344 0.65 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 7562at5820           -            393   9.3e-08   29.8   2.3   1   1   6.9e-10   1.7e-07   29.0   2.3    33   137   179   290   154   301 0.84 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 7562at5820           -            393   1.6e-07   29.1  11.6   1   4       5.3   1.3e+03   -3.6   0.6   251   293    91   134    88   144 0.61 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 7562at5820           -            393   1.6e-07   29.1  11.6   2   4   3.9e-06   0.00097   16.6   0.3   100   176   317   397   292   401 0.83 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 7562at5820           -            393   1.6e-07   29.1  11.6   3   4   6.6e-07   0.00017   19.1   0.1    99   157   400   458   394   475 0.90 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 7562at5820           -            393   1.6e-07   29.1  11.6   4   4         1   2.5e+02   -1.2   0.1    73   134   504   573   487   581 0.66 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 7562at5820           -            393   5.1e-07   27.4   1.5   1   4       1.3   3.3e+02   -1.6   0.1    55    55    67    67    13   135 0.48 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 7562at5820           -            393   5.1e-07   27.4   1.5   2   4     0.064        16    2.7   0.3    94   147   207   261   171   264 0.77 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 7562at5820           -            393   5.1e-07   27.4   1.5   3   4     2e-09   5.1e-07   27.4   1.5    95   174   259   342   253   349 0.89 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 7562at5820           -            393   5.1e-07   27.4   1.5   4   4      0.24        60    0.8   8.9   114   234   320   440   318   462 0.72 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 7562at5820           -            393   2.1e-06   25.4   7.5   1   4   1.6e-05    0.0039   14.6   0.1    93   137    53    98    44   101 0.86 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 7562at5820           -            393   2.1e-06   25.4   7.5   2   4   0.00022     0.055   10.8   0.1    99   138   102   141    98   146 0.94 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 7562at5820           -            393   2.1e-06   25.4   7.5   3   4       1.3   3.2e+02   -1.6   0.0   102   133   333   364   265   375 0.63 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 7562at5820           -            393   2.1e-06   25.4   7.5   4   4      0.11        28    1.9   0.1   114   134   388   408   376   419 0.88 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 7562at5820           -            393   6.9e-06   23.7   7.2   1   5     0.026       6.5    4.0   7.6    82   189    33   148     4   179 0.47 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 7562at5820           -            393   6.9e-06   23.7   7.2   2   5     0.033       8.2    3.7   0.3   101   140   185   226   178   229 0.84 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 7562at5820           -            393   6.9e-06   23.7   7.2   3   5   2.8e-08   6.9e-06   23.7   7.2    95   159   223   287   210   336 0.72 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 7562at5820           -            393   6.9e-06   23.7   7.2   4   5    0.0047       1.2    6.4   3.1   172   251   421   498   411   604 0.73 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 7562at5820           -            393   6.9e-06   23.7   7.2   5   5       1.2   3.1e+02   -1.5   0.2   364   390   834   860   828   929 0.84 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 7562at5820           -            393   8.5e-06   23.4   0.1   1   1   7.9e-08     2e-05   22.2   0.1   100   176    68   158    51   166 0.71 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 7562at5820           -            393   2.3e-05   22.0  13.9   1   5      0.08        20    2.4   0.3   132   175   222   267   200   289 0.58 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 7562at5820           -            393   2.3e-05   22.0  13.9   2   5         4     1e+03   -3.2   0.2   261   281   371   391   367   408 0.80 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
