#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0733700.1-p1   -            192 12097at5820          -            172     6e-98  324.3   4.1   1   1  2.9e-100   1.2e-97  323.4   4.1     1   172     1   190     1   190 0.95 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 12097at5820          -            172   0.00054   18.4   1.0   4   4   1.3e-06   0.00054   18.4   1.0    30    87   430   490   389   495 0.88 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0311800.1-p1   -           1036 12097at5820          -            172   0.00058   18.3   0.9   1   2       2.2     9e+02   -1.8   0.0    10    30   537   557   528   566 0.72 | transcript=PVP01_0311800.1 | gene=PVP01_0311800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:522219-525329(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0311800.1-p1   -           1036 12097at5820          -            172   0.00058   18.3   0.9   2   2   1.4e-06   0.00058   18.3   0.9    51   114   958  1022   954  1026 0.91 | transcript=PVP01_0311800.1 | gene=PVP01_0311800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_03_v2:522219-525329(+) | protein_length=1036 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919900.1-p1   -            316 12097at5820          -            172    0.0016   16.9   0.0   1   1   5.5e-06    0.0023   16.4   0.0    29   137    85   200    69   206 0.86 | transcript=PVP01_0919900.1 | gene=PVP01_0919900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=PvP01_09_v2:864272-865222(-) | protein_length=316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 12097at5820          -            172      0.01   14.3   0.0   1   1   3.4e-05     0.014   13.8   0.0    31    88    52   113    37   118 0.79 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 12097at5820          -            172     0.021   13.3   9.0   1   4   0.00038      0.16   10.4   0.0   107   149    95   142    82   152 0.79 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 12097at5820          -            172     0.021   13.3   9.0   2   4       3.1   1.3e+03   -2.3   0.0    22    49   183   210   166   214 0.68 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 12097at5820          -            172     0.021   13.3   9.0   3   4      0.19        79    1.6   1.7    78   131   272   327   264   343 0.76 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 12097at5820          -            172     0.021   13.3   9.0   4   4     0.014       5.7    5.3   1.8     8    67   301   363   294   379 0.68 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820700.1-p1   -            299 12097at5820          -            172     0.026   13.0   0.0   1   1   0.00011     0.046   12.2   0.0    12    84    38   110    30   151 0.79 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12097at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12097at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12097at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:38 2026
# [ok]
