#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1458900.1-p1   -            847 5119at5820           -            616         0 1012.6  48.1   1   4  2.7e-137  5.4e-135  449.4   4.0     8   263    56   312     7   317 0.93 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 5119at5820           -            616   1.7e-34  117.4   4.4   1   2   4.4e-26   8.7e-24   82.1   1.7    32   305    46   309    14   346 0.78 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 5119at5820           -            616   1.7e-34  117.4   4.4   2   2   3.9e-12   7.6e-10   36.0   0.1   374   422   356   405   325   415 0.91 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 5119at5820           -            616   6.6e-30  102.3   2.6   1   2   1.6e-21   3.1e-19   67.0   1.0    63   264   645   853   640   898 0.84 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 5119at5820           -            616   6.6e-30  102.3   2.6   2   2   1.1e-11   2.2e-09   34.5   0.0   375   431   941   999   910  1007 0.83 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429700.1-p1   -            923 5119at5820           -            616   4.2e-29   99.6  15.2   1   2   1.6e-18   3.1e-16   57.1  11.0    42   317   338   647   299   659 0.72 | transcript=PVP01_1429700.1 | gene=PVP01_1429700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=PvP01_14_v2:1276317-1279088(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429700.1-p1   -            923 5119at5820           -            616   4.2e-29   99.6  15.2   2   2   7.4e-15   1.5e-12   45.0   0.3   334   436   637   746   634   766 0.76 | transcript=PVP01_1429700.1 | gene=PVP01_1429700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=PvP01_14_v2:1276317-1279088(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507400.1-p1   -           1175 5119at5820           -            616   1.5e-28   97.8  18.9   1   2   7.6e-31   1.5e-28   97.8  18.9    54   419   178   520   151   528 0.78 | transcript=PVP01_0507400.1 | gene=PVP01_0507400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=PvP01_05_v2:324795-328322(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507400.1-p1   -           1175 5119at5820           -            616   1.5e-28   97.8  18.9   2   2       1.4   2.8e+02   -2.2   1.6   534   609   949  1029   910  1039 0.66 | transcript=PVP01_0507400.1 | gene=PVP01_0507400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=PvP01_05_v2:324795-328322(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 5119at5820           -            616   2.7e-28   97.0  18.5   1   2   2.5e-24   4.9e-22   76.3   8.6    58   242   255   451   195   472 0.74 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 5119at5820           -            616   2.7e-28   97.0  18.5   2   2   6.4e-09   1.3e-06   25.4   2.2   375   448   633   708   610   755 0.72 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 5119at5820           -            616   4.4e-28   96.2   3.5   1   3       1.5   3.1e+02   -2.3   0.1   569   603    13    47     7    53 0.69 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 5119at5820           -            616   4.4e-28   96.2   3.5   2   3   1.3e-16   2.7e-14   50.7   0.1    62   310    77   330    69   346 0.74 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 5119at5820           -            616   4.4e-28   96.2   3.5   3   3   3.7e-14   7.2e-12   42.7   0.1   375   427   377   430   373   441 0.86 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330000.1-p1   -            877 5119at5820           -            616   5.7e-28   95.9  36.3   1   2   3.3e-20   6.5e-18   62.7  24.4     7   305    98   393    89   441 0.76 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330000.1-p1   -            877 5119at5820           -            616   5.7e-28   95.9  36.3   2   2   7.2e-13   1.4e-10   38.4   4.0   376   473   446   543   441   614 0.71 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408200.1-p1   -            626 5119at5820           -            616     1e-26   91.7  15.5   1   2   2.1e-21   4.2e-19   66.6  12.4    52   320   156   430   142   447 0.77 | transcript=PVP01_1408200.1 | gene=PVP01_1408200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=PvP01_14_v2:382345-384225(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408200.1-p1   -            626 5119at5820           -            616     1e-26   91.7  15.5   2   2   3.7e-09   7.4e-07   26.1   0.0   376   442   464   528   459   548 0.81 | transcript=PVP01_1408200.1 | gene=PVP01_1408200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=PvP01_14_v2:382345-384225(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 5119at5820           -            616     4e-26   89.8   8.3   1   2   7.8e-08   1.5e-05   21.8   0.0    61   105    77   121    16   136 0.79 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 5119at5820           -            616     4e-26   89.8   8.3   2   2   5.3e-20     1e-17   62.0   6.7   119   424   159   444   151   469 0.79 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 5119at5820           -            616     6e-26   89.2   0.1   1   3       4.2   8.4e+02   -3.8   1.9   466   522   113   172    90   183 0.45 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 5119at5820           -            616     6e-26   89.2   0.1   2   3   8.1e-17   1.6e-14   51.5   0.0    55   261   227   438   218   524 0.76 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 5119at5820           -            616     6e-26   89.2   0.1   3   3   1.2e-14   2.4e-12   44.3   0.0   375   424   529   579   498   596 0.81 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1247900.1-p1   -            787 5119at5820           -            616   1.4e-25   88.0  14.4   1   1   2.1e-26   4.1e-24   83.1  14.4    24   440   357   770   331   780 0.70 | transcript=PVP01_1247900.1 | gene=PVP01_1247900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=PvP01_12_v2:1947873-1950236(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 5119at5820           -            616   1.5e-25   87.9   6.8   1   2   8.8e-15   1.7e-12   44.7   0.0    61   217   608   765   586   807 0.82 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 5119at5820           -            616   1.5e-25   87.9   6.8   2   2   2.5e-15     5e-13   46.5   0.0   358   440   895   987   845   995 0.75 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 5119at5820           -            616     3e-24   83.6   0.5   1   3   1.3e-19   2.5e-17   60.7   0.3    62   204   151   297   128   311 0.75 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 5119at5820           -            616     3e-24   83.6   0.5   2   3       1.1   2.2e+02   -1.8   0.0   226   258   362   395   358   400 0.77 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 5119at5820           -            616     3e-24   83.6   0.5   3   3   3.8e-07   7.6e-05   19.5   0.0   376   436   641   699   637   716 0.77 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025300.1-p1   -           1465 5119at5820           -            616     3e-24   83.6   1.2   1   2   1.5e-19     3e-17   60.5   0.1    62   282   702   918   693   947 0.82 | transcript=PVP01_1025300.1 | gene=PVP01_1025300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=PvP01_10_v2:1104501-1108898(-) | protein_length=1465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025300.1-p1   -           1465 5119at5820           -            616     3e-24   83.6   1.2   2   2   7.4e-11   1.5e-08   31.8   0.1   374   442   989  1058   964  1071 0.85 | transcript=PVP01_1025300.1 | gene=PVP01_1025300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=PvP01_10_v2:1104501-1108898(-) | protein_length=1465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 5119at5820           -            616   1.6e-23   81.2   5.3   1   3   1.9e-13   3.8e-11   40.3   0.0    60   108   149   197   141   205 0.91 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 5119at5820           -            616   1.6e-23   81.2   5.3   2   3   2.8e-05    0.0055   13.4   0.6   121   308   262   445   252   451 0.66 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 5119at5820           -            616   1.6e-23   81.2   5.3   3   3   9.4e-10   1.9e-07   28.1   0.1   375   431   496   555   471   561 0.82 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 5119at5820           -            616   1.7e-22   77.8  21.9   1   3   1.9e-08   3.7e-06   23.8   0.1    68   114   279   325   256   333 0.86 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 5119at5820           -            616   1.7e-22   77.8  21.9   2   3   6.2e-10   1.2e-07   28.7   7.1   122   304   381   557   378   571 0.77 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 5119at5820           -            616   1.7e-22   77.8  21.9   3   3     3e-11     6e-09   33.0   2.5   374   425   609   661   586   717 0.72 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 5119at5820           -            616   2.1e-21   74.2   1.8   1   3   8.4e-12   1.7e-09   34.9   0.0    45   112   277   346   232   351 0.77 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 5119at5820           -            616   2.1e-21   74.2   1.8   2   3    0.0019      0.37    7.3   0.4   122   234   404   512   393   597 0.76 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 5119at5820           -            616   2.1e-21   74.2   1.8   3   3   3.3e-10   6.5e-08   29.6   0.0   375   418   634   678   612   702 0.90 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 5119at5820           -            616     3e-21   73.7   7.5   1   3   1.1e-09   2.2e-07   27.8   0.0    65   110   148   193   124   198 0.93 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 5119at5820           -            616     3e-21   73.7   7.5   2   3   1.6e-08   3.2e-06   24.0   3.5   123   336   228   442   225   459 0.72 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 5119at5820           -            616     3e-21   73.7   7.5   3   3   6.7e-08   1.3e-05   22.0   0.0   376   425   460   510   455   572 0.84 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261100.1-p1   -            528 5119at5820           -            616   3.1e-21   73.6   0.1   1   2   2.1e-12   4.2e-10   36.9   0.0    65   261   135   325   126   386 0.72 | transcript=PVP01_1261100.1 | gene=PVP01_1261100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=PvP01_12_v2:2514922-2518356(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
