#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1127800.1-p1   -           1634 1628at5820           -           1124         0 1866.2 139.7   1   8   2.9e-28   2.7e-25   87.0  19.4     5   103    94   222    91   225 0.81 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 1628at5820           -           1124     0.024   11.0   4.1   1   2   0.00039      0.37    7.1   0.7   428   534   200   305   185   312 0.72 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 1628at5820           -           1124     0.024   11.0   4.1   2   2    0.0017       1.6    5.0   0.1   551   614   402   464   387   492 0.77 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0414400.1-p1   -           1172 1628at5820           -           1124     0.034   10.5   7.9   1   2   4.7e-06    0.0044   13.5   0.7   316   429   283   397   278   411 0.93 | transcript=PVP01_0414400.1 | gene=PVP01_0414400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:586469-589987(-) | protein_length=1172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0414400.1-p1   -           1172 1628at5820           -           1124     0.034   10.5   7.9   2   2     0.062        58   -0.2   1.4   237   327   612   703   584   715 0.68 | transcript=PVP01_0414400.1 | gene=PVP01_0414400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:586469-589987(-) | protein_length=1172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1628at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1628at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1628at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:46 2026
# [ok]
