#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2   1  12         2   6.5e+03  -12.2  10.8   289   344    29    66    18    78 0.30 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2  12  12   1.4e-26   4.4e-23   80.2   0.4   651   699  1604  1652  1598  1653 0.94 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452000.1-p1   -           1070 2109at5820           -            700     0.052   10.6  27.1   1   3      0.78   2.6e+03   -4.9  12.3   273   386   768   884   765   890 0.45 | transcript=PVP01_1452000.1 | gene=PVP01_1452000 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 1, putative | transcript_product=sentrin-specific protease 1, putative | location=PvP01_14_v2:2270068-2273624(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452000.1-p1   -           1070 2109at5820           -            700     0.052   10.6  27.1   2   3   1.5e-06    0.0048   14.0   8.4   443   545   868   975   843  1003 0.76 | transcript=PVP01_1452000.1 | gene=PVP01_1452000 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 1, putative | transcript_product=sentrin-specific protease 1, putative | location=PvP01_14_v2:2270068-2273624(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452000.1-p1   -           1070 2109at5820           -            700     0.052   10.6  27.1   3   3   0.00076       2.5    5.0   0.0   615   639  1019  1043  1015  1054 0.89 | transcript=PVP01_1452000.1 | gene=PVP01_1452000 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 1, putative | transcript_product=sentrin-specific protease 1, putative | location=PvP01_14_v2:2270068-2273624(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2109at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2109at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2109at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:03 2026
# [ok]
