#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0518200.1-p1   -            761 4626at5820           -            498  2.5e-220  730.7  22.8   1   6   2.3e-20   3.7e-17   60.5   0.0     7    55    97   145    93   151 0.94 | transcript=PVP01_0518200.1 | gene=PVP01_0518200 | organism=Plasmodium_vivax_P01 | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=PvP01_05_v2:763668-765953(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411600.1-p1   -            205 4626at5820           -            498    0.0022   15.1   3.6   1   1   8.1e-06     0.013   12.5   3.6   349   435   102   197    11   203 0.62 | transcript=PVP01_1411600.1 | gene=PVP01_1411600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=PvP01_14_v2:524820-526310(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4626at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4626at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4626at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:29 2026
# [ok]
