#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0609800.1-p1   -            446 7686at5820           -            351  4.5e-175  580.3  20.0   1   2   6.3e-97   5.9e-94  313.6   7.7     1   198    54   262    54   278 0.95 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 7686at5820           -            351   6.5e-06   24.0   0.4   4   6    0.0046       4.3    4.9   8.7     9   195   608   803   603   811 0.69 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 7686at5820           -            351   6.5e-06   24.0   0.4   5   6    0.0016       1.5    6.3   0.0   248   284   927   963   868   967 0.88 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 7686at5820           -            351   6.5e-06   24.0   0.4   6   6     7e-09   6.5e-06   24.0   0.4   286   334  1036  1084  1027  1098 0.90 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614900.1-p1   -            441 7686at5820           -            351   1.3e-05   23.0   8.3   1   1   6.2e-08   5.8e-05   20.9   8.2   111   335   137   377   117   392 0.70 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 7686at5820           -            351   1.5e-05   22.8   0.7   1   4         7   6.5e+03   -8.0   9.1    82   120   154   196    62   262 0.50 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 7686at5820           -            351   1.5e-05   22.8   0.7   2   4    0.0039       3.7    5.1   0.1    42   147   443   553   438   558 0.71 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 7686at5820           -            351   1.5e-05   22.8   0.7   3   4    0.0003      0.28    8.8   0.8   219   283   710   777   629   785 0.71 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 7686at5820           -            351   1.5e-05   22.8   0.7   4   4   1.6e-08   1.5e-05   22.8   0.7   286   348   842   905   839   908 0.89 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7686at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7686at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7686at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:30 2026
# [ok]
