#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6   1  21   2.3e-89   1.5e-85  285.8   7.9     2   170     6   176     5   180 0.97 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  12  21     2e-66   1.3e-62  209.6   7.9  1500  1636  2364  2505  2360  2508 0.93 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  13  21   1.7e-34   1.1e-30  103.7   0.9  1635  1711  2557  2633  2552  2642 0.94 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  14  21  8.2e-109  5.4e-105  350.3  10.2  1718  2021  2680  3059  2666  3061 0.83 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  15  21  2.6e-158  1.7e-154  514.5  16.1  2021  2312  3091  3398  3076  3401 0.95 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  16  21   1.4e-48   9.2e-45  150.4   0.3  2326  2418  3474  3567  3467  3585 0.92 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  17  21   1.9e-49   1.2e-45  153.3   2.3  2423  2517  3650  3750  3647  3756 0.94 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  18  21   2.1e-21   1.3e-17   60.3   0.7  2516  2580  3785  3868  3780  3873 0.78 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  19  21   7.9e-13   5.2e-09   31.8   0.0  2585  2621  4056  4092  4050  4098 0.90 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  20  21   4.3e-26   2.8e-22   75.9   0.0  2623  2704  4122  4229  4111  4235 0.80 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  21  21   9.9e-88   6.5e-84  280.4  16.9  2704  2878  4266  4452  4263  4453 0.95 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/83at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/83at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/83at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:57 2026
# [ok]
