#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0620100.1-p1   -           1170 3333at5820           -            635  1.1e-284  944.2  57.2   1   8   5.5e-50   1.8e-46  157.3   8.1     2   124    34   170    33   178 0.90 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215800.1-p1   -            901 3333at5820           -            635   1.2e-17   62.0  22.4   4   5       0.4   1.3e+03   -4.2   0.0   492   506   581   595   578   597 0.79 | transcript=PVP01_0215800.1 | gene=PVP01_0215800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=PvP01_02_v2:670381-673086(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215800.1-p1   -            901 3333at5820           -            635   1.2e-17   62.0  22.4   5   5     0.066   2.2e+02   -1.6   0.2    73    88   680   695   632   750 0.53 | transcript=PVP01_0215800.1 | gene=PVP01_0215800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=PvP01_02_v2:670381-673086(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3333at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3333at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3333at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:28 2026
# [ok]
