#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1412500.1-p1   -            420 6354at5820           -            285  8.1e-200  660.5   2.4   1   1  3.4e-202  9.8e-200  660.2   2.4     1   285     8   295     8   295 0.99 | transcript=PVP01_1412500.1 | gene=PVP01_1412500 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=PvP01_14_v2:550653-552145(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 6354at5820           -            285   8.9e-31  105.8   1.0   2   4   5.8e-07   0.00016   19.6   0.0   150   208   344   402   332   407 0.89 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 6354at5820           -            285   8.9e-31  105.8   1.0   3   4       1.6   4.5e+02   -1.5   0.0   242   262   496   516   480   521 0.75 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 6354at5820           -            285   8.9e-31  105.8   1.0   4   4   3.5e-26   9.9e-24   82.7   0.0   145   284   763   899   740   900 0.87 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 6354at5820           -            285   1.7e-30  104.9   0.1   1   1   1.4e-32   4.1e-30  103.6   0.1   145   282   243   376   232   379 0.89 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 6354at5820           -            285   6.9e-30  102.9   0.1   1   2    0.0025      0.72    7.7   0.0   189   264   245   322   220   326 0.82 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 6354at5820           -            285   6.9e-30  102.9   0.1   2   2   3.1e-29   8.9e-27   92.7   0.1   134   273   555   696   531   705 0.87 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 6354at5820           -            285   6.9e-27   93.1   0.0   1   1   4.1e-29   1.2e-26   92.3   0.0   149   285   158   295   151   295 0.91 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 6354at5820           -            285   1.1e-24   85.8   0.0   1   1   6.1e-27   1.7e-24   85.2   0.0   144   272   110   237    99   249 0.90 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920200.1-p1   -            950 6354at5820           -            285   3.1e-24   84.4   0.0   1   1   1.7e-26   4.8e-24   83.7   0.0   145   285   395   536   383   536 0.91 | transcript=PVP01_0920200.1 | gene=PVP01_0920200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_09_v2:877371-880223(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 6354at5820           -            285   3.2e-19   67.9   0.0   1   1   1.7e-21   4.9e-19   67.3   0.0   142   281   414   552   387   556 0.87 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 6354at5820           -            285   1.4e-17   62.5   0.0   1   2   6.3e-17   1.8e-14   52.3   0.0   179   279   282   391   246   397 0.76 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 6354at5820           -            285   1.4e-17   62.5   0.0   2   2    0.0024      0.68    7.8   0.0   188   227   572   611   539   646 0.75 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 6354at5820           -            285   3.6e-15   54.6   0.0   1   1     2e-17   5.6e-15   54.0   0.0   188   283   599   695   588   701 0.85 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 6354at5820           -            285   2.5e-08   32.2   0.0   1   1   1.6e-10   4.6e-08   31.3   0.0   184   271   740   828   735   842 0.90 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107600.1-p1   -            665 6354at5820           -            285   4.1e-08   31.5   0.0   1   2       3.1   8.9e+02   -2.5   0.0   229   249    35    55    31    60 0.86 | transcript=PVP01_0107600.1 | gene=PVP01_0107600 | organism=Plasmodium_vivax_P01 | gene_product=ATPase family AAA domain-containing protein 3A, putative | transcript_product=ATPase family AAA domain-containing protein 3A, putative | location=PvP01_01_v2:380468-382465(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107600.1-p1   -            665 6354at5820           -            285   4.1e-08   31.5   0.0   2   2   5.1e-10   1.5e-07   29.7   0.0   187   271   344   430   339   440 0.80 | transcript=PVP01_0107600.1 | gene=PVP01_0107600 | organism=Plasmodium_vivax_P01 | gene_product=ATPase family AAA domain-containing protein 3A, putative | transcript_product=ATPase family AAA domain-containing protein 3A, putative | location=PvP01_01_v2:380468-382465(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 6354at5820           -            285   9.6e-05   20.4   0.0   1   1   5.3e-07   0.00015   19.8   0.0   178   261   337   437   315   462 0.61 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342100.1-p1   -           1226 6354at5820           -            285   0.00017   19.6   0.0   1   2   0.00041      0.12   10.3   0.0   224   264   559   599   505   612 0.81 | transcript=PVP01_1342100.1 | gene=PVP01_1342100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=PvP01_13_v2:1847278-1850958(-) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342100.1-p1   -           1226 6354at5820           -            285   0.00017   19.6   0.0   2   2    0.0063       1.8    6.4   0.0   179   226   858   910   797   954 0.64 | transcript=PVP01_1342100.1 | gene=PVP01_1342100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=PvP01_13_v2:1847278-1850958(-) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705900.1-p1   -            824 6354at5820           -            285   0.00026   19.0   0.1   1   2   1.2e-05    0.0033   15.4   0.0   185   242   432   491   403   505 0.75 | transcript=PVP01_0705900.1 | gene=PVP01_0705900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease ATPase subunit ClpY, putative | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative | location=PvP01_07_v2:329442-331916(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705900.1-p1   -            824 6354at5820           -            285   0.00026   19.0   0.1   2   2      0.35        99    0.7   0.0   245   277   628   663   611   669 0.66 | transcript=PVP01_0705900.1 | gene=PVP01_0705900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease ATPase subunit ClpY, putative | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative | location=PvP01_07_v2:329442-331916(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243900.1-p1   -            742 6354at5820           -            285    0.0025   15.7   0.0   1   2         2   5.8e+02   -1.8   0.0   177   200   514   537   508   547 0.84 | transcript=PVP01_1243900.1 | gene=PVP01_1243900 | organism=Plasmodium_vivax_P01 | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=PvP01_12_v2:1799257-1801485(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243900.1-p1   -            742 6354at5820           -            285    0.0025   15.7   0.0   2   2   4.1e-05     0.012   13.6   0.0   212   256   629   673   620   689 0.84 | transcript=PVP01_1243900.1 | gene=PVP01_1243900 | organism=Plasmodium_vivax_P01 | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=PvP01_12_v2:1799257-1801485(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6354at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6354at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6354at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:04 2026
# [ok]
