#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5   1  30    1e-164  6.7e-161  535.4  19.6     1   249     1   249     1   285 0.96 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  12  30   4.9e-82   3.2e-78  261.0   9.0  1441  1622  2347  2571  2341  2590 0.88 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  13  30   3.6e-34   2.4e-30  102.1   1.5  1631  1716  2635  2720  2624  2735 0.85 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  14  30   1.8e-19   1.2e-15   53.3   0.0  1694  1748  2783  2837  2776  2846 0.84 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  15  30  4.3e-106  2.8e-102  340.8  10.9  1745  1982  2895  3159  2892  3170 0.85 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  16  30   5.4e-32   3.5e-28   94.9   2.5  1950  2049  3203  3307  3193  3311 0.79 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  17  30   2.2e-09   1.4e-05   19.8   0.1  2062  2098  3498  3534  3488  3543 0.91 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  18  30  8.2e-174  5.4e-170  565.6  36.0  2092  2393  3561  3875  3553  3880 0.95 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  19  30  8.1e-134  5.3e-130  432.9  19.7  2396  2637  3959  4206  3950  4211 0.91 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  20  30  2.6e-177  1.7e-173  577.3  44.2  2624  2994  4238  4663  4225  4681 0.86 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  21  30   2.3e-54   1.5e-50  169.1  11.7  2989  3133  4764  4920  4744  4925 0.81 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  22  30   6.8e-85   4.5e-81  270.4   9.1  3130  3273  5027  5170  5021  5181 0.96 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  23  30   2.1e-98   1.4e-94  315.3   9.4  3268  3418  5225  5375  5212  5388 0.94 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  24  30  2.7e-106  1.8e-102  341.5  16.0  3403  3624  5428  5659  5423  5667 0.85 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  25  30   2.9e-64   1.9e-60  202.0  15.2  3620  3766  5702  5848  5698  5863 0.91 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  26  30   5.7e-68   3.7e-64  214.3   6.1  3750  3877  5900  6032  5888  6044 0.89 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  27  30   1.5e-89   9.8e-86  285.9  13.5  3868  4042  6084  6258  6066  6288 0.88 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  28  30   8.8e-06     0.057    7.9   0.0  4035  4061  6308  6334  6302  6340 0.91 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  29  30         0         0 1061.3  50.8  4058  4599  6448  7016  6436  7022 0.95 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211000.1-p1   -           7241 18at5820             -           4644         0 7627.5 577.5  30  30   7.3e-24   4.7e-20   67.9   6.6  4590  4644  7187  7241  7156  7241 0.87 | transcript=PVP01_1211000.1 | gene=PVP01_1211000 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:459971-481696(+) | protein_length=7241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/18at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/18at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/18at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:17 2026
# [ok]
