#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0520100.1-p1   -            392 7340at5820           -            220    2e-154  510.0   3.3   1   1  9.6e-157  2.6e-154  509.6   3.3     1   220   173   392   173   392 1.00 | transcript=PVP01_0520100.1 | gene=PVP01_0520100 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=PvP01_05_v2:816808-818171(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7340at5820           -            220   1.4e-59  199.9   4.2   2   4   2.1e-17   5.8e-15   54.0   1.0    51   194   491   629   483   639 0.89 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7340at5820           -            220   1.4e-59  199.9   4.2   3   4     3e-42   8.2e-40  135.3   0.1     2   150   806   951   805   962 0.93 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 7340at5820           -            220   1.4e-59  199.9   4.2   4   4      0.79   2.1e+02   -0.2   0.0   167   190  1097  1120  1088  1128 0.85 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 7340at5820           -            220   1.1e-47  161.0   0.1   1   1   6.5e-50   1.8e-47  160.3   0.1     2   202   196   400   195   419 0.89 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 7340at5820           -            220   3.9e-43  146.1   0.0   1   2    0.0058       1.6    6.8   0.0     4    77   246   321   243   336 0.83 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 7340at5820           -            220   3.9e-43  146.1   0.0   2   2   9.3e-43   2.5e-40  136.9   0.0     1   193   608   798   608   809 0.96 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920200.1-p1   -            950 7340at5820           -            220   1.1e-42  144.6   0.1   1   1     7e-45   1.9e-42  143.9   0.1     2   202   437   645   436   651 0.86 | transcript=PVP01_0920200.1 | gene=PVP01_0920200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_09_v2:877371-880223(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 7340at5820           -            220   3.9e-42  142.8   2.0   1   3       8.8   2.4e+03   -3.6   0.0    22    43   243   264   236   271 0.81 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 7340at5820           -            220   3.9e-42  142.8   2.0   2   3   2.7e-44   7.4e-42  141.9   0.2     2   206   285   486   284   495 0.95 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 7340at5820           -            220   3.9e-42  142.8   2.0   3   3       2.4   6.4e+02   -1.7   0.0    81    97   627   643   614   675 0.85 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 7340at5820           -            220   4.4e-29  100.2   1.6   1   3       1.5     4e+02   -1.0   0.1    78   133    64   118    42   139 0.73 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 7340at5820           -            220   4.4e-29  100.2   1.6   2   3   8.5e-29   2.3e-26   91.3   0.1     2   185   291   487   290   516 0.84 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 7340at5820           -            220   4.4e-29  100.2   1.6   3   3    0.0069       1.9    6.6   0.0     2    69   572   640   571   654 0.82 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 7340at5820           -            220   6.2e-28   96.4   0.0   1   2   5.6e-30   1.5e-27   95.2   0.0     2   150   153   297   152   300 0.91 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 7340at5820           -            220   6.2e-28   96.4   0.0   2   2       6.3   1.7e+03   -3.1   0.0   160   189   325   354   321   357 0.80 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 7340at5820           -            220   1.7e-27   95.0   0.1   1   1   1.2e-29   3.2e-27   94.1   0.1     2   156   459   610   458   625 0.89 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 7340at5820           -            220     7e-23   79.9   0.0   1   2   5.1e-18   1.4e-15   56.0   0.0     3   110   600   712   598   718 0.86 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 7340at5820           -            220     7e-23   79.9   0.0   2   2   2.3e-07   6.3e-05   21.2   0.0   108   153   794   839   774   846 0.88 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 7340at5820           -            220   2.7e-09   35.5   0.0   1   1   1.7e-11   4.7e-09   34.7   0.0     3   151   348   512   346   529 0.73 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107600.1-p1   -            665 7340at5820           -            220   4.4e-09   34.8   0.0   1   1   2.8e-11   7.5e-09   34.0   0.0     3   163   346   511   344   520 0.71 | transcript=PVP01_0107600.1 | gene=PVP01_0107600 | organism=Plasmodium_vivax_P01 | gene_product=ATPase family AAA domain-containing protein 3A, putative | transcript_product=ATPase family AAA domain-containing protein 3A, putative | location=PvP01_01_v2:380468-382465(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 7340at5820           -            220   2.3e-08   32.4   0.0   1   1   1.4e-10   3.7e-08   31.8   0.0     2   159   744   916   743   924 0.77 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 7340at5820           -            220   3.8e-08   31.7   0.0   1   2     0.027       7.2    4.7   0.0     4    24   258   278   255   294 0.82 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 7340at5820           -            220   3.8e-08   31.7   0.0   2   2   2.2e-08   6.1e-06   24.5   0.0    93   147   369   423   359   437 0.92 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243900.1-p1   -            742 7340at5820           -            220   8.4e-05   20.8   0.1   1   2       1.5     4e+02   -1.0   0.0     4    22   527   545   525   561 0.73 | transcript=PVP01_1243900.1 | gene=PVP01_1243900 | organism=Plasmodium_vivax_P01 | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=PvP01_12_v2:1799257-1801485(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243900.1-p1   -            742 7340at5820           -            220   8.4e-05   20.8   0.1   2   2     2e-06   0.00055   18.1   0.0    28    82   631   685   620   720 0.80 | transcript=PVP01_1243900.1 | gene=PVP01_1243900 | organism=Plasmodium_vivax_P01 | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=PvP01_12_v2:1799257-1801485(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705900.1-p1   -            824 7340at5820           -            220     0.002   16.3   0.2   1   2     0.026       7.1    4.7   0.1     3    55   436   490   434   506 0.78 | transcript=PVP01_0705900.1 | gene=PVP01_0705900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease ATPase subunit ClpY, putative | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative | location=PvP01_07_v2:329442-331916(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705900.1-p1   -            824 7340at5820           -            220     0.002   16.3   0.2   2   2    0.0014      0.39    8.8   0.0    58    95   627   667   597   688 0.72 | transcript=PVP01_0705900.1 | gene=PVP01_0705900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease ATPase subunit ClpY, putative | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative | location=PvP01_07_v2:329442-331916(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203900.1-p1   -           1105 7340at5820           -            220     0.037   12.1   0.0   1   2   0.00044      0.12   10.5   0.0     4    74   327   396   324   419 0.84 | transcript=PVP01_0203900.1 | gene=PVP01_0203900 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_02_v2:189245-192562(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203900.1-p1   -           1105 7340at5820           -            220     0.037   12.1   0.0   2   2       5.7   1.5e+03   -3.0   0.0   181   214   939   972   937   975 0.89 | transcript=PVP01_0203900.1 | gene=PVP01_0203900 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_02_v2:189245-192562(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7340at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7340at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7340at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:06 2026
# [ok]
