#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0904600.1-p1   -           3423 198at5820            -           1815         0 3082.5 192.0   1  11  1.6e-129  5.2e-126  420.2  17.2     1   251     1   260     1   269 0.90 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 198at5820            -           1815  1.7e-210  700.3  80.4   1   9         2   6.5e+03  -10.6  10.4   227   289  1068  1136  1031  1161 0.61 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 198at5820            -           1815  1.7e-210  700.3  80.4   2   9   4.6e-45   1.5e-41  140.1  12.7   379   582  1504  1703  1495  1725 0.86 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 198at5820            -           1815  1.7e-210  700.3  80.4   3   9   1.6e-42   5.2e-39  131.7  15.9   648   882  2256  2485  2233  2490 0.87 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 198at5820            -           1815  1.7e-210  700.3  80.4   4   9         2   6.5e+03  -14.6  20.5   215   279  2750  2815  2739  2838 0.46 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 198at5820            -           1815  1.7e-210  700.3  80.4   5   9     0.039   1.3e+02   -2.2   0.5   947   998  3326  3377  3312  3383 0.87 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 198at5820            -           1815  1.7e-210  700.3  80.4   6   9   3.1e-08    0.0001   18.1   6.7  1001  1106  3458  3569  3453  3594 0.75 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 198at5820            -           1815  1.7e-210  700.3  80.4   7   9     0.014        46   -0.7   2.8   517   662  3723  3875  3717  3881 0.77 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 198at5820            -           1815  1.7e-210  700.3  80.4   8   9   5.4e-98   1.8e-94  315.6  10.2  1330  1655  4151  4472  4097  4491 0.89 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 198at5820            -           1815  1.7e-210  700.3  80.4   9   9   3.4e-52   1.1e-48  163.8   3.2  1668  1783  4618  4733  4610  4736 0.96 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/198at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/198at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/198at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:39 2026
# [ok]
