#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2   1  16  4.9e-189  3.2e-185  616.5  42.9     1   344     1   364     1   371 0.95 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2  12  16   4.2e-64   2.7e-60  202.0   4.2  2135  2238  3185  3288  3177  3298 0.96 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2  13  16  4.1e-136  2.7e-132  440.9  23.0  2237  2471  3326  3580  3321  3599 0.94 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2  14  16   2.9e-38   1.9e-34  116.3   5.4  2500  2593  3691  3796  3649  3799 0.84 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2  15  16   5.2e-67   3.4e-63  211.7   9.1  2592  2708  3835  3951  3832  3961 0.97 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307200.1-p1   -           4226 92at5820             -           2904         0 4332.4 363.2  16  16   2.8e-97   1.8e-93  312.1  21.2  2707  2904  4006  4221  3996  4221 0.91 | transcript=PVP01_1307200.1 | gene=PVP01_1307200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:317876-331201(+) | protein_length=4226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/92at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/92at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/92at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:33 2026
# [ok]
