#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1115200.1-p1   -            201 13425at5820          -            164   1.3e-95  316.8  26.0   1   2   8.2e-38   2.7e-35  120.7   4.3     1    87     1    86     1    88 0.91 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217000.1-p1   -            420 13425at5820          -            164     2e-05   23.5   2.1   2   2       1.5   4.9e+02   -0.5   0.2    28    65   163   202   150   227 0.53 | transcript=PVP01_0217000.1 | gene=PVP01_0217000 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein, putative, DnaJ domain containing protein | transcript_product=heat shock protein, putative | location=PvP01_02_v2:734503-736528(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 13425at5820          -            164   2.5e-05   23.2   0.1   1   3       8.6   2.8e+03   -2.9   0.1    60    90    49    79    44   124 0.46 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 13425at5820          -            164   2.5e-05   23.2   0.1   2   3   7.7e-08   2.5e-05   23.2   0.1     4    59   131   187   127   196 0.86 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 13425at5820          -            164   2.5e-05   23.2   0.1   3   3       6.2     2e+03   -2.5   2.5   103   126   221   242   211   250 0.53 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 13425at5820          -            164   5.9e-05   22.0   1.3   1   4   1.8e-07   5.9e-05   22.0   1.3     3    66     9    75     7    99 0.72 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 13425at5820          -            164   5.9e-05   22.0   1.3   2   4       2.4   7.8e+02   -1.1   0.9    54    80   134   161   125   176 0.62 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 13425at5820          -            164   5.9e-05   22.0   1.3   3   4       1.2     4e+02   -0.2   3.5    41    82   191   230   178   253 0.71 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 13425at5820          -            164   5.9e-05   22.0   1.3   4   4       9.4   3.1e+03   -3.1   0.2     5    39   697   730   693   734 0.72 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206400.1-p1   -            308 13425at5820          -            164   0.00029   19.8   1.8   1   1   1.7e-06   0.00054   18.9   1.8    17   116    87   198    78   209 0.64 | transcript=PVP01_0206400.1 | gene=PVP01_0206400 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain-containing protein, putative | transcript_product=DnaJ domain-containing protein, putative | location=PvP01_02_v2:265358-267288(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 13425at5820          -            164   0.00053   18.9   0.1   1   1   3.5e-06    0.0011   17.9   0.1     2    66    27    85    26   110 0.84 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 13425at5820          -            164    0.0044   15.9   3.1   1   3   2.1e-05    0.0069   15.3   0.0     2    34     8    40     7    66 0.86 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 13425at5820          -            164    0.0044   15.9   3.1   2   3       2.3   7.4e+02   -1.1   0.1    42    55   118   131   112   156 0.76 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 13425at5820          -            164    0.0044   15.9   3.1   3   3       4.6   1.5e+03   -2.1   0.1    73    96   227   248   212   263 0.59 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13425at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13425at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13425at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:14 2026
# [ok]
