#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1   1  40   1.3e-25   8.3e-22   73.8   6.0     1    80     1    81     1    97 0.85 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  12  40   3.2e-49   2.1e-45  152.1  19.8  1062  1190  3121  3252  3109  3255 0.79 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  13  40   1.5e-90   9.6e-87  289.3  13.7  1185  1349  3348  3523  3341  3531 0.91 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  14  40   1.8e-37   1.2e-33  113.1   8.2  1346  1430  3655  3743  3652  3761 0.89 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  15  40  2.1e-144  1.4e-140  468.0  55.6  1437  1711  3872  4170  3861  4177 0.93 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  16  40   7.8e-23   5.1e-19   64.5   2.6  1710  1768  4220  4285  4213  4293 0.90 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  17  40     2e-38   1.3e-34  116.2   2.6  1775  1848  4328  4401  4310  4405 0.88 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  18  40   9.3e-67   6.1e-63  210.3  16.8  1842  1971  4454  4587  4450  4594 0.93 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  19  40   2.7e-11   1.7e-07   26.2   0.0  1967  2016  4673  4733  4626  4747 0.83 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  20  40    1e-215  6.6e-212  704.8  52.4  2015  2402  4906  5309  4870  5313 0.93 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  21  40   6.4e-67   4.2e-63  210.8  28.3  2396  2552  5352  5514  5347  5517 0.95 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  22  40   1.3e-25   8.2e-22   73.8   6.7  2552  2621  5557  5633  5554  5643 0.87 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  23  40   1.9e-67   1.2e-63  212.6  16.7  2609  2751  5659  5813  5642  5817 0.86 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  24  40   2.3e-71   1.5e-67  225.6  11.9  2750  2867  5851  5970  5846  5977 0.96 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  25  40   9.7e-75   6.3e-71  236.8  18.0  2866  3016  6026  6178  6023  6198 0.94 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  26  40   1.4e-18     9e-15   50.4   2.6  3006  3064  6219  6277  6213  6295 0.82 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  27  40   1.5e-06    0.0097   10.5   0.0  3030  3077  6380  6427  6371  6439 0.88 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  28  40   7.1e-39   4.7e-35  117.7   3.3  3066  3172  6859  6965  6847  6973 0.87 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  29  40     1e-66   6.5e-63  210.2  11.1  3158  3296  7020  7161  7016  7168 0.95 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  30  40   4.8e-35   3.1e-31  105.0   0.3  3296  3409  7273  7392  7265  7400 0.87 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  31  40   9.8e-24   6.4e-20   67.5   0.0  3397  3459  7455  7522  7446  7528 0.90 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  32  40   2.3e-06     0.015    9.8   0.1  3458  3490  7557  7594  7550  7605 0.81 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  33  40  8.3e-220  5.4e-216  718.3  36.7  3497  3801  7804  8108  7795  8138 0.96 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  34  40     0.011        75   -2.4   0.0  3801  3830  8167  8196  8156  8204 0.81 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  35  40  1.6e-123    1e-119  398.7   5.4  3822  4015  8247  8445  8237  8459 0.91 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  36  40   4.2e-72   2.8e-68  228.0  16.4  4017  4221  8810  9065  8796  9075 0.84 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  37  40   9.5e-91   6.2e-87  289.9  28.6  4235  4459  9655  9900  9645  9915 0.91 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  38  40         1   6.5e+03  -10.0   7.5   242   289 10378 10428 10363 10437 0.39 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  39  40    0.0015       9.8    0.5   0.1  4461  4494 10551 10584 10542 10603 0.84 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022500.1-p1   -          11461 4at5820              -           4574         0 6562.1 720.1  40  40    0.0055        36   -1.4   0.1  4522  4542 10817 10837 10815 10852 0.89 | transcript=PVP01_1022500.1 | gene=PVP01_1022500 | organism=Plasmodium_vivax_P01 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=PvP01_10_v2:945202-979587(-) | protein_length=11461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:57 2026
# [ok]
