#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1238500.1-p1   -            250 12195at5820          -            218  1.4e-107  356.8  28.6   1   1    3e-110  2.8e-107  355.8  28.6     3   217     7   249     5   250 0.92 | transcript=PVP01_1238500.1 | gene=PVP01_1238500 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:1528434-1529529(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 12195at5820          -            218   2.5e-05   22.4  14.9   4   4    0.0011         1    7.3   0.4   143   198   254   309   241   317 0.73 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 12195at5820          -            218     5e-05   21.5   0.2   1   3    0.0029       2.7    6.0   1.3    96   162    24    86     3   104 0.81 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 12195at5820          -            218     5e-05   21.5   0.2   2   3   5.4e-08     5e-05   21.5   0.2   127   201   100   172    89   179 0.88 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 12195at5820          -            218     5e-05   21.5   0.2   3   3       6.6   6.2e+03   -5.0   5.0    21    41   211   231   186   277 0.62 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12195at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12195at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12195at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:03 2026
# [ok]
