#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1422200.1-p1   -            297 9909at5820           -            251  5.9e-144  476.4  42.4   1   2   9.6e-28   5.2e-25   86.8   8.2     1    59     7    68     7    73 0.86 | transcript=PVP01_1422200.1 | gene=PVP01_1422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=PvP01_14_v2:967105-969730(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422200.1-p1   -            287 9909at5820           -            251   5.8e-10   37.5  11.7   2   2      0.89   4.8e+02   -1.6   2.4   132   179   192   239   162   274 0.51 | transcript=PVP01_0422200.1 | gene=PVP01_0422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=PvP01_04_v2:898201-900382(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613000.1-p1   -            281 9909at5820           -            251     6e-07   27.6  16.5   1   2     0.066        36    2.1   0.9    46    92    15    61    10    67 0.56 | transcript=PVP01_0613000.1 | gene=PVP01_0613000 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=PvP01_06_v2:560817-563386(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613000.1-p1   -            281 9909at5820           -            251     6e-07   27.6  16.5   2   2   1.1e-09     6e-07   27.6  16.5    96   215   105   229    58   253 0.71 | transcript=PVP01_0613000.1 | gene=PVP01_0613000 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=PvP01_06_v2:560817-563386(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9909at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9909at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9909at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:13 2026
# [ok]
