#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0822900.1-p1   -           1391 1133at5820           -           1080         0 1824.1 108.5   1   2   2.4e-78   5.1e-76  255.1  45.7     1   327     1   486     1   494 0.86 | transcript=PVP01_0822900.1 | gene=PVP01_0822900 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=PvP01_08_v2:1029162-1033337(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 1133at5820           -           1080   2.9e-13   47.3  12.5   3   3   0.00011     0.022   11.3   0.0  1025  1058   297   330   287   337 0.91 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 1133at5820           -           1080   6.5e-12   42.9  11.8   1   2     0.004      0.83    6.1   0.2   557   577    28    48     7    54 0.81 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 1133at5820           -           1080   6.5e-12   42.9  11.8   2   2   6.1e-13   1.3e-10   38.6   6.7   831   959   115   230    72   243 0.77 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 1133at5820           -           1080     1e-10   38.9  16.8   1   3     0.002      0.43    7.0   0.1   565   630   166   224   151   231 0.79 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 1133at5820           -           1080     1e-10   38.9  16.8   2   3     5e-10   1.1e-07   28.9   0.1   850   970   252   360   248   378 0.88 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 1133at5820           -           1080     1e-10   38.9  16.8   3   3   3.3e-05     0.007   13.0   0.0  1027  1058   385   416   378   423 0.92 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 1133at5820           -           1080   1.7e-10   38.2   0.4   1   4         2   4.1e+02   -2.8   3.6    36   292   568   624   487   659 0.52 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 1133at5820           -           1080   1.7e-10   38.2   0.4   2   4      0.25        53    0.1   0.0   559   626  1525  1587  1518  1596 0.78 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 1133at5820           -           1080   1.7e-10   38.2   0.4   3   4   1.1e-11   2.3e-09   34.4   0.1   848   966  1617  1723  1596  1732 0.82 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 1133at5820           -           1080   1.7e-10   38.2   0.4   4   4   5.9e-05     0.012   12.1   0.0  1026  1071  1750  1795  1736  1800 0.87 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 1133at5820           -           1080   1.4e-09   35.2  13.2   1   3      0.39        82   -0.5   0.2   564   627   126   182   105   188 0.76 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 1133at5820           -           1080   1.4e-09   35.2  13.2   2   3   1.2e-08   2.6e-06   24.3   1.1   849   979   212   329   189   339 0.84 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 1133at5820           -           1080   1.4e-09   35.2  13.2   3   3     5e-07    0.0001   19.0   0.6  1010  1060   329   378   325   399 0.81 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 1133at5820           -           1080   1.8e-09   34.8   5.6   1   4       1.6   3.3e+02   -2.5   0.7   563   617    24    76    13    82 0.63 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 1133at5820           -           1080   1.8e-09   34.8   5.6   2   4   5.3e-06    0.0011   15.6   0.1   835   938   171   265   114   269 0.74 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 1133at5820           -           1080   1.8e-09   34.8   5.6   3   4   2.9e-10   6.1e-08   29.7   1.8   944  1062   475   593   467   613 0.78 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133600.1-p1   -            801 1133at5820           -           1080   1.8e-09   34.8   5.6   4   4       4.9     1e+03   -4.2   1.8   186   216   674   704   615   762 0.50 | transcript=PVP01_1133600.1 | gene=PVP01_1133600 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=PvP01_11_v2:1437367-1439772(-) | protein_length=801 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 1133at5820           -           1080   3.9e-09   33.7   0.6   1   2   6.9e-07   0.00015   18.5   0.1   831   886   288   343   283   355 0.88 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 1133at5820           -           1080   3.9e-09   33.7   0.6   2   2   2.9e-05     0.006   13.2   0.1   901   978   394   472   372   492 0.81 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 1133at5820           -           1080     2e-08   31.3   0.0   1   3      0.55   1.2e+02   -1.0   0.0    37   144   372   478   362   492 0.78 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 1133at5820           -           1080     2e-08   31.3   0.0   2   3     8e-05     0.017   11.7   0.0   858   963   535   635   526   646 0.81 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215800.1-p1   -            891 1133at5820           -           1080     2e-08   31.3   0.0   3   3   4.5e-06   0.00095   15.8   0.0  1030  1058   861   889   850   890 0.88 | transcript=PVP01_1215800.1 | gene=PVP01_1215800 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:660557-663232(+) | protein_length=891 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416000.1-p1   -            368 1133at5820           -           1080   2.2e-08   31.2   3.9   1   1     1e-10   2.2e-08   31.2   3.9   846   967   200   309   147   326 0.78 | transcript=PVP01_1416000.1 | gene=PVP01_1416000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=PvP01_14_v2:704450-705556(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
