#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7   1  16  2.9e-107  6.3e-104  347.4  31.9     1   184    80   271    80   277 0.96 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7  13  16   0.00039      0.84    6.4   4.9   651   677  1362  1388  1361  1389 0.79 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7  14  16   0.00019      0.42    7.4   8.7   650   675  1388  1412  1382  1416 0.76 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7  15  16   0.00011      0.24    8.1   3.9   651   670  1416  1435  1412  1436 0.90 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911200.1-p1   -           1572 6929at5820           -            774  2.2e-272  904.5 430.7  16  16     2e-57   4.4e-54  182.6  37.4   651   774  1434  1572  1433  1572 0.93 | transcript=PVP01_0911200.1 | gene=PVP01_0911200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:545287-550606(+) | protein_length=1572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 6929at5820           -            774   0.00012   19.1   0.1   1   1   6.5e-08   0.00014   18.8   0.1    67   130    16    75     9   108 0.77 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 6929at5820           -            774     0.018   11.9   0.1   1   4   8.2e-06     0.018   11.9   0.1    60   126     4    72     1    76 0.89 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 6929at5820           -            774     0.018   11.9   0.1   2   4   6.4e-06     0.014   12.3   4.6    52   149   155   251   129   262 0.79 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 6929at5820           -            774     0.018   11.9   0.1   3   4         3   6.5e+03  -13.5  51.2   559   652   444   537   400   551 0.88 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 6929at5820           -            774     0.018   11.9   0.1   4   4         3   6.5e+03  -15.8  19.4   565   624   545   604   537   606 0.56 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6929at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6929at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6929at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:11 2026
# [ok]
