#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1208400.1-p1   -           5549 48at5820             -           4172         0 7691.8 186.7   1  10         0         0 1066.1  28.4     1   549     1   630     1   651 0.88 | transcript=PVP01_1208400.1 | gene=PVP01_1208400 | organism=Plasmodium_vivax_P01 | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=PvP01_12_v2:333150-349801(-) | protein_length=5549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010960.1-p1   -            327 48at5820             -           4172  5.2e-148  492.6  15.1   2   2   6.3e-15     2e-11   39.2   0.5  3330  3364   289   326   286   327 0.86 | transcript=PVP01_0010960.1 | gene=PVP01_0010960 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Transfer.PvP01_00_217.final:44-1024(-) | protein_length=327 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/48at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/48at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/48at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:35 2026
# [ok]
