#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1267900.1-p1   -           2439 322at5820            -           1848         0 3562.5 182.1   1   6     0.013        17    0.9   0.1     1    28     1    40     1    47 0.66 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 322at5820            -           1848  2.7e-170  567.2  82.6   6   8   9.9e-08   0.00013   17.9   1.4  1211  1307  1944  2037  1925  2051 0.84 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 322at5820            -           1848  2.7e-170  567.2  82.6   7   8   6.9e-26     9e-23   78.1   4.0  1355  1526  2062  2233  2056  2265 0.88 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 322at5820            -           1848  2.7e-170  567.2  82.6   8   8      0.16   2.1e+02   -2.7   4.4  1652  1745  2438  2536  2410  2588 0.75 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 322at5820            -           1848   2.3e-27   93.3   6.9   1   2   1.8e-30   2.3e-27   93.3   6.9  1069  1459   267   662   248   743 0.80 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 322at5820            -           1848   2.3e-27   93.3   6.9   2   2         4   5.3e+03   -7.4   3.5   844  1348  1069  1092  1028  1136 0.49 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 322at5820            -           1848     4e-25   85.9  15.8   1   2   1.1e-14   1.4e-11   40.9   3.5  1073  1193   336   447   324   453 0.86 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 322at5820            -           1848     4e-25   85.9  15.8   2   2   2.2e-17   2.9e-14   49.8   4.5  1317  1461   642   785   629   872 0.79 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 322at5820            -           1848   1.4e-20   70.7   9.2   1   3   3.7e-16   4.8e-13   45.8   3.1  1072  1232   265   430   257   436 0.83 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 322at5820            -           1848   1.4e-20   70.7   9.2   2   3   8.2e-14   1.1e-10   38.0   0.4   497   584   545   626   475   636 0.73 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 322at5820            -           1848   1.4e-20   70.7   9.2   3   3         2   2.6e+03   -6.3   3.6  1760  1826   874   941   853   958 0.70 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/322at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/322at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/322at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:08 2026
# [ok]
