#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0710200.1-p1   -            910 2619at5820           -            622         0 1219.3  32.5   1   3  1.3e-170  4.7e-168  558.9  11.0     1   281   188   469   188   498 0.96 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 2619at5820           -            622   2.4e-24   84.2   2.0   1   2   4.2e-25   1.5e-22   78.2   0.1     2   163    17   189    16   197 0.90 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 2619at5820           -            622   2.4e-24   84.2   2.0   2   2    0.0048       1.7    5.4   0.1   284   384   464   560   418   581 0.69 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2619at5820           -            622   3.8e-20   70.3  25.6   1   5   1.9e-09   6.8e-07   26.5   0.5     2    62    11    72    10    85 0.87 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2619at5820           -            622   3.8e-20   70.3  25.6   2   5   2.8e-17     1e-14   52.4   2.0    64   155   172   260   166   284 0.83 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2619at5820           -            622   3.8e-20   70.3  25.6   3   5      0.66   2.4e+02   -1.7   0.5   125   158   317   352   306   385 0.81 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2619at5820           -            622   3.8e-20   70.3  25.6   4   5      0.25        91   -0.3   0.3   358   419  1134  1194  1114  1205 0.77 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2619at5820           -            622   3.8e-20   70.3  25.6   5   5    0.0029       1.1    6.1   0.1   396   473  1227  1304  1219  1330 0.83 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 2619at5820           -            622   2.2e-15   54.6  12.9   1   3   8.2e-05      0.03   11.2   0.1     2    37   181   216   180   225 0.88 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 2619at5820           -            622   2.2e-15   54.6  12.9   2   3   5.4e-15     2e-12   44.9   7.5    51   195   309   453   296   461 0.93 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 2619at5820           -            622   2.2e-15   54.6  12.9   3   3      0.32   1.1e+02   -0.6   0.0   296   332   456   493   453   496 0.86 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 2619at5820           -            622   2.4e-15   54.5   2.5   1   2     9e-18   3.3e-15   54.0   1.2    45   144   793   895   766   931 0.86 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 2619at5820           -            622   2.4e-15   54.5   2.5   2   2       1.5   5.4e+02   -2.9   0.0   187   219   966   997   957  1009 0.82 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 2619at5820           -            622   1.8e-10   38.4   0.2   1   1   6.7e-13   2.4e-10   37.9   0.2     6   131    74   201    69   238 0.86 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 2619at5820           -            622   3.1e-10   37.6   0.4   1   2   8.5e-13   3.1e-10   37.6   0.4     7   130   425   549   420   576 0.76 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 2619at5820           -            622   3.1e-10   37.6   0.4   2   2     0.036        13    2.5   1.2   186   250   884   946   801   981 0.84 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114800.1-p1   -            443 2619at5820           -            622   4.2e-09   33.8   0.1   1   1   1.9e-11     7e-09   33.1   0.1     5   140     8   170     4   200 0.63 | transcript=PVP01_1114800.1 | gene=PVP01_1114800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:631642-632973(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114900.1-p1   -            443 2619at5820           -            622   4.2e-09   33.8   0.1   1   1   1.9e-11     7e-09   33.1   0.1     5   140     8   170     4   200 0.63 | transcript=PVP01_1114900.1 | gene=PVP01_1114900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:634386-635717(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 2619at5820           -            622   1.1e-07   29.2   3.6   1   2       1.5   5.3e+02   -2.8   0.0   138   169    33    64    20    75 0.83 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 2619at5820           -            622   1.1e-07   29.2   3.6   2   2     1e-09   3.7e-07   27.4   2.0     8   174   594   752   587   808 0.73 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 2619at5820           -            622   1.9e-06   25.1   1.1   1   2     0.063        23    1.7   0.0     6    36     5    35     2    50 0.72 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 2619at5820           -            622   1.9e-06   25.1   1.1   2   2   5.3e-08   1.9e-05   21.7   0.4    69   131   128   190   123   209 0.91 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 2619at5820           -            622   3.7e-05   20.8   0.9   1   2   1.5e-07   5.5e-05   20.2   0.1     6   145   113   276   109   290 0.72 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 2619at5820           -            622   3.7e-05   20.8   0.9   2   2         1   3.8e+02   -2.3   0.1    17    42   474   499   462   514 0.52 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411600.1-p1   -            205 2619at5820           -            622    0.0029   14.6   0.0   1   1   9.1e-06    0.0033   14.4   0.0    92   183   108   200    75   204 0.74 | transcript=PVP01_1411600.1 | gene=PVP01_1411600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=PvP01_14_v2:524820-526310(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 2619at5820           -            622    0.0035   14.3   0.1   1   1     1e-05    0.0038   14.2   0.1    69   185    63   182    24   192 0.73 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2619at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2619at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2619at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:56 2026
# [ok]
