#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5   1  20   1.6e-99     1e-95  319.8  37.9    13   268    49   383    43   389 0.85 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5  16  20   3.8e-07    0.0025   13.4   0.1  2365  2387  4119  4141  4116  4154 0.92 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5  17  20   6.1e-36     4e-32  108.9   3.9  2387  2499  4235  4373  4233  4399 0.80 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5  18  20   2.1e-51   1.3e-47  160.2   9.2  2499  2636  4414  4568  4406  4574 0.89 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5  19  20   1.7e-62   1.1e-58  197.0   8.2  2635  2772  4673  4820  4667  4835 0.92 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213800.1-p1   -           4992 74at5820             -           2856         0 4012.5 412.5  20  20   9.1e-24   5.9e-20   68.5   0.0  2757  2856  4878  4992  4866  4992 0.73 | transcript=PVP01_0213800.1 | gene=PVP01_0213800 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 1, putative | transcript_product=anaphase-promoting complex subunit 1, putative | location=PvP01_02_v2:581019-595997(-) | protein_length=4992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/74at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/74at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/74at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:43 2026
# [ok]
