#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7   1  26   1.6e-86     1e-82  276.5  30.1     1   195     1   224     1   229 0.88 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  23  26   1.2e-08   7.9e-05   18.0   1.9  2971  3002  4660  4691  4654  4703 0.87 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  24  26  6.5e-104  4.3e-100  334.2  20.5  2946  3182  4707  4974  4694  5010 0.76 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  25  26   7.7e-57     5e-53  178.0  14.9  3202  3305  5073  5186  5016  5191 0.83 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430700.1-p1   -           5314 59at5820             -           3393         0 4921.1 541.7  26  26     2e-51   1.3e-47  160.0   2.6  3306  3393  5227  5314  5225  5314 0.98 | transcript=PVP01_1430700.1 | gene=PVP01_1430700 | organism=Plasmodium_vivax_P01 | gene_product=peptidase family C50, putative | transcript_product=peptidase family C50, putative | location=PvP01_14_v2:1328328-1344272(+) | protein_length=5314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/59at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/59at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/59at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:34 2026
# [ok]
