#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0407000.1-p1   -            330 8180at5820           -            296  2.9e-184  609.6   6.5   1   1  6.2e-187    4e-184  609.1   6.5     1   296     1   328     1   328 0.97 | transcript=PVP01_0407000.1 | gene=PVP01_0407000 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=PvP01_04_v2:290145-291137(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518700.1-p1   -           1090 8180at5820           -            296    0.0086   13.8   0.0   2   2    0.0053       3.5    5.3   0.0    21    61   816   856   799   880 0.85 | transcript=PVP01_0518700.1 | gene=PVP01_0518700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=PvP01_05_v2:775393-778665(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 8180at5820           -            296     0.016   13.0   0.0   1   1   4.5e-05     0.029   12.1   0.0    37    80   257   299   230   304 0.78 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 8180at5820           -            296     0.034   11.8   0.0   1   2    0.0019       1.2    6.8   0.0    37    57   513   533   507   579 0.92 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 8180at5820           -            296     0.034   11.8   0.0   2   2     0.041        27    2.4   0.0    37    58   833   854   822   866 0.84 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8180at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8180at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8180at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:19 2026
# [ok]
